GeneID	Brain_rep1	Brain_rep2	Brain_rep3	Brain_rep4	Brain_rep5	Brain_rep6
NP_001000077.1	0.0	0.0	0.0	0.0	0.0	
NP_001000078.1	0.18847	0.0971171	0.0560415	0.0	0.0	
NP_001000079.1	0.0	0.0	0.0	0.0	0.0	
NP_001000080.1	0.0	0.0	0.0	0.0	0.0	
NP_001000081.1	0.0	0.023847	0.0550387	0.0	0.0	
NP_001000083.1	0.0	0.0	0.0	0.0	0.0	
NP_001000084.1	0.0	0.0	0.113636	0.0	0.0	
NP_001000085.1	0.0	0.0	0.0	0.0	0.0	
NP_001000086.1	0.0	0.0	0.0	0.0	0.0	
NP_001000087.1	0.0	0.0	0.0	0.0	0.0	
NP_001000088.1	0.0	0.0	0.0	0.0	0.0	
NP_001000089.1	0.0	0.0	0.0	0.0	0.0	
NP_001000090.1	0.0	0.0	0.0	0.0	0.0	
NP_001000091.1	0.0	0.0	0.0	0.0	0.0	
NP_001000092.1	0.0	0.0	0.0	0.0	0.0	
NP_001000093.1	0.0	0.0	0.0	0.0	0.0	
NP_001000094.1	0.0	0.0	0.0	0.0	0.0	
NP_001000096.1	0.0	0.0	0.0	0.0	0.0	
NP_001000097.1	0.0	0.0	0.0	0.0	0.0	
NP_001000099.1	0.0	0.0	0.0	0.0	0.0	
NP_001000100.1	0.0	0.0	0.0	0.0	0.0	
NP_001000102.2	0.0	0.0	0.0	0.0	0.0	
NP_001000103.1	0.0	0.0	0.0	0.0	0.0	
NP_001000104.1	0.0	0.261154	0.109587	0.0	0.0	
NP_001000105.1	0.0	0.0	0.0285408	0.125288	0.0650528	
NP_001000106.1	0.0	0.0	0.0	0.0	0.0	
NP_001000107.2	0.0	0.0235327	0.0	0.0	0.0	
NP_001000108.1	0.0	0.0	0.0	0.0	0.0	
NP_001000109.1	0.0	0.0	0.0	0.0	0.0	
NP_001000110.1	0.0	0.0	0.0	0.0	0.0	
NP_001000111.1	0.0	0.0	0.0	0.0	0.0633023	
NP_001000112.1	0.0	0.0	0.0	0.0	0.0	
NP_001000113.1	0.0	0.0	0.0	0.0	0.0	
NP_001000114.1	0.0	0.0	0.0	0.0	0.0	
NP_001000116.1	0.0	0.0	0.0	0.0	0.0	
NP_001000117.1	0.0	0.0	0.0	0.0	0.0	
NP_001000118.1	0.0	0.0	0.0	0.0	0.0	
NP_001000119.1	0.0	0.0	0.0	0.0	0.0	
NP_001000120.1	0.0	0.0	0.0	0.0	0.0	
NP_001000122.1	0.0	0.0	0.0	0.0	0.0	
NP_001000123.1	0.0	0.0233278	0.0	0.0	0.0	
NP_001000124.1	0.0	0.0	0.0	0.0	0.0	
NP_001000125.1	0.0	0.0	0.0	0.0	0.0	
NP_001000126.1	0.0	0.0	0.0	0.0	0.0	
NP_001000127.1	0.0	0.0	0.0	0.0	0.0	
NP_001000128.1	0.0	0.0	0.0	0.0	0.0	
NP_001000129.1	0.0450923	0.0116133	0.0	0.0	0.0	
NP_001000130.1	0.550574	0.590914	1.47287	0.59962	0.746241	
NP_001000131.1	0.0	0.0	0.0	0.0	0.0	
NP_001000132.1	0.0	0.0	0.0	0.0	0.0	
NP_001000133.1	0.0	0.0	0.0	0.0	0.0	
NP_001000134.1	0.0	0.0	0.0	0.0	0.0	
NP_001000135.1	0.0	0.0237413	0.0	0.0	0.0624619	
NP_001000136.1	0.0	0.0	0.0	0.0	0.0	
NP_001000137.1	0.0	0.0	0.0	0.0	0.0	
NP_001000138.1	0.0	0.0	0.0	0.0	0.0	
NP_001000139.1	0.0	0.0	0.0	0.0	0.0	
NP_001000140.1	0.0	0.0	0.0	0.0	0.0	
NP_001000141.1	0.0	0.0	0.0	0.0	0.0	
NP_001000143.1	0.0	0.0	0.0	0.0	0.0	
NP_001000144.1	0.0	0.0	0.0	0.0	0.0	
NP_001000145.1	0.0	0.0	0.0	0.0	0.0	
NP_001000146.1	0.0	0.0	0.0	0.0	0.0	
NP_001000147.1	0.0	0.0	0.0	0.0	0.0	
NP_001000148.1	0.0	0.0	0.0	0.0	0.0	
NP_001000149.1	0.0	0.0	0.0	0.0	0.0	
NP_001000150.1	0.0	0.0	0.0	0.0	0.0	
NP_001000151.1	0.0	0.0	0.0	0.0	0.0	
NP_001000152.1	0.0	0.0	0.0	0.0	0.0	
NP_001000153.1	0.0	0.0	0.0	0.0	0.0	
NP_001000154.1	0.0	0.0	0.0	0.0	0.0	
NP_001000155.1	0.0	0.0	0.0	0.0	0.0	
NP_001000156.1	0.0	0.0	0.0	0.0	0.0	
NP_001000157.1	0.0	0.0	0.0	0.0	0.0	
NP_001000158.1	0.0	0.0	0.0	0.0	0.0	
NP_001000159.1	0.0	0.0	0.0	0.0	0.0	
NP_001000160.1	0.0	0.0	0.0	0.0	0.0	
NP_001000161.1	0.0	0.0	0.0	0.0	0.0	
NP_001000162.1	0.0	0.0	0.0	0.0	0.0	
NP_001000163.1	0.0	0.0	0.0	0.0	0.0	
NP_001000164.1	0.0	0.0	0.0	0.0	0.0	
NP_001000165.1	0.0	0.0	0.0	0.0	0.0	
NP_001000166.1	0.0	0.0	0.0	0.0	0.0	
NP_001000167.1	0.0886604	0.182646	0.184387	0.231906	0.120139	
NP_001000168.1	0.445183	0.389784	0.343905	0.23287	0.120652	
NP_001000169.1	0.0	0.0	0.0	0.0	0.0588179	
NP_001000170.1	0.269396	0.152634	0.0	0.234822	0.0	
NP_001000171.1	0.0	0.101756	0.0	0.0	0.0	
NP_001000172.1	0.0	0.0	0.0	0.116921	0.0	
NP_001000174.1	0.0	0.0	0.0	0.0	0.0	
NP_001000175.1	0.0	0.0	0.0	0.0	0.0	
NP_001000176.1	0.183525	0.0472731	0.0272753	0.0	0.0	
NP_001000177.1	0.0	0.0	0.0	0.0	0.0	
NP_001000178.1	0.0	0.0468596	0.0540711	0.0	0.0	
NP_001000179.1	0.0	0.0240612	0.0	0.0	0.0	
NP_001000180.1	0.0	0.0	0.0	0.0	0.0	
NP_001000181.1	0.0	0.0	0.0	0.0	0.0	
NP_001000182.1	0.0	0.0	0.0	0.0	0.0	
NP_001000183.1	0.0	0.0	0.0271549	0.0	0.0	
NP_001000184.1	0.0	0.0	0.0	0.0	0.0	
NP_001000185.1	0.0	0.0	0.0	0.0	0.0	
NP_001000186.1	0.0	0.0	0.0	0.0	0.0	
NP_001000187.1	0.0	0.0	0.0545506	0.0	0.0	
NP_001000188.1	0.0	0.117664	0.0271549	0.0	0.123828	
NP_001000189.1	0.141734	0.0494028	0.0	0.0	0.256258	
NP_001000190.1	0.0	0.047694	0.0275194	0.0	0.0	
NP_001000191.1	0.0	0.0237413	0.0	0.0	0.0	
NP_001000192.1	0.0	0.0	0.0	0.0	0.0	
NP_001000193.1	0.0	0.0	0.0	0.0	0.0	
NP_001000194.1	0.0	0.0	0.0	0.0	0.0	
NP_001000195.1	0.183525	0.0945462	0.0272753	0.119924	0.0	
NP_001000196.1	0.0	0.0980054	0.0	0.0	0.128917	
NP_001000197.1	0.0	0.0	0.0	0.0	0.0	
NP_001000198.1	0.0	0.0	0.0	0.0	0.0	
NP_001000199.1	0.0	0.0	0.0	0.0	0.0	
NP_001000200.1	0.0	0.0	0.0	0.0	0.0	
NP_001000201.1	0.0	0.0	0.0	0.0	0.0	
NP_001000202.1	0.0	0.0	0.0	0.0	0.0	
NP_001000203.1	0.0	0.0	0.0	0.0	0.0	
NP_001000204.1	0.0	0.0	0.0	0.0	0.0	
NP_001000205.1	0.0	0.0	0.0	0.0	0.0	
NP_001000206.1	0.0	0.0	0.0	0.0	0.0	
NP_001000207.1	0.0	0.0	0.0	0.0	0.0	
NP_001000208.1	0.0	0.0	0.0	0.0	0.0	
NP_001000209.1	0.0	0.0	0.0	0.0	0.0	
NP_001000210.1	0.0	0.0	0.0	0.0	0.0	
NP_001000211.1	0.0	0.0	0.0	0.0	0.0	
NP_001000213.1	0.0	0.0	0.0	0.0	0.0	
NP_001000215.1	0.0	0.0	0.0	0.0	0.0	
NP_001000216.1	0.0	0.0	0.0	0.0	0.0	
NP_001000217.1	0.0	0.0	0.0	0.0	0.0	
NP_001000218.1	0.0	0.0	0.0	0.0	0.0	
NP_001000219.1	0.0	0.0	0.0	0.0	0.0	
NP_001000220.1	0.0	0.0	0.0	0.0	0.0	
NP_001000221.1	0.0	0.0	0.0	0.0	0.0	
NP_001000222.1	0.0	0.0	0.0	0.0	0.0	
NP_001000223.1	0.0	0.0	0.0	0.0	0.0	
NP_001000224.1	0.0	0.0	0.0	0.0	0.0	
NP_001000225.1	0.0	0.0	0.0	0.0	0.0	
NP_001000226.1	0.0	0.0	0.0	0.0	0.0	
NP_001000227.1	0.0	0.0	0.0	0.0	0.0	
NP_001000228.1	0.0	0.0	0.0	0.0	0.0	
NP_001000229.1	0.0	0.0	0.0	0.0	0.0	
NP_001000230.1	0.0	0.0	0.0	0.0	0.0	
NP_001000231.1	0.0	0.0	0.0	0.0	0.0	
NP_001000232.1	0.0	0.0248422	0.0	0.0	0.0	
NP_001000233.1	0.0	0.0	0.0	0.0	0.0	
NP_001000234.1	0.0	0.0	0.0	0.0	0.0	
NP_001000235.1	0.0	0.0	0.0	0.0	0.0	
NP_001000236.1	0.0	0.0	0.0	0.0	0.0	
NP_001000237.1	0.0	0.0	0.0	0.0	0.0	
NP_001000238.1	0.0	0.0	0.0	0.0	0.0	
NP_001000239.1	0.0	0.0	0.0	0.0	0.0	
NP_001000240.1	0.0	0.0	0.0	0.0	0.0	
NP_001000241.1	0.0	0.0	0.0	0.0	0.0	
NP_001000242.1	0.0	0.0	0.0	0.0	0.0	
NP_001000243.1	0.0	0.0	0.0840623	0.0	0.0	
NP_001000244.1	0.0	0.0	0.0	0.0	0.0638752	
NP_001000245.1	0.0	0.0	0.0	0.0	0.0	
NP_001000246.1	0.0	0.0	0.0	0.0	0.0	
NP_001000247.1	0.0	0.0	0.0	0.0	0.0	
NP_001000248.1	0.0	0.0	0.0	0.0	0.0	
NP_001000249.1	0.179597	0.0693792	0.0	0.0	0.0	
NP_001000250.1	0.0	0.0	0.0	0.0	0.0	
NP_001000251.1	0.0929822	0.0	0.0	0.0	0.0	
NP_001000252.1	0.0	0.0	0.0	0.0	0.0	
NP_001000253.1	0.0	0.0	0.0	0.0	0.0	
NP_001000254.1	0.0	0.0	0.0	0.0	0.0	
NP_001000255.1	0.0	0.0	0.0	0.0	0.0	
NP_001000256.1	0.0	0.0	0.0	0.0	0.0	
NP_001000257.1	0.0	0.0	0.0	0.0	0.0	
NP_001000258.1	0.0	0.0	0.0	0.0	0.0	
NP_001000259.1	0.0	0.0	0.0	0.0	0.0	
NP_001000260.1	0.0	0.0	0.0	0.0	0.0	
NP_001000261.1	0.0	0.0	0.0836811	0.0	0.0	
NP_001000262.1	0.0	0.0	0.0	0.0	0.0	
NP_001000263.1	0.0	0.0472731	0.0	0.0	0.0	
NP_001000264.1	0.046698	0.0360918	0.124955	0.488054	0.0949534	
NP_001000266.1	0.0	0.0	0.0	0.0	0.0	
NP_001000267.1	0.0	0.0	0.0	0.0	0.0	
NP_001000268.1	0.0	0.0	0.0	0.0	0.0	
NP_001000269.1	0.0	0.0	0.0	0.0	0.0	
NP_001000270.1	0.0	0.0	0.0	0.0	0.0	
NP_001000271.1	0.0	0.0	0.0	0.0	0.0	
NP_001000272.1	0.0	0.0	0.0	0.0	0.0	
NP_001000273.1	0.0	0.0	0.0	0.0	0.0	
NP_001000274.1	0.0	0.0	0.0	0.0	0.0	
NP_001000275.1	0.0	0.0	0.0	0.0	0.0	
NP_001000276.1	0.0	0.0	0.0	0.0	0.0	
NP_001000277.1	0.0946601	0.0243898	0.028149	0.0	0.0	
NP_001000279.1	0.0	0.0235327	0.0814648	0.0	0.0	
NP_001000281.1	0.0	0.0	0.0	0.0	0.0	
NP_001000282.1	0.0	0.0	0.0	0.0	0.0	
NP_001000283.1	0.0	0.0	0.0	0.0	0.0	
NP_001000284.1	0.0	0.0	0.0	0.0	0.0	
NP_001000285.1	0.0	0.0	0.0	0.0	0.0	
NP_001000286.1	0.0	0.0	0.0	0.0	0.0	
NP_001000287.1	0.0	0.0	0.0	0.0	0.0	
NP_001000288.1	0.0	0.0	0.0	0.0	0.0	
NP_001000289.1	0.0	0.0	0.0	0.0	0.0	
NP_001000290.1	0.0	0.0	0.0	0.0	0.0	
NP_001000291.1	0.0	0.0	0.0	0.0	0.0	
NP_001000292.1	0.0	0.0	0.0	0.0	0.0	
NP_001000293.1	0.0	0.0	0.0	0.0	0.0	
NP_001000294.1	0.0	0.0	0.0	0.0	0.0	
NP_001000295.1	0.0	0.0	0.0	0.0	0.0	
NP_001000296.1	0.0	0.0	0.0	0.0	0.0	
NP_001000297.1	0.0	0.0	0.0	0.0	0.0	
NP_001000298.1	0.0	0.0	0.0	0.0	0.0	
NP_001000299.1	0.0	0.0	0.0	0.0	0.0	
NP_001000300.1	0.0	0.0	0.0	0.0	0.0	
NP_001000301.1	0.0	0.0	0.0	0.0	0.0	
NP_001000302.1	0.0	0.0	0.0	0.0	0.0	
NP_001000303.1	0.0	0.0	0.0	0.0	0.0	
NP_001000304.1	0.0	0.0	0.0	0.0	0.0	
NP_001000305.1	0.0	0.0	0.0	0.0	0.0	
NP_001000306.1	0.0	0.0	0.0	0.0	0.0	
NP_001000307.1	0.0	0.0	0.0	0.0	0.0	
NP_001000308.1	0.0	0.0	0.0	0.0	0.0	
NP_001000309.1	0.0	0.0	0.0	0.0	0.0	
NP_001000310.1	0.0	0.0	0.0	0.0	0.0	
NP_001000311.1	0.0	0.0	0.0	0.0	0.0	
NP_001000312.1	0.0	0.0	0.0	0.0	0.0	
NP_001000313.1	0.0	0.0	0.0	0.0	0.0	
NP_001000314.1	0.0	0.0	0.0	0.0	0.0	
NP_001000315.1	0.0	0.0	0.0	0.0	0.0	
NP_001000316.1	0.0	0.0	0.0	0.0	0.0	
NP_001000317.1	0.0	0.0	0.0	0.0	0.0	
NP_001000318.1	0.0	0.0	0.0	0.0	0.0	
NP_001000319.1	0.0	0.0	0.0	0.0	0.0	
NP_001000320.1	0.0	0.0	0.0	0.0	0.0	
NP_001000321.1	0.0	0.0	0.0	0.0	0.0	
NP_001000322.1	0.0	0.0	0.0	0.0	0.0	
NP_001000323.1	0.0	0.0	0.0	0.0	0.0	
NP_001000324.1	0.0	0.0	0.0	0.0	0.0	
NP_001000325.1	0.0	0.0	0.0	0.0	0.0	
NP_001000326.1	0.0	0.0	0.0	0.0	0.0	
NP_001000327.1	0.0	0.0	0.0	0.0	0.0	
NP_001000328.1	0.0	0.0	0.0	0.0	0.0	
NP_001000329.1	0.0	0.0	0.0	0.0	0.0	
NP_001000330.1	0.0	0.0	0.0	0.0	0.0	
NP_001000331.1	0.0	0.0	0.0	0.0	0.0	
NP_001000332.1	0.0	0.0	0.0	0.0	0.0	
NP_001000333.1	0.0	0.0	0.0	0.0	0.0	
NP_001000334.1	0.0	0.0	0.0	0.0	0.0	
NP_001000335.1	0.0	0.0	0.0	0.0	0.0	
NP_001000336.1	0.0	0.0	0.0	0.0	0.0	
NP_001000337.1	0.0	0.0	0.0	0.0	0.0	
NP_001000338.1	0.0	0.0	0.0	0.0	0.0	
NP_001000339.1	0.0	0.0	0.0	0.0	0.0	
NP_001000340.1	0.0	0.0	0.0	0.0	0.0	
NP_001000341.1	0.0	0.0	0.0	0.0	0.0	
NP_001000342.1	0.0	0.0	0.0	0.0	0.0	
NP_001000343.1	0.0	0.0	0.0	0.0	0.0	
NP_001000344.1	0.0	0.0	0.0	0.0	0.0	
NP_001000345.1	0.0	0.0	0.0	0.0	0.0	
NP_001000347.1	0.0	0.0	0.0	0.0	0.0	
NP_001000348.1	0.0	0.0	0.0	0.0	0.0	
NP_001000349.1	0.0	0.0	0.0	0.0	0.0	
NP_001000350.1	0.0	0.0	0.0	0.0	0.0	
NP_001000351.1	0.0	0.0	0.0	0.0	0.0	
NP_001000352.1	0.0	0.0	0.0	0.0	0.0	
NP_001000353.1	0.0	0.0	0.0	0.0	0.0	
NP_001000354.1	0.0	0.0	0.0	0.0	0.0	
NP_001000355.1	0.0	0.0	0.0	0.0	0.0	
NP_001000356.1	0.0	0.0	0.0	0.0	0.0	
NP_001000357.2	0.0	0.0	0.0	0.0	0.0	
NP_001000359.1	0.0	0.0	0.0	0.0	0.0	
NP_001000360.1	0.0	0.0	0.0	0.0	0.0	
NP_001000361.1	0.0	0.0	0.0	0.0	0.0	
NP_001000362.1	0.0	0.0	0.0	0.0	0.0	
NP_001000363.1	0.0	0.0	0.0	0.0	0.0	
NP_001000364.1	0.0	0.0	0.0	0.0	0.0	
NP_001000365.1	0.0	0.0	0.0	0.0	0.0	
NP_001000366.1	0.0	0.0	0.0	0.0	0.0	
NP_001000367.1	0.0	0.0	0.0	0.0	0.0	
NP_001000368.1	0.0	0.0	0.0	0.0	0.0	
NP_001000369.1	0.0	0.0	0.0	0.0	0.0	
NP_001000371.1	0.0	0.0	0.0	0.0	0.0	
NP_001000372.1	0.0	0.0	0.0	0.0	0.0	
NP_001000373.1	0.0	0.0	0.0	0.0	0.0	
NP_001000374.1	0.0	0.0	0.0	0.0	0.0	
NP_001000375.1	0.0	0.0	0.0	0.0	0.0	
NP_001000376.1	0.0	0.0	0.0	0.0	0.0	
NP_001000377.2	0.0	0.0	0.0	0.0	0.0	
NP_001000378.1	0.0	0.0	0.0	0.0	0.0	
NP_001000379.1	0.0	0.0	0.0	0.0	0.0	
NP_001000380.1	0.0	0.0	0.0	0.0	0.0	
NP_001000381.1	0.0	0.0	0.0	0.0	0.0	
NP_001000382.1	0.0	0.0	0.0	0.0	0.0	
NP_001000383.1	0.0	0.0	0.0	0.0	0.0	
NP_001000384.1	0.0	0.0	0.0	0.0	0.0	
NP_001000385.1	0.0	0.0	0.0	0.0	0.0	
NP_001000386.1	0.0	0.0	0.0	0.0	0.0	
NP_001000387.1	0.0	0.0	0.0	0.0	0.0	
NP_001000388.1	0.0	0.0	0.0	0.0	0.0	
NP_001000389.1	0.0	0.0	0.0	0.0	0.0	
NP_001000390.1	0.0	0.0	0.0	0.0	0.0	
NP_001000391.1	0.0	0.0	0.0	0.0	0.0	
NP_001000392.1	0.0	0.0	0.0	0.0	0.0	
NP_001000393.1	0.0	0.0	0.0	0.0	0.0	
NP_001000394.1	0.0	0.0	0.0	0.0	0.0	
NP_001000395.1	0.0	0.0	0.0	0.0	0.0	
NP_001000397.1	0.0	0.0	0.0520138	0.0	0.0	
NP_001000398.1	0.0	0.0	0.0	0.0	0.0	
NP_001000399.1	0.0	0.0	0.0	0.0	0.0	
NP_001000400.1	0.0	0.0	0.0269173	0.0	0.0	
NP_001000401.1	0.0	0.0	0.0	0.0	0.0	
NP_001000402.1	0.0	0.0	0.0	0.0	0.0	
NP_001000403.1	0.0	0.0	0.0	0.0	0.0	
NP_001000404.1	0.0	0.0	0.0	0.0	0.0	
NP_001000405.1	0.0	0.0	0.0	0.0	0.0	
NP_001000406.1	0.090574	0.116639	0.403759	0.0	0.0	
NP_001000407.1	0.0	0.0	0.0	0.0	0.0	
NP_001000408.1	0.0	0.0	0.0272753	0.0	0.0	
NP_001000409.1	0.368661	0.261154	0.328761	0.240879	0.187386	
NP_001000410.1	0.0	0.0	0.0	0.0	0.0	
NP_001000411.1	0.0	0.0	0.0	0.0	0.0624619	
NP_001000412.1	0.0	0.0	0.0	0.0	0.0	
NP_001000413.1	0.0	0.0	0.0	0.0	0.0	
NP_001000414.1	0.0	0.0	0.0	0.0	0.0	
NP_001000415.1	0.0909666	0.0937193	0.0	0.0	0.0	
NP_001000416.1	0.0	0.0	0.0	0.0	0.0	
NP_001000418.1	0.0	0.0	0.0	0.0	0.0	
NP_001000419.1	0.0	0.0	0.0	0.0	0.0	
NP_001000420.1	0.0	0.0	0.0	0.0	0.0	
NP_001000421.1	0.0	0.0	0.0	0.0	0.0613755	
NP_001000423.1	0.0946601	0.0243898	0.197043	0.123629	0.128331	
NP_001000424.1	0.0	0.0	0.0	0.0	0.0	
NP_001000425.1	0.094235	0.0	0.0	0.0	0.319376	
NP_001000426.1	0.0	0.0	0.0	0.0	0.0	
NP_001000427.1	0.0	0.0	0.0	0.0	0.0	
NP_001000428.1	0.0	0.0	0.0	0.0	0.0	
NP_001000429.1	0.0	0.0	0.0	0.0	0.0	
NP_001000431.1	0.0	0.0	0.0	0.0	0.0	
NP_001000433.1	0.0	0.0	0.0	0.0	0.0	
NP_001000434.1	0.0	0.0	0.0	0.0	0.0	
NP_001000435.1	0.0	0.0	0.0560415	0.0	0.0638752	
NP_001000436.1	0.0	0.0	0.0	0.0	0.0	
NP_001000437.1	0.0	0.0	0.0	0.0	0.0	
NP_001000438.1	0.0	0.0	0.0280208	0.0	0.12775	
NP_001000439.1	0.0	0.0	0.0	0.0	0.0	
NP_001000441.1	0.0	0.0	0.0	0.0	0.0	
NP_001000442.1	0.0	0.0	0.0	0.0	0.0	
NP_001000443.1	0.0	0.0	0.0	0.0	0.0	
NP_001000444.1	0.0	0.0	0.0	0.0	0.0	
NP_001000445.1	0.0	0.0	0.0	0.0	0.0	
NP_001000446.1	0.0	0.0	0.0	0.0	0.0	
NP_001000447.1	0.0	0.0	0.027643	0.0	0.0	
NP_001000448.1	0.0	0.0	0.0	0.0	0.0	
NP_001000449.1	0.0	0.0	0.0	0.0	0.0	
NP_001000450.1	0.0	0.0	0.0	0.0	0.0	
NP_001000451.1	0.0	0.0	0.0	0.0	0.0	
NP_001000452.1	0.0	0.0	0.0	0.0	0.0	
NP_001000453.1	0.0	0.0	0.0	0.0	0.0	
NP_001000454.1	0.0	0.0	0.0	0.0	0.0	
NP_001000455.1	0.0	0.0	0.0	0.0	0.0	
NP_001000456.1	0.0	0.0	0.0	0.0	0.0	
NP_001000458.1	0.0	0.0	0.0	0.0	0.0	
NP_001000459.1	0.0	0.0	0.0	0.0	0.0	
NP_001000460.1	0.0	0.0	0.0	0.0	0.0	
NP_001000461.1	0.0	0.0	0.0	0.0	0.0	
NP_001000462.1	0.0	0.0	0.0	0.0	0.0	
NP_001000463.1	0.0	0.0	0.0	0.0	0.0	
NP_001000464.1	0.0	0.0	0.0	0.0	0.0	
NP_001000465.1	0.0	0.0	0.0	0.0	0.0	
NP_001000467.1	0.0	0.0	0.0	0.0	0.0	
NP_001000468.1	0.0	0.0	0.0	0.0	0.0	
NP_001000469.1	0.0	0.0	0.0	0.0	0.0	
NP_001000470.1	0.0	0.0	0.0	0.0	0.0	
NP_001000471.1	0.0	0.0	0.0	0.0	0.0	
NP_001000472.1	0.0	0.0	0.0	0.0	0.0	
NP_001000473.1	0.0	0.0	0.0	0.0	0.0	
NP_001000474.1	0.0	0.0	0.0	0.0	0.0	
NP_001000475.1	0.0	0.0	0.0	0.0	0.0	
NP_001000476.1	0.0	0.0	0.0	0.0	0.0	
NP_001000477.1	0.0	0.0	0.0	0.0	0.0	
NP_001000478.1	0.0	0.0	0.0	0.0	0.0	
NP_001000479.1	0.0	0.0	0.0	0.0	0.0	
NP_001000481.1	0.0	0.0	0.0	0.0	0.0	
NP_001000482.1	0.0	0.0	0.0555356	0.0	0.0	
NP_001000483.1	0.0	0.0	0.0	0.0	0.0	
NP_001000484.1	0.0	0.0	0.0	0.0	0.0	
