dataset,n_vectors,n_dimensions,eps,min_samples,knee_index,evaluation_quantile,evaluation_radius,n_clusters,n_noise,n_clustered,internal_coherence,coverage,clustering_quality,optimization_seconds,clustering_seconds,quality_seconds,total_seconds,status,error
kinked_curve_noise_high,500,2,0.06836014591525612,4,463,0.15,0.19736976952425656,3,20,480,0.8267298673570925,0.96,0.8883947004667038,0.0010878270040848292,0.0015519179942202754,0.002023432003625203,0.0048083450019476,ok,
kinked_curve_noise_low,500,2,0.016622793749869087,4,427,0.15,0.20819758730424834,18,25,475,0.24317475446891754,0.95,0.38722913953756416,0.0015450030041392893,0.0013579240039689466,0.0018275949987582862,0.004863925998506602,ok,
kinked_curve_noise_medium,500,2,0.03822358579169658,4,441,0.15,0.19224406782508288,2,31,469,0.8193261380446337,0.938,0.8746559911081762,0.0011341249992256053,0.0026193550002062693,0.0021941289960523136,0.006107676999818068,ok,
linear_noise_high,500,2,0.07242928771287858,4,411,0.15,0.3709946635468396,9,35,465,0.5971694473992554,0.93,0.7273162608472681,0.0010873999999603257,0.001959982000698801,0.0018210399939562194,0.005018037001718767,ok,
linear_noise_low,500,2,0.023139956169152258,4,405,0.15,0.32490144478425076,45,17,483,0.1521866971284631,0.966,0.2629477703564664,0.0011006939967046492,0.0012561309995362535,0.0015806649971636944,0.004071527000633068,ok,
linear_noise_medium,500,2,0.05106744496085047,4,448,0.15,0.34211894003393667,6,15,485,0.7055310488297311,0.97,0.8168933877326017,0.0009500130036030896,0.0012024650059174746,0.0017149409977719188,0.003981847999966703,ok,
mixed_generators_noise_high,500,2,0.1445937866804974,4,435,0.15,0.6019276128594454,5,34,466,0.6735867805815151,0.932,0.7819980671173691,0.0012383990033413284,0.0014704830027767457,0.0027232169959461316,0.005558746001042891,ok,
mixed_generators_noise_low,500,2,0.07102505953654942,4,349,0.15,0.5865173968114423,5,142,358,0.607587235234121,0.716,0.6573536656247376,0.001091701997211203,0.0012308100049267523,0.0026325029975851066,0.005070801998954266,ok,
mixed_generators_noise_medium,500,2,0.0896164538886108,4,356,0.15,0.5960060117403949,14,112,388,0.3850565961983646,0.776,0.5147103416462238,0.0011239099985687062,0.0014028790028532967,0.0018975920029333793,0.004570912002236582,ok,
s_curve_noise_high,500,2,0.09453587695146982,4,473,0.15,0.5101536373829344,8,8,492,0.5962639522000636,0.984,0.7425642129569788,0.0011242950058658607,0.001287336002860684,0.0019306530011817813,0.004477018999750726,ok,
s_curve_noise_low,500,2,0.04562035445492679,4,426,0.15,0.5303278107063578,37,26,474,0.14220079393191443,0.948,0.2473055484783913,0.0012228129999130033,0.0015754689957248047,0.0018799230019794777,0.004895172998658381,ok,
s_curve_noise_medium,500,2,0.06371353281660205,4,468,0.15,0.5279312912965858,20,12,488,0.3012280050503957,0.976,0.4603696940039862,0.0014637040003435686,0.0012480259974836372,0.0020042770047439262,0.004829069002880715,ok,
