x	y_span_0.8
  4.228643	  -0.7081126195
  4.278392	  -0.7255823970
  4.328141	  -0.7434749226
  4.377889	  -0.7571762643
  4.427638	  -0.7711525461
  4.477387	  -0.7809858462
  4.527136	  -0.7908274475
  4.576884	  -0.7967348134
  4.626633	  -0.8022788762
  4.676382	  -0.8042240674
  4.726131	  -0.8053571685
  4.775879	  -0.8033163952
  4.825628	  -0.7999793452
  4.875377	  -0.7939468938
  4.925126	  -0.7861511053
  4.974874	  -0.7761568572
  5.024623	  -0.7640052120
  5.074372	  -0.7501356036
  5.124121	  -0.7338363726
  5.173869	  -0.7162486598
  5.223618	  -0.6961122887
  5.273367	  -0.6750348493
  5.323116	  -0.6514499171
  5.372864	  -0.6271674277
  5.422613	  -0.6005608631
  5.472362	  -0.5733897705
  5.522111	  -0.5441833783
  5.571859	  -0.5144471822
  5.621608	  -0.4830243917
  5.671357	  -0.4510380346
  5.721106	  -0.4177306204
  5.770854	  -0.3837988629
  5.820603	  -0.3488951012
  5.870352	  -0.3133231609
  5.920101	  -0.2770902939
  5.969849	  -0.2401992582
  6.019598	  -0.2030926030
  6.069347	  -0.1656052121
  6.119095	  -0.1282512742
  6.168844	  -0.0915354155
  6.218593	  -0.0558374726
  6.268342	  -0.0213978711
  6.318090	   0.0116577814
  6.367839	   0.0432852098
  6.417588	   0.0734923244
  6.467337	   0.1023174397
  6.517085	   0.1298144505
  6.566834	   0.1560434861
  6.616583	   0.1810651191
  6.666332	   0.2049373026
  6.716080	   0.2277135773
  6.765829	   0.2494425379
  6.815578	   0.2701675429
  6.865327	   0.2899270278
  6.915075	   0.3087546854
  6.964824	   0.3266799772
  7.014573	   0.3437283960
  7.064322	   0.3599219713
  7.114070	   0.3752794849
  7.163819	   0.3898169352
  7.213568	   0.4035476802
  7.263317	   0.4164828715
  7.313065	   0.4286315375
  7.362814	   0.4400009924
  7.412563	   0.4505968873
  7.462312	   0.4604235761
  7.512060	   0.4694841628
  7.561809	   0.4777807938
  7.611558	   0.4853147181
  7.661307	   0.4920864832
  7.711055	   0.4980960089
  7.760804	   0.5033426842
  7.810553	   0.5078254453
  7.860302	   0.5115427930
  7.910050	   0.5144928598
  7.959799	   0.5166733868
  8.009548	   0.5180817647
  8.059296	   0.5187150106
  8.109045	   0.5185697778
  8.158794	   0.5176423608
  8.208543	   0.5159286773
  8.258291	   0.5134243116
  8.308040	   0.5101244775
  8.357789	   0.5060240943
  8.407538	   0.5011177416
  8.457286	   0.4953997491
  8.507035	   0.4888641534
  8.556784	   0.4815047834
  8.606533	   0.4733152193
  8.656281	   0.4642888658
  8.706030	   0.4544189070
  8.755779	   0.4436983687
  8.805528	   0.4321200586
  8.855276	   0.4196766298
  8.905025	   0.4063604960
  8.954774	   0.3921639104
  9.004523	   0.3770788554
  9.054271	   0.3610971461
  9.104020	   0.3442103061
  9.153769	   0.3264096951
  9.203518	   0.3076863962
  9.253266	   0.2880313527
  9.303015	   0.2674353008
  9.352764	   0.2458888897
  9.402513	   0.2233826923
  9.452261	   0.1999072747
  9.502010	   0.1754533069
  9.551759	   0.1500115521
  9.601508	   0.1235730756
  9.651256	   0.0961291417
  9.701005	   0.0676714973
  9.750754	   0.0381921829
  9.800503	   0.0076838574
  9.850251	  -0.0238604525
  9.900000	  -0.0564470149
