mean	std	gene_id
        0.28968	             0.06081	NP_001000565.1
        0.04628	             0.01972	NP_001000573.1
        0.05328	             0.03642	NP_001000575.1
        0.07089	             0.07068	NP_001000581.1
        0.14028	             0.14266	NP_001000582.1
        0.13544	             0.06508	NP_001000583.1
        0.05210	             0.03038	NP_001000584.1
        0.03618	             0.06180	NP_001000585.2
        0.03587	             0.02439	NP_001000587.1
        0.02130	             0.04259	NP_001000589.1
        0.04385	             0.03671	NP_001000591.1
        0.07990	             0.07080	NP_001000594.1
        0.15164	             0.07192	NP_001000595.2
        0.03398	             0.02260	NP_001000596.1
        0.04298	             0.01898	NP_001000604.1
        0.03286	             0.01375	NP_001000614.1
        0.16736	             0.07569	NP_001000615.1
        0.05704	             0.02185	NP_001000616.1
        0.02706	             0.01410	NP_001000618.1
        0.00376	             0.00714	NP_001000634.1
        0.04140	             0.02410	NP_001000641.1
        2.39373	             0.51495	NP_001000660.1
        0.06969	             0.04245	NP_001000661.1
        0.03141	             0.02176	NP_001000666.1
        0.06331	             0.05964	NP_001000670.1
        0.29557	             0.06447	NP_001000672.1
        0.21227	             0.07835	NP_001000673.1
        0.11854	             0.09102	NP_001000679.1
        0.21164	             0.06912	NP_001000680.1
        0.06111	             0.03755	NP_001000681.1
        0.04700	             0.02513	NP_001000688.1
        0.42395	             0.72872	NP_001000689.1
        0.03777	             0.03225	NP_001000690.1
        0.05958	             0.03894	NP_001000691.1
        0.05120	             0.02504	NP_001000692.1
        0.09089	             0.06091	NP_001000693.1
        0.30290	             0.17478	NP_001000694.1
        0.04052	             0.01234	NP_001000695.1
        0.13416	             0.08987	NP_001000702.1
        0.03444	             0.00542	NP_001000706.1
        0.02825	             0.01157	NP_001000712.1
       12.31524	            12.60909	NP_001000713.1
        0.03664	             0.02039	NP_001000721.1
        0.35043	             0.10931	NP_001000724.1
        0.03603	             0.02951	NP_001000726.1
        0.41463	             0.53255	NP_001000727.1
        0.17778	             0.06433	NP_001000733.1
        0.03353	             0.02238	NP_001000734.1
        0.03450	             0.02881	NP_001000735.1
        0.06419	             0.02778	NP_001000736.1
        0.04886	             0.03556	NP_001000738.1
        0.09826	             0.04662	NP_001000739.1
        0.33212	             0.29011	NP_001000743.1
        0.00012	             0.00004	NP_001000745.1
        0.03689	             0.00637	NP_001000746.1
        0.05407	             0.01184	NP_001000747.1
        0.03022	             0.02578	NP_001000748.1
        0.16752	             0.17360	NP_001000750.1
        0.05232	             0.03098	NP_001000753.1
        0.16392	             0.19921	NP_001000759.1
        0.05491	             0.00749	NP_001000760.1
        0.03714	             0.03475	NP_001000762.1
        0.03406	             0.02142	NP_001000764.1
        0.02545	             0.01690	NP_001000765.1
        0.07120	             0.04636	NP_001000767.1
        0.05167	             0.04038	NP_001000769.1
        0.06955	             0.06229	NP_001000771.1
        0.07960	             0.05838	NP_001000772.1
        0.12117	             0.15075	NP_001000773.1
        0.05912	             0.03200	NP_001000774.1
        0.21962	             0.13913	NP_001000780.1
        0.48781	             0.73174	NP_001000781.1
        0.49215	             0.46892	NP_001000782.1
        0.69404	             0.41202	NP_001000783.1
        0.04794	             0.02569	NP_001000784.1
        0.09289	             0.04588	NP_001000787.1
        0.04637	             0.04792	NP_001000788.1
        0.08050	             0.06048	NP_001000790.1
        0.07941	             0.06674	NP_001000795.1
        0.04647	             0.01121	NP_001000797.1
        0.06050	             0.05429	NP_001000800.1
        0.05420	             0.02312	NP_001000803.1
        0.06476	             0.04111	NP_001000812.1
        0.07583	             0.06987	NP_001000814.1
        0.05287	             0.03767	NP_001000815.1
        0.06041	             0.05121	NP_001000816.1
        0.06566	             0.01776	NP_001000817.1
        0.07256	             0.02327	NP_001000823.1
        0.03338	             0.02177	NP_001000826.1
        1.10640	             0.16131	NP_001000830.1
        0.14493	             0.09440	NP_001000831.1
        0.04402	             0.01759	NP_001000832.1
        0.17280	             0.14753	NP_001000833.1
        0.05294	             0.01187	NP_001000836.1
        0.49290	             0.16256	NP_001000839.1
        0.45194	             0.33392	NP_001000840.1
        0.12437	             0.12933	NP_001000841.1
        0.08806	             0.07949	NP_001000842.1
        0.58225	             0.56469	NP_001000852.1
        0.03812	             0.02546	NP_001000853.1
        0.08823	             0.05524	NP_001000854.1
        0.05089	             0.03396	NP_001000855.1
        0.56593	             1.25311	NP_001000858.1
        0.03267	             0.03383	NP_001000868.1
        0.04537	             0.02450	NP_001000871.1
        0.15397	             0.14513	NP_001000872.1
        0.08865	             0.03935	NP_001000874.1
        0.03286	             0.01307	NP_001000879.1
        0.64603	             0.18441	NP_001000883.1
        0.05222	             0.03846	NP_001000884.1
        0.06163	             0.02799	NP_001000885.1
        1.86379	             0.82255	NP_001000886.1
        0.65350	             0.20792	NP_001000887.1
        1.69531	             0.72061	NP_001000888.1
        0.20460	             0.09132	NP_001000889.1
        0.23490	             0.22824	NP_001000896.1
        0.28352	             0.30819	NP_001000897.1
        0.15982	             0.09347	NP_001000898.1
        0.04910	             0.02186	NP_001000899.1
        0.10103	             0.05617	NP_001000900.1
        0.02296	             0.01479	NP_001000901.1
        0.12152	             0.10229	NP_001000902.1
        0.03828	             0.02291	NP_001000903.1
        0.06651	             0.05443	NP_001000904.1
        0.07145	             0.05557	NP_001000906.1
        0.08323	             0.07082	NP_001000908.1
        0.09818	             0.06136	NP_001000911.1
        0.03938	             0.03300	NP_001000912.1
        2.07755	             4.24616	NP_001000913.1
        0.04109	             0.00431	NP_001000922.1
        0.03762	             0.00682	NP_001000932.1
        0.03081	             0.01469	NP_001000933.1
        0.34946	             0.43058	NP_001000935.1
        0.05772	             0.04591	NP_001000937.1
        0.07581	             0.06124	NP_001000938.1
        0.03914	             0.01962	NP_001000947.2
        0.01958	             0.01105	NP_001000948.1
        0.06195	             0.02425	NP_001000950.1
        0.07051	             0.03519	NP_001000954.1
        0.02721	             0.01025	NP_001000955.1
        0.94415	             0.99955	NP_001000956.1
        0.22324	             0.16946	NP_001000957.1
        0.02202	             0.01264	NP_001000958.1
        0.04970	             0.01538	NP_001000960.1
        0.14519	             0.18152	NP_001000962.1
        0.05121	             0.01640	NP_001000964.1
        0.08655	             0.05981	NP_001000968.1
        0.04349	             0.03554	NP_001000970.1
        0.02476	             0.00690	NP_001000974.1
        0.12505	             0.08457	NP_001000975.1
        0.06691	             0.03975	NP_001000976.1
        0.01001	             0.01723	NP_001000977.1
        0.08169	             0.03845	NP_001000979.1
        0.28453	             0.48780	NP_001000980.1
        0.03720	             0.01910	NP_001000985.1
        0.09725	             0.04933	NP_001000988.1
        0.03939	             0.01601	NP_001000991.1
        0.20802	             0.18029	NP_001000993.1
        0.11181	             0.11084	NP_001001004.1
        0.03759	             0.02117	NP_001001007.1
        0.02424	             0.01275	NP_001001009.1
        0.15960	             0.14134	NP_001001012.1
        0.18304	             0.07055	NP_001001014.1
        0.03365	             0.02807	NP_001001022.1
        0.16765	             0.17464	NP_001001034.1
        0.20754	             0.09603	NP_001001035.1
        0.09564	             0.10855	NP_001001041.1
        0.15657	             0.05226	NP_001001049.1
        0.31638	             0.06566	NP_001001050.1
        0.02474	             0.00922	NP_001001051.1
        0.33447	             0.13310	NP_001001052.1
        0.06261	             0.01460	NP_001001053.1
        0.82655	             0.24937	NP_001001068.1
        0.06033	             0.06448	NP_001001073.1
        0.11935	             0.09791	NP_001001077.1
        0.07037	             0.04316	NP_001001078.1
        0.06526	             0.04314	NP_001001084.1
        0.16513	             0.09417	NP_001001088.1
        0.02168	             0.01703	NP_001001089.1
        0.11516	             0.11361	NP_001001090.1
        0.62953	             0.53654	NP_001001091.1
        0.27007	             0.29384	NP_001001092.1
        0.15057	             0.14056	NP_001001093.1
        1.11477	             2.15621	NP_001001097.1
        0.04980	             0.02078	NP_001001099.1
        0.07529	             0.06565	NP_001001100.1
        0.05433	             0.03768	NP_001001101.1
        0.04131	             0.03241	NP_001001102.1
        0.06454	             0.05572	NP_001001103.1
        0.63832	             0.87736	NP_001001110.1
        0.41094	             0.10890	NP_001001111.1
        0.06188	             0.00206	NP_001001112.1
        0.12788	             0.07364	NP_001001113.1
        0.32544	             0.17977	NP_001001115.1
        0.04626	             0.03921	NP_001001116.1
        0.03763	             0.02418	NP_001001117.1
        0.31935	             0.39866	NP_001001119.1
        0.08243	             0.05864	NP_001001122.1
        0.25237	             0.18100	NP_001001123.1
       15.50858	             9.91893	NP_001001144.2
        2.54782	             3.27724	NP_001001160.1
        4.71237	            26.92130	NP_001001179.2
        2.76598	             5.27378	NP_001001180.2
       32.51497	            49.53543	NP_001001183.1
        1.65054	             1.38970	NP_001001184.1
        9.38843	            19.40893	NP_001001185.1
        1.37501	             1.29341	NP_001001186.3
        4.18757	             3.22445	NP_001001187.2
        0.02662	             0.01780	NP_001001272.1
        0.02546	             0.01593	NP_001001273.1
        0.06251	             0.03871	NP_001001274.1
        0.07190	             0.03785	NP_001001283.1
        0.03657	             0.01243	NP_001001285.1
        0.04489	             0.02554	NP_001001288.1
        6.72668	             2.50419	NP_001001295.2
        0.07656	             0.05857	NP_001001320.1
        5.23830	             5.68222	NP_001001321.2
        0.11725	             0.11712	NP_001001322.1
       15.13680	            26.66791	NP_001001334.2
        0.03802	             0.02390	NP_001001350.1
        0.04685	             0.03123	NP_001001351.1
        0.03587	             0.02439	NP_001001360.1
        0.09054	             0.05859	NP_001001365.1
        0.03017	             0.01409	NP_001001367.1
        0.02715	             0.01954	NP_001001371.1
        0.02842	             0.01179	NP_001001372.1
        0.03144	             0.02261	NP_001001373.1
        0.41960	             0.16708	NP_001001374.1
        0.05027	             0.03265	NP_001001379.1
        0.01704	             0.00791	NP_001001380.1
        0.02773	             0.03188	NP_001001381.1
        0.11117	             0.09750	NP_001001382.1
        0.02769	             0.02281	NP_001001384.1
        0.10875	             0.12772	NP_001001387.1
        0.07974	             0.06127	NP_001001388.1
        0.14368	             0.11996	NP_001001397.1
        0.14479	             0.11163	NP_001001421.1
        0.27000	             0.27614	NP_001001422.1
        0.32995	             0.26980	NP_001001423.1
        0.04644	             0.05282	NP_001001424.1
        0.07145	             0.05369	NP_001001425.1
        2.21233	             4.43240	NP_001001427.1
        3.90093	             9.40420	NP_001001428.1
        0.40380	             0.72268	NP_001001429.1
        0.71909	             1.62586	NP_001001445.1
        0.60253	             0.64273	NP_001001447.1
        0.13583	             0.07417	NP_001001449.1
        0.26971	             0.14008	NP_001001450.1
        0.11931	             0.08890	NP_001001451.1
        0.21481	             0.20661	NP_001001452.1
        0.05476	             0.04723	NP_001001453.1
        0.08427	             0.14101	NP_001001454.2
       11.63783	            27.05905	NP_001001488.2
        0.33261	             0.60503	NP_001001490.1
      175.41243	           139.57453	NP_001001491.1
        7.30087	            13.57366	NP_001001492.2
       71.45892	            34.18895	NP_001001493.1
        0.61467	             0.77956	NP_001001495.2
        0.55700	             1.02604	NP_001001496.1
       40.13745	            66.39699	NP_001001505.2
        0.22460	             0.31078	NP_001001506.1
        2.76891	             6.13248	NP_001001507.1
        7.88283	            21.41213	NP_001001508.2
       11.56139	            39.19680	NP_001001509.1
       37.11545	           103.36604	NP_001001510.1
        2.20983	             2.43186	NP_001001511.1
        3.01428	            10.70372	NP_001001518.1
        0.16130	             0.20926	NP_001001519.1
       19.52139	            14.15303	NP_001001566.1
        1.93739	             2.22613	NP_001001650.1
        1.82456	             0.86765	NP_001001714.1
        1.71879	             2.99929	NP_001001717.1
        1.84349	             1.80421	NP_001001719.1
        0.31720	             0.71257	NP_001001738.2
       13.27595	            34.53384	NP_001001799.1
       10.13004	            13.84712	NP_001001800.1
        9.48161	            19.54096	NP_001001804.2
       68.16371	            60.11988	NP_001001806.1
        0.46242	             0.31478	NP_001001807.1
        0.17668	             0.14549	NP_001001808.2
       13.98929	             8.95553	NP_001001881.1
        1.19895	             2.37613	NP_001001883.1
        9.05809	            28.19665	NP_001001885.1
        0.29902	             0.32597	NP_001001934.1
       54.69646	           136.37199	NP_001001969.1
        8.25628	            55.08253	NP_001001970.1
        1.16948	             2.78234	NP_001001979.1
        3.39863	             2.95223	NP_001001981.2
       10.69907	             9.34007	NP_001001982.3
       13.85140	             7.34131	NP_001001984.2
       12.58588	            30.29106	NP_001001985.3
        2.07574	             3.74787	NP_001001999.1
       60.46929	            22.69301	NP_001002004.2
        8.76066	             5.26530	NP_001002008.1
       38.39205	            52.66524	NP_001002011.2
       82.05714	            85.91774	NP_001002016.2
        3.75191	             9.32483	NP_001002024.2
        0.58666	             1.00459	NP_001002025.1
       92.44305	           105.17805	NP_001002253.1
        8.21711	            11.29612	NP_001002267.2
        0.39930	             0.76373	NP_001002272.1
        7.43356	             3.61101	NP_001002278.1
       29.03710	            15.52979	NP_001002279.1
        0.11489	             0.10443	NP_001002281.1
        0.01177	             0.00937	NP_001002283.1
        0.15225	             0.16022	NP_001002284.1
        0.06844	             0.04442	NP_001002285.1
        1.80227	             4.56129	NP_001002288.1
       54.78109	            81.99407	NP_001002290.1
        0.04378	             0.04494	NP_001002291.1
       10.28321	             4.43656	NP_001002764.1
       17.13704	            41.17472	NP_001002787.1
        0.13725	             0.07012	NP_001002791.1
        8.14238	             6.84543	NP_001002798.1
       18.76662	            28.64755	NP_001002802.1
        6.48595	            13.27327	NP_001002804.2
       84.87853	           228.06590	NP_001002805.1
       36.86305	            43.37938	NP_001002806.2
      139.12568	           135.28234	NP_001002807.1
       14.15550	            16.64885	NP_001002816.2
       24.65415	            40.82797	NP_001002818.1
        8.54519	             9.90049	NP_001002819.2
        4.65550	             8.87019	NP_001002820.1
       30.15805	            43.16687	NP_001002822.2
        5.78929	             7.45461	NP_001002827.1
       15.54486	            21.10201	NP_001002830.1
        2.16779	             3.39024	NP_001002833.1
        2.00890	             3.53756	NP_001002834.1
        1.54766	             2.01879	NP_001002842.2
     9411.31638	         14811.56315	NP_001002850.1
       80.28727	            44.97364	NP_001002851.1
        2.91280	             2.81606	NP_001002852.1
        0.55717	             0.97377	NP_001002853.1
      234.21671	           352.35627	NP_001002855.1
        4.90868	             3.44906	NP_001002894.2
       34.35963	            30.16124	NP_001002895.2
        2.13800	             4.26812	NP_001002897.2
        2.37604	             5.28504	NP_001002898.1
        0.42212	             0.55358	NP_001002900.1
       12.15442	            27.44398	NP_001002927.1
       18.89300	             7.37923	NP_001002929.3
       21.52731	            53.43438	NP_001002930.1
        0.16984	             0.12501	NP_001002931.1
       24.15032	            26.43193	NP_001002932.1
        0.16798	             0.22130	NP_001002933.1
        1.28081	             2.45755	NP_001002934.2
        4.94172	             7.33375	NP_001002935.1
       70.72216	            64.43638	NP_001002936.1
      219.30995	            89.41475	NP_001002937.1
       72.02209	            86.58462	NP_001002938.2
       40.72645	           115.59839	NP_001002939.1
        9.55627	             5.37417	NP_001002940.1
        0.02724	             0.01805	NP_001002941.1
        8.71153	            23.41202	NP_001002942.1
       13.90955	             8.74151	NP_001002943.2
       13.08838	            13.36776	NP_001002944.1
       65.60457	           359.74886	NP_001002945.2
        3.69715	            12.72505	NP_001002946.1
      147.43526	           457.74495	NP_001002947.1
       94.32694	           290.23243	NP_001002948.1
        9.92527	             9.18358	NP_001002949.1
       13.55516	            15.05619	NP_001002950.2
      122.96964	           151.61133	NP_001002951.2
       14.59690	            25.28674	NP_001002952.1
       10.51518	            10.81017	NP_001002953.1
        6.79405	             3.76820	NP_001002954.1
       13.19021	            18.50756	NP_001002955.1
        7.29412	            14.55756	NP_001002956.1
      235.65113	           143.01536	NP_001002957.2
        0.84679	             1.03935	NP_001002959.1
       23.40117	            60.97356	NP_001002960.1
      856.21789	          1040.23389	NP_001002961.1
      227.76385	           545.26946	NP_001002962.1
        9.35957	             8.46591	NP_001002963.1
        2.45111	             3.37343	NP_001002964.1
      141.29036	           201.55862	NP_001002965.2
       28.29109	           113.72768	NP_001002966.1
        1.83423	             5.71458	NP_001002967.1
        1.53619	             4.41843	NP_001002968.1
       77.31965	            90.85037	NP_001002969.1
       46.58688	            69.36907	NP_001002970.2
        9.93251	             7.92378	NP_001002971.1
        3.26126	             4.69177	NP_001002972.1
       27.89488	            28.27790	NP_001002973.1
       30.97010	            19.47003	NP_001002974.1
        2.85661	             5.62402	NP_001002975.1
       12.34822	            18.72108	NP_001002976.1
        5.43874	             8.42629	NP_001002977.1
       18.57219	            21.36475	NP_001002978.1
        6.10228	             6.75914	NP_001002979.1
        8.63034	            18.63225	NP_001002980.1
        1.60314	             1.85896	NP_001002981.1
        7.05196	             4.76226	NP_001002982.1
        4.87610	            14.28180	NP_001002983.1
      218.29980	           277.03700	NP_001002984.1
        4.15932	             2.85754	NP_001002985.1
        1.86695	             4.28356	NP_001002986.1
     6146.75752	         20770.43629	NP_001002988.1
      218.96097	           130.17345	NP_001002989.1
     2795.50107	          7055.85563	NP_001002990.1
        1.03019	             0.77999	NP_001002991.1
        2.61817	             3.95111	NP_001002992.1
        4.72814	            13.72680	NP_001002994.1
       32.63633	            22.97193	NP_001002995.2
      107.77135	            57.23139	NP_001002996.1
        9.85182	            24.96746	NP_001002997.1
        0.78118	             0.65676	NP_001002998.1
        4.59467	            10.83644	NP_001002999.1
       65.63535	            38.43198	NP_001003001.1
        2.22645	             3.32996	NP_001003002.2
        0.53773	             0.84508	NP_001003003.2
       35.01244	            65.38588	NP_001003004.1
        1.47524	             3.47547	NP_001003005.2
        4.60928	            15.60627	NP_001003006.2
       56.47838	           289.33516	NP_001003007.2
       23.76322	            49.23919	NP_001003008.1
      528.86375	          1318.88029	NP_001003009.2
       45.47008	           112.76169	NP_001003010.1
       31.89819	            20.00158	NP_001003011.1
     1399.77674	          5004.70940	NP_001003012.2
      125.49651	            61.25992	NP_001003013.2
      380.06925	           171.25205	NP_001003014.1
       26.87172	            20.41649	NP_001003015.1
       99.49996	            64.06611	NP_001003016.2
       15.67122	            29.11748	NP_001003017.2
      149.90363	           238.00568	NP_001003018.2
        0.69428	             0.65464	NP_001003020.1
       60.46619	            44.59418	NP_001003021.1
       16.48745	            10.20015	NP_001003022.1
       26.26593	            28.76059	NP_001003023.1
        5.49372	             3.61450	NP_001003024.1
      306.72231	           379.64692	NP_001003025.1
        0.14999	             0.16495	NP_001003027.1
        0.19257	             0.24736	NP_001003028.1
      667.94244	           776.48643	NP_001003029.1
        0.97741	             1.52352	NP_001003030.1
       12.49332	             5.07065	NP_001003031.2
       74.37431	            39.59838	NP_001003032.1
      213.12787	           136.71795	NP_001003033.1
      198.00976	           115.67037	NP_001003034.1
     1428.30442	          1033.20848	NP_001003035.1
