x_query	y_span_0.2	y_span_0.4	y_span_0.6	y_span_0.8
          8654.62763	         15835.17447	         15838.23589	         15839.18665	         15839.25529
          8701.92068	         15745.55463	         15750.54120	         15752.06042	         15752.16962
          8749.21373	         15653.58663	         15660.49783	         15662.58564	         15662.73541
          8796.50677	         15559.28010	         15568.11510	         15570.77155	         15570.96190
          8843.79982	         15462.64467	         15473.40234	         15476.62738	         15476.85831
          8891.09286	         15363.68991	         15376.36882	         15380.16232	         15380.43382
          8938.38591	         15262.42537	         15277.02383	         15281.38557	         15281.69764
          8985.67896	         15158.86059	         15175.37661	         15180.30630	         15180.65892
          9032.97200	         15053.00506	         15071.43638	         15076.93365	         15077.32680
          9080.26505	         14944.86822	         14965.21232	         14971.27673	         14971.71038
          9127.55810	         14834.45948	         14856.71361	         14863.34463	         14863.81875
          9174.85114	         14721.78822	         14745.94935	         14753.14639	         14753.66094
          9222.14419	         14606.86376	         14632.92863	         14640.69103	         14641.24597
          9269.43724	         14489.69536	         14517.66049	         14525.98753	         14526.58281
          9316.73028	         14370.29225	         14400.15393	         14409.04480	         14409.68037
          9364.02333	         14248.66360	         14280.41788	         14289.87173	         14290.54753
          9411.31638	         14124.81851	         14158.46125	         14168.47715	         14169.19313
