x_var	y_var_span_0.4
  4.079397	   0.3488413863
  4.129146	   0.3368094096
  4.178894	   0.3197145396
  4.228643	   0.3014251647
  4.278392	   0.2792264658
  4.328141	   0.2557598439
  4.377889	   0.2295305408
  4.427638	   0.2020959342
  4.477387	   0.1728520043
  4.527136	   0.1426586681
  4.576884	   0.1114961361
  4.626633	   0.0798076481
  4.676382	   0.0480088531
  4.726131	   0.0162153948
  4.775879	  -0.0148775131
  4.825628	  -0.0453771328
  4.875377	  -0.0745887782
  4.925126	  -0.1026071510
  4.974874	  -0.1290021743
  5.024623	  -0.1536162987
  5.074372	  -0.1763933529
  5.124121	  -0.1967984606
  5.173869	  -0.2152079923
  5.223618	  -0.2306478288
  5.273367	  -0.2440684103
  5.323116	  -0.2540071840
  5.372864	  -0.2620853824
  5.422613	  -0.2663987366
  5.472362	  -0.2690854975
  5.522111	  -0.2679796150
  5.571859	  -0.2654410385
  5.621608	  -0.2591993348
  5.671357	  -0.2517214597
  5.721106	  -0.2406482246
  5.770854	  -0.2286307263
  5.820603	  -0.2132712814
  5.870352	  -0.1972839498
  5.920101	  -0.1785594601
  5.969849	  -0.1593691370
  6.019598	  -0.1383547614
  6.069347	  -0.1168665023
  6.119095	  -0.0944698892
  6.168844	  -0.0716109577
  6.218593	  -0.0485839175
  6.268342	  -0.0252197036
  6.318090	  -0.0024528413
  6.367839	   0.0205987917
  6.417588	   0.0419934711
  6.467337	   0.0638913499
  6.517085	   0.0829151617
  6.566834	   0.1027960775
  6.616583	   0.1188854915
  6.666332	   0.1359962001
  6.716080	   0.1488775998
  6.765829	   0.1627149423
  6.815578	   0.1720130252
  6.865327	   0.1822987824
  6.915075	   0.1875070212
  6.964824	   0.1940239155
  7.014573	   0.1949261528
  7.064322	   0.1974499164
  7.114070	   0.1943853319
  7.163819	   0.1928415522
  7.213568	   0.1863883544
  7.263317	   0.1810355269
  7.313065	   0.1715369219
  7.362814	   0.1628922418
  7.412563	   0.1505117691
  7.462312	   0.1390731509
  7.512060	   0.1243007432
  7.561809	   0.1104316757
  7.611558	   0.0942635123
  7.661307	   0.0784087060
  7.711055	   0.0618625821
  7.760804	   0.0447775962
  7.810553	   0.0283906243
  7.860302	   0.0110013429
  7.910050	  -0.0049732796
  7.959799	  -0.0219532274
  8.009548	  -0.0363580093
  8.059296	  -0.0492306526
  8.109045	  -0.0603197992
  8.158794	  -0.0697638357
  8.208543	  -0.0778092286
  8.258291	  -0.0846815119
  8.308040	  -0.0905555008
  8.357789	  -0.0955568756
  8.407538	  -0.0997743623
  8.457286	  -0.1032674014
  8.507035	  -0.1060727380
  8.556784	  -0.1082115708
  8.606533	  -0.1096921402
  8.656281	  -0.1105161853
  8.706030	  -0.1106810847
  8.755779	  -0.1101824521
  8.805528	  -0.1090160056
  8.855276	  -0.1071765678
  8.905025	  -0.1046585379
  8.954774	  -0.1014550064
  9.004523	  -0.0975570513
  9.054271	  -0.0929549963
  9.104020	  -0.0876379517
  9.153769	  -0.0815956254
  9.203518	  -0.0748188740
  9.253266	  -0.0672999184
  9.303015	  -0.0590332323
  9.352764	  -0.0500143187
  9.402513	  -0.0402397624
  9.452261	  -0.0297063684
  9.502010	  -0.0184101948
  9.551759	  -0.0063471423
  9.601508	   0.0064876571
  9.651256	   0.0200986500
  9.701005	   0.0344886514
  9.750754	   0.0496589486
  9.800503	   0.0656072317
  9.850251	   0.0823294899
  9.900000	   0.0998201951
