x_var	y_var_span_0.2
  6.268342	  -0.0079984675
  6.318090	   0.0214093964
  6.367839	   0.0470175972
  6.417588	   0.0716607998
  6.467337	   0.0950377350
  6.517085	   0.1157382815
  6.566834	   0.1385375540
  6.616583	   0.1581451943
  6.666332	   0.1784686706
  6.716080	   0.1966941145
  6.765829	   0.2107615524
  6.815578	   0.2235055693
  6.865327	   0.2305807430
  6.915075	   0.2350172981
  6.964824	   0.2381137200
  7.014573	   0.2364903842
  7.064322	   0.2375868610
  7.114070	   0.2341489187
  7.163819	   0.2310776102
  7.213568	   0.2261904501
  7.263317	   0.2160858684
  7.313065	   0.2059347679
  7.362814	   0.1902003161
  7.412563	   0.1727929190
  7.462312	   0.1559434847
  7.512060	   0.1349837683
  7.561809	   0.1188033938
  7.611558	   0.0996248366
  7.661307	   0.0813793567
  7.711055	   0.0643844647
  7.760804	   0.0420119606
  7.810553	   0.0230120875
  7.860302	  -0.0003963766
  7.910050	  -0.0231071512
  7.959799	  -0.0425304267
  8.009548	  -0.0643879998
  8.059296	  -0.0793022224
  8.109045	  -0.0947331118
  8.158794	  -0.1090746871
  8.208543	  -0.1186340874
  8.258291	  -0.1340431479
  8.308040	  -0.1431158468
  8.357789	  -0.1554993536
  8.407538	  -0.1660440182
  8.457286	  -0.1709341544
  8.507035	  -0.1780148953
  8.556784	  -0.1770063757
  8.606533	  -0.1754520261
  8.656281	  -0.1739306153
  8.706030	  -0.1658859138
  8.755779	  -0.1650492446
  8.805528	  -0.1573857051
  8.855276	  -0.1524287071
  8.905025	  -0.1472811802
  8.954774	  -0.1348283199
  9.004523	  -0.1272196273
  9.054271	  -0.1134685016
  9.104020	  -0.0979032349
  9.153769	  -0.0824134625
  9.203518	  -0.0675149165
  9.253266	  -0.0533268531
  9.303015	  -0.0398937101
  9.352764	  -0.0272123963
  9.402513	  -0.0152628041
  9.452261	  -0.0040001231
  9.502010	   0.0066511709
  9.551759	   0.0167652839
  9.601508	   0.0264165039
  9.651256	   0.0356545774
  9.701005	   0.0444933741
  9.750754	   0.0529162491
  9.800503	   0.0608565487
  9.850251	   0.0682212587
  9.900000	   0.0748927885
