Orthogroup	dana	dere	dgri	dmel	dmoj	dper	dpse	dsec	dsim	dvir	dwil	dyak
OG0000022	FBpp0113262, FBpp0113263, FBpp0113264, FBpp0113265, FBpp0113268, FBpp0127627, FBpp0127628, FBpp0127629	FBpp0133161, FBpp0133163, FBpp0133166, FBpp0133305, FBpp0133308, FBpp0133309, FBpp0138368, FBpp0138369	FBpp0149391, FBpp0149392, FBpp0149893, FBpp0149895	FBpp0072524, FBpp0072526, FBpp0072527, FBpp0072529, FBpp0072530, FBpp0072533	FBpp0165854, FBpp0165855, FBpp0165859, FBpp0165860, FBpp0165978, FBpp0165979	FBpp0178619, FBpp0180190, FBpp0180263, FBpp0180264, FBpp0180265, FBpp0180266, FBpp0180798, FBpp0185533	GA11118-PA	FBpp0195706, FBpp0195855, FBpp0195857, FBpp0195859	FBpp0211895, FBpp0211995, FBpp0211996, FBpp0216019, FBpp0314094, FBpp0319699, FBpp0322087, FBpp0324482	FBpp0226922, FBpp0226924, FBpp0226925, FBpp0227310, FBpp0227312, FBpp0227313	FBpp0241297, FBpp0241403, FBpp0250227, FBpp0250238, FBpp0250249, FBpp0250260	FBpp0265986, FBpp0265987, FBpp0265991, FBpp0266133, FBpp0266134, FBpp0266135, FBpp0266136
OG0000026	FBpp0120167, FBpp0120168, FBpp0120169, FBpp0120170, FBpp0120171, FBpp0120172, FBpp0120710, FBpp0120711	FBpp0129730, FBpp0129731, FBpp0129732, FBpp0129733, FBpp0129734, FBpp0135827, FBpp0135828	FBpp0145112, FBpp0145654, FBpp0157645, FBpp0157720, FBpp0157778	FBpp0081799, FBpp0083741, FBpp0083743, FBpp0083744, FBpp0083745, FBpp0083746	FBpp0167345, FBpp0172234, FBpp0172235, FBpp0172236, FBpp0172237	FBpp0177769, FBpp0177770, FBpp0177771, FBpp0187932, FBpp0187933	GA19815-PA, GA19818-PA	FBpp0207642, FBpp0207643, FBpp0207960, FBpp0207962, FBpp0207963, FBpp0207964, FBpp0207965	FBpp0219119, FBpp0219398, FBpp0219400, FBpp0219401, FBpp0219402, FBpp0219403, FBpp0317280	FBpp0232170, FBpp0239028, FBpp0239029, FBpp0239031	FBpp0243553, FBpp0243555, FBpp0243556, FBpp0243557, FBpp0251722, FBpp0251723	FBpp0255361, FBpp0255362, FBpp0255363, FBpp0255364, FBpp0255365, FBpp0269692, FBpp0269693
OG0000029	FBpp0115594, FBpp0115595, FBpp0115738, FBpp0115739, FBpp0117807, FBpp0118478	FBpp0138740, FBpp0138741, FBpp0141204, FBpp0141206, FBpp0141207	FBpp0156772, FBpp0156830, FBpp0156831, FBpp0156832, FBpp0156833	FBpp0087223, FBpp0087224, FBpp0087225, FBpp0087254, FBpp0087255, FBpp0087256, FBpp0087257	FBpp0167630, FBpp0167631, FBpp0169824, FBpp0170460, FBpp0170461	FBpp0181249, FBpp0181250, FBpp0181445, FBpp0181446	GA14937-PA, GA15051-PA	FBpp0201916, FBpp0201917, FBpp0201918	FBpp0209195, FBpp0213793, FBpp0313350, FBpp0324178	FBpp0232996, FBpp0235170, FBpp0235171, FBpp0235264, FBpp0235266, FBpp0235912, FBpp0235914, FBpp0235915, FBpp0235916, FBpp0235917, FBpp0236742	FBpp0248597, FBpp0248818, FBpp0248819, FBpp0248835, FBpp0248836, FBpp0251137, FBpp0251138	FBpp0257363, FBpp0257364, FBpp0258543, FBpp0258544, FBpp0258545
OG0000031	FBpp0113951, FBpp0113953, FBpp0126866, FBpp0126867, FBpp0126868, FBpp0126869	FBpp0131952, FBpp0131953, FBpp0131954, FBpp0134581, FBpp0134582, FBpp0134583	FBpp0156501, FBpp0156502, FBpp0156503, FBpp0156504, FBpp0156505, FBpp0156506, FBpp0156507, FBpp0158552	FBpp0074699, FBpp0074701, FBpp0074752, FBpp0074754, FBpp0271914, FBpp0271917, FBpp0271919	FBpp0161005, FBpp0161006, FBpp0162747, FBpp0162748	FBpp0185039, FBpp0185041		FBpp0200124, FBpp0201002	FBpp0316334, FBpp0318278, FBpp0322958, FBpp0323429	FBpp0226307, FBpp0226309, FBpp0227909, FBpp0227910	FBpp0248633, FBpp0248644, FBpp0248655, FBpp0248666, FBpp0248677, FBpp0249337, FBpp0249344, FBpp0249347, FBpp0249354	FBpp0260131, FBpp0267512, FBpp0267513, FBpp0267789, FBpp0268018, FBpp0268079, FBpp0268213
OG0000034	FBpp0114110, FBpp0114113, FBpp0114114, FBpp0114115, FBpp0114117, FBpp0126717, FBpp0126718	FBpp0132628, FBpp0132629, FBpp0132632	FBpp0147873, FBpp0149552, FBpp0149554, FBpp0149555, FBpp0149556, FBpp0149557, FBpp0149751, FBpp0149752	FBpp0076730, FBpp0076764, FBpp0076765, FBpp0076766, FBpp0076767, FBpp0076769, FBpp0111379	FBpp0161844, FBpp0161845, FBpp0161912, FBpp0161913	FBpp0179620, FBpp0179623, FBpp0179624, FBpp0179627, FBpp0179628, FBpp0179665, FBpp0179666	GA15076-PA	FBpp0195339, FBpp0195342, FBpp0195343, FBpp0195345	FBpp0211547, FBpp0211555, FBpp0213355, FBpp0318419	FBpp0227094, FBpp0227097, FBpp0227098, FBpp0227166, FBpp0227169	FBpp0246056, FBpp0246057, FBpp0246059, FBpp0246061, FBpp0246064, FBpp0246066, FBpp0246067, FBpp0246410	
OG0000036	FBpp0118447, FBpp0123311, FBpp0123862, FBpp0127248	FBpp0130467, FBpp0131778, FBpp0132289, FBpp0134211, FBpp0135233, FBpp0143002, FBpp0143554	FBpp0144587, FBpp0146955	FBpp0075509, FBpp0075529, FBpp0077132, FBpp0078048, FBpp0306251	FBpp0160344, FBpp0162815	FBpp0180156, FBpp0180214, FBpp0181998, FBpp0182063, FBpp0184592, FBpp0184593, FBpp0184596, FBpp0184599, FBpp0184663, FBpp0186325, FBpp0190382, FBpp0190998	GA14480-PA	FBpp0199639, FBpp0199640, FBpp0199955, FBpp0203615, FBpp0206043, FBpp0206920	FBpp0212872, FBpp0221174, FBpp0221175, FBpp0316504, FBpp0321253, FBpp0328190	FBpp0225785, FBpp0225802, FBpp0226717, FBpp0231561	FBpp0247628	FBpp0259944, FBpp0262984, FBpp0263304, FBpp0263305, FBpp0265048, FBpp0267003, FBpp0267979
OG0000040	FBpp0114440, FBpp0119459, FBpp0122958	FBpp0135066, FBpp0138470, FBpp0138471, FBpp0138472, FBpp0138474, FBpp0139466	FBpp0154278, FBpp0154280, FBpp0157598	FBpp0072260, FBpp0072261, FBpp0084710, FBpp0085748, FBpp0085749	FBpp0172264, FBpp0172265, FBpp0172266	FBpp0177944, FBpp0184533, FBpp0184535, FBpp0188352	GA12384-PA, GA13049-PA	FBpp0193304, FBpp0193305, FBpp0194229, FBpp0201322, FBpp0201323	FBpp0219801, FBpp0223349, FBpp0223350, FBpp0223351, FBpp0223736, FBpp0327044	FBpp0235480, FBpp0235481, FBpp0235482, FBpp0235483, FBpp0235484, FBpp0235706	FBpp0239983, FBpp0248355, FBpp0248473, FBpp0250940	FBpp0256460, FBpp0256461, FBpp0256462, FBpp0256463, FBpp0256464, FBpp0256465, FBpp0258868, FBpp0268829
OG0000041	FBpp0113795, FBpp0114663, FBpp0116584, FBpp0124716	FBpp0130151, FBpp0135925, FBpp0138860, FBpp0143689	FBpp0145521, FBpp0150206, FBpp0150209, FBpp0150455, FBpp0153749, FBpp0155940	FBpp0091001, FBpp0091022, FBpp0091037, FBpp0091042, FBpp0091043	FBpp0162458, FBpp0162459, FBpp0162460, FBpp0169648, FBpp0169649	FBpp0181456, FBpp0185396, FBpp0185397, FBpp0185407, FBpp0185408, FBpp0191313, FBpp0191314, FBpp0191315, FBpp0191386		FBpp0194205, FBpp0197382, FBpp0201829, FBpp0205336, FBpp0205337	FBpp0217070, FBpp0222393, FBpp0224233, FBpp0314006, FBpp0319686, FBpp0324876	FBpp0226431, FBpp0234522, FBpp0236002	FBpp0241202, FBpp0248313, FBpp0248462, FBpp0248463	FBpp0258450, FBpp0265835, FBpp0268803, FBpp0271021
OG0000042	FBpp0120241, FBpp0120251, FBpp0120252, FBpp0120253, FBpp0120255, FBpp0120256	FBpp0135678, FBpp0135679, FBpp0140266, FBpp0140277, FBpp0140288, FBpp0143838	FBpp0154070, FBpp0154839	FBpp0079296, FBpp0082074, FBpp0082779, FBpp0082780, FBpp0099966, FBpp0290087	FBpp0170506, FBpp0173593	FBpp0181057, FBpp0191288, FBpp0191289, FBpp0191297, FBpp0191298, FBpp0191299, FBpp0191300	GA13330-PA, GA14556-PA	FBpp0192530, FBpp0196649, FBpp0196650, FBpp0196651, FBpp0198522, FBpp0207492, FBpp0207493	FBpp0217516, FBpp0217517, FBpp0217518, FBpp0218975, FBpp0218976, FBpp0221955		FBpp0240339, FBpp0240340, FBpp0242126, FBpp0251471	FBpp0263794, FBpp0269534, FBpp0269535, FBpp0269591, FBpp0269592, FBpp0269593
OG0000044	FBpp0120551, FBpp0120808, FBpp0127189	FBpp0133841, FBpp0134398, FBpp0142040	FBpp0145191, FBpp0149427, FBpp0149537, FBpp0149647, FBpp0159146, FBpp0159147	FBpp0076733, FBpp0083204, FBpp0083208, FBpp0083209, FBpp0290125	FBpp0166360, FBpp0171642, FBpp0171643	FBpp0176055, FBpp0176780, FBpp0177703, FBpp0185735, FBpp0186234, FBpp0186311, FBpp0186313, FBpp0187529	GA10983-PA	FBpp0194613, FBpp0196201, FBpp0196202, FBpp0202352, FBpp0208339, FBpp0208372	FBpp0212306, FBpp0212308, FBpp0217715, FBpp0315419	FBpp0225212, FBpp0225401, FBpp0225402, FBpp0225403, FBpp0225404, FBpp0230600	FBpp0244334, FBpp0244686, FBpp0251496, FBpp0251497	FBpp0266525, FBpp0266526, FBpp0270124, FBpp0270634
OG0000049	FBpp0115343, FBpp0115345, FBpp0115346	FBpp0140412, FBpp0140413, FBpp0140414, FBpp0140415, FBpp0140416	FBpp0155563, FBpp0155564, FBpp0155567	FBpp0085935, FBpp0085937, FBpp0085938, FBpp0085939, FBpp0298013	FBpp0169328, FBpp0169330, FBpp0169331	FBpp0181866, FBpp0181867, FBpp0181868, FBpp0181869, FBpp0183461	GA13036-PA, GA14977-PA, GA14980-PA	FBpp0203337, FBpp0203338, FBpp0203339, FBpp0203340	FBpp0209759, FBpp0209760, FBpp0316683, FBpp0325527, FBpp0327607	FBpp0226749, FBpp0234297, FBpp0234298, FBpp0234299, FBpp0234300, FBpp0234301, FBpp0236885	FBpp0252116, FBpp0252117	FBpp0256953, FBpp0256954, FBpp0256955, FBpp0256956, FBpp0256957
OG0000051	FBpp0114166, FBpp0116225, FBpp0125111	FBpp0134796, FBpp0136443, FBpp0139061	FBpp0144855, FBpp0150595, FBpp0154139	FBpp0073917, FBpp0297551, FBpp0428157	FBpp0160592, FBpp0165670, FBpp0168621	FBpp0180585, FBpp0184170, FBpp0184903	GA11029-PA, GA20867-PA	FBpp0192253, FBpp0192583, FBpp0192667, FBpp0193224, FBpp0193420, FBpp0196526, FBpp0196601, FBpp0197713, FBpp0197741, FBpp0198370, FBpp0198405, FBpp0203084, FBpp0203916, FBpp0203983, FBpp0203984, FBpp0204041	FBpp0313886, FBpp0314205, FBpp0323101	FBpp0226046, FBpp0230270, FBpp0236882	FBpp0246252, FBpp0246311, FBpp0252159	FBpp0256710, FBpp0262215, FBpp0267620
OG0000056	FBpp0116499, FBpp0128067	FBpp0133211, FBpp0133823, FBpp0138002, FBpp0138112, FBpp0138222, FBpp0140742	FBpp0149374, FBpp0149906, FBpp0149907, FBpp0157178	FBpp0072470, FBpp0076796, FBpp0086111, FBpp0086113	FBpp0165960, FBpp0166141	FBpp0180250	GA19967-PA	FBpp0192624, FBpp0195038, FBpp0195133, FBpp0195134, FBpp0195758, FBpp0196188, FBpp0197652, FBpp0197653, FBpp0201459, FBpp0208130	FBpp0212295, FBpp0315920, FBpp0317769, FBpp0319767, FBpp0324199, FBpp0327394	FBpp0226907	FBpp0241208, FBpp0250125, FBpp0250136, FBpp0254533	FBpp0259201, FBpp0259202, FBpp0259203, FBpp0266036, FBpp0266509
OG0000057	FBpp0114583, FBpp0115797, FBpp0119325, FBpp0120957	FBpp0130622, FBpp0135920, FBpp0139452, FBpp0141506	FBpp0147927, FBpp0153048, FBpp0154109, FBpp0154893	FBpp0072177, FBpp0081524, FBpp0085721, FBpp0289838	FBpp0169946, FBpp0170538, FBpp0172816, FBpp0174069	FBpp0177778, FBpp0180832, FBpp0187982	GA17427-PA, GA21728-PA	FBpp0193329, FBpp0197779, FBpp0201305, FBpp0207737	FBpp0219200, FBpp0223721, FBpp0314991, FBpp0319110	FBpp0234883, FBpp0236009, FBpp0237990, FBpp0238912	FBpp0241276, FBpp0244849, FBpp0251346, FBpp0251670	FBpp0255530, FBpp0258854, FBpp0259407, FBpp0269789
OG0000058	FBpp0115566, FBpp0115567, FBpp0124727, FBpp0126097, FBpp0126524, FBpp0126525, FBpp0126526	FBpp0130255, FBpp0130300, FBpp0130479, FBpp0130533, FBpp0142883	FBpp0148934	FBpp0078691, FBpp0084868, FBpp0084878, FBpp0085014, FBpp0085052, FBpp0087783	FBpp0165898	FBpp0177605, FBpp0177606, FBpp0177607, FBpp0181221, FBpp0190601	GA15953-PA, GA21175-PA	FBpp0194316, FBpp0194360, FBpp0199534, FBpp0202533	FBpp0208992, FBpp0209885, FBpp0215448, FBpp0219924, FBpp0221079, FBpp0313302	FBpp0227349	FBpp0242338, FBpp0243235, FBpp0246041	FBpp0255892, FBpp0263726, FBpp0264228, FBpp0268394
OG0000060	FBpp0115361, FBpp0115363, FBpp0115364, FBpp0115365, FBpp0115366	FBpp0140432, FBpp0140433, FBpp0140434, FBpp0140435, FBpp0140436	FBpp0155574, FBpp0155575	FBpp0085853, FBpp0085854, FBpp0085855, FBpp0085856, FBpp0085857	FBpp0169338, FBpp0169339, FBpp0169340	FBpp0181878, FBpp0181880	GA14542-PA, GA14545-PA	FBpp0203356, FBpp0203357, FBpp0203358, FBpp0203359	FBpp0209775, FBpp0209776, FBpp0209777, FBpp0209778, FBpp0209779	FBpp0234308, FBpp0234309, FBpp0234310	FBpp0252126, FBpp0252132, FBpp0252133, FBpp0252134	FBpp0256971, FBpp0256972, FBpp0256973, FBpp0256974, FBpp0256975
OG0000064	FBpp0116839, FBpp0116841, FBpp0119964	FBpp0129971, FBpp0141862, FBpp0141864, FBpp0143514	FBpp0150693, FBpp0155210, FBpp0157311	FBpp0077183, FBpp0084278, FBpp0087929, FBpp0087930	FBpp0159556, FBpp0159557, FBpp0162664, FBpp0169010, FBpp0169011	FBpp0175808, FBpp0175810, FBpp0185642, FBpp0185643	GA10810-PA, GA14657-PA	FBpp0191742, FBpp0202471, FBpp0202472	FBpp0313610, FBpp0320474, FBpp0325517	FBpp0224610, FBpp0226226, FBpp0229533, FBpp0229534	FBpp0248131, FBpp0248557, FBpp0248558, FBpp0250597, FBpp0251118	FBpp0263269, FBpp0264171, FBpp0264172, FBpp0268630
OG0000065	FBpp0114510, FBpp0114689	FBpp0135481, FBpp0139086, FBpp0139088, FBpp0139089, FBpp0142785, FBpp0142786		FBpp0080249, FBpp0080250, FBpp0086417, FBpp0100028, FBpp0271804, FBpp0291690, FBpp0297783		FBpp0175964, FBpp0175965, FBpp0181594, FBpp0181595	GA15642-PA	FBpp0196153, FBpp0196163, FBpp0196174, FBpp0197437, FBpp0203108, FBpp0203109, FBpp0203110, FBpp0205721, FBpp0205722	FBpp0209535, FBpp0209537, FBpp0217435, FBpp0217436, FBpp0220387, FBpp0220389, FBpp0315435, FBpp0320047, FBpp0324661			FBpp0256735, FBpp0256736, FBpp0256737, FBpp0258712, FBpp0269332, FBpp0269841
OG0000066	FBpp0115827, FBpp0115828, FBpp0115829	FBpp0130099, FBpp0140931, FBpp0140932, FBpp0140933	FBpp0154711, FBpp0154712	FBpp0084553, FBpp0086585, FBpp0086586, FBpp0289405	FBpp0167523, FBpp0167524, FBpp0167525, FBpp0169445, FBpp0169446, FBpp0169447, FBpp0170110, FBpp0170111	FBpp0175816, FBpp0175817	GA10189-PA, GA10190-PA	FBpp0191870, FBpp0201644, FBpp0201646, FBpp0201647, FBpp0203058	FBpp0224047, FBpp0224049, FBpp0315040, FBpp0318022	FBpp0234596, FBpp0235041, FBpp0235043	FBpp0250949, FBpp0250950, FBpp0250951	FBpp0257284, FBpp0257285, FBpp0257286, FBpp0268748
OG0000072	FBpp0113855, FBpp0113856, FBpp0113859, FBpp0113860	FBpp0132639, FBpp0132640, FBpp0133851, FBpp0133854	FBpp0148930, FBpp0148931, FBpp0148933	FBpp0076746, FBpp0076749, FBpp0076776	FBpp0165894, FBpp0165895	FBpp0179645, FBpp0179646	GA19610-PA, GA19627-PA	FBpp0195354, FBpp0195355, FBpp0196215, FBpp0196218	FBpp0211561, FBpp0212322, FBpp0212325, FBpp0317353, FBpp0317636, FBpp0318483, FBpp0319460	FBpp0227346, FBpp0227347, FBpp0234426	FBpp0240700, FBpp0240701, FBpp0246032, FBpp0246033	FBpp0265527, FBpp0266535, FBpp0266536, FBpp0266539
OG0000081	FBpp0119923, FBpp0119924, FBpp0121454	FBpp0135791, FBpp0136437, FBpp0136448	FBpp0152071, FBpp0152072, FBpp0152073, FBpp0152074, FBpp0152075	FBpp0081813, FBpp0081814, FBpp0081854	FBpp0159336, FBpp0159337	FBpp0176154, FBpp0176664, FBpp0176665, FBpp0176666, FBpp0179276	GA14998-PA, GA18395-PA, GA19758-PA	FBpp0205395, FBpp0205396, FBpp0207608	FBpp0217133, FBpp0314544, FBpp0321874	FBpp0237757, FBpp0237758	FBpp0242421, FBpp0243140, FBpp0243141	FBpp0269658, FBpp0271081, FBpp0271082
OG0000096	FBpp0119933, FBpp0121357, FBpp0121445	FBpp0135776, FBpp0136535, FBpp0136602	FBpp0148840, FBpp0151257, FBpp0152708	FBpp0081827, FBpp0081833, FBpp0081838	FBpp0171909, FBpp0172916, FBpp0173107	FBpp0176139, FBpp0176677	GA18663-PA	FBpp0198350, FBpp0205404, FBpp0205411, FBpp0207587, FBpp0207591	FBpp0314184, FBpp0317437, FBpp0325856	FBpp0237673, FBpp0237837, FBpp0238399, FBpp0239095	FBpp0242434, FBpp0243131, FBpp0243451	FBpp0269641, FBpp0271090, FBpp0271097
OG0000098	FBpp0122888, FBpp0123228, FBpp0123229, FBpp0126508, FBpp0126519	FBpp0142406, FBpp0142407, FBpp0142410	FBpp0144525, FBpp0158979, FBpp0159036, FBpp0159037, FBpp0159038	FBpp0090984, FBpp0090985, FBpp0423070	FBpp0169151, FBpp0169162, FBpp0169173	FBpp0190173, FBpp0190174, FBpp0190175		FBpp0192063, FBpp0192074, FBpp0201010	FBpp0222308, FBpp0313919, FBpp0320550, FBpp0324177	FBpp0227781, FBpp0227791	FBpp0248198, FBpp0248199	FBpp0262994, FBpp0263673, FBpp0263675
OG0000099	FBpp0115352, FBpp0115353, FBpp0115354, FBpp0115360	FBpp0140426, FBpp0140427, FBpp0140428, FBpp0140431	FBpp0147474, FBpp0147475, FBpp0149880	FBpp0085850, FBpp0085851	FBpp0165840, FBpp0165841, FBpp0173312	FBpp0181875, FBpp0181876	GA14540-PA, GA18702-PA	FBpp0203351, FBpp0203352, FBpp0203355	FBpp0209772, FBpp0209774, FBpp0315945, FBpp0323308	FBpp0227296, FBpp0235774	FBpp0252124, FBpp0252125, FBpp0252128, FBpp0252130	FBpp0256965, FBpp0256967, FBpp0256970
OG0000100	FBpp0115492, FBpp0115493, FBpp0115494, FBpp0115495	FBpp0139034, FBpp0139035	FBpp0155007	FBpp0086581, FBpp0086582, FBpp0086583, FBpp0289404	FBpp0167919, FBpp0167920	FBpp0174480, FBpp0174481, FBpp0174482	GA10185-PA, GA10186-PA, GA10187-PA	FBpp0203055, FBpp0203056	FBpp0209485, FBpp0209489, FBpp0318326	FBpp0236138	FBpp0244781, FBpp0250654, FBpp0250655, FBpp0250656, FBpp0250657, FBpp0250658, FBpp0250659	FBpp0258628, FBpp0258629, FBpp0258630, FBpp0258631
OG0000104	FBpp0120782, FBpp0120783, FBpp0120785	FBpp0138101, FBpp0138113, FBpp0138124	FBpp0152334, FBpp0152335, FBpp0152336	FBpp0082209, FBpp0082211, FBpp0288476	FBpp0173546, FBpp0173547, FBpp0173548	FBpp0188571, FBpp0188572, FBpp0188573	GA16930-PA, GA21310-PA, GA21311-PA	FBpp0204910, FBpp0205574, FBpp0205575, FBpp0205577	FBpp0315132	FBpp0224832, FBpp0224833, FBpp0224834	FBpp0243077, FBpp0243078, FBpp0243079	FBpp0271269, FBpp0271270, FBpp0271272
OG0000105	FBpp0123217, FBpp0126577	FBpp0128839, FBpp0142283, FBpp0142284	FBpp0144323, FBpp0146973, FBpp0146974, FBpp0147714, FBpp0147715	FBpp0079857, FBpp0310540, FBpp0310542, FBpp0310819	FBpp0166904, FBpp0173889, FBpp0173900	FBpp0179363, FBpp0179472, FBpp0187080	GA16408-PA, GA16452-PA	FBpp0208005, FBpp0208079	FBpp0324600, FBpp0327142, FBpp0327156	FBpp0231890, FBpp0236914	FBpp0244112, FBpp0248185	FBpp0257642, FBpp0263552, FBpp0263553, FBpp0263554
OG0000109	FBpp0113500, FBpp0127361, FBpp0127363	FBpp0132028, FBpp0134517, FBpp0134522	FBpp0149525, FBpp0149772, FBpp0149774	FBpp0075218, FBpp0075220, FBpp0111683	FBpp0161863, FBpp0161866, FBpp0161884	FBpp0182129, FBpp0184815, FBpp0184816, FBpp0184939, FBpp0184940, FBpp0189062, FBpp0189298		FBpp0205909, FBpp0207082, FBpp0207085	FBpp0213015, FBpp0322197, FBpp0328373	FBpp0227062, FBpp0227185, FBpp0227187	FBpp0248437	FBpp0264553, FBpp0267584
OG0000111	FBpp0120666, FBpp0120667	FBpp0139754, FBpp0139765, FBpp0139775	FBpp0148034, FBpp0148035, FBpp0148036	FBpp0082439, FBpp0082440, FBpp0082441	FBpp0159875, FBpp0159876	FBpp0188278, FBpp0188279	GA20790-PA	FBpp0201093, FBpp0207310, FBpp0207318, FBpp0207319, FBpp0207320, FBpp0208146, FBpp0208147	FBpp0218814, FBpp0218815, FBpp0218816	FBpp0237432, FBpp0237434	FBpp0240492, FBpp0240493, FBpp0240885	FBpp0271450, FBpp0271451, FBpp0271452
OG0000112	FBpp0122614, FBpp0122623, FBpp0122624	FBpp0137975, FBpp0137983, FBpp0137984	FBpp0145859, FBpp0145865, FBpp0145866	FBpp0073791, FBpp0073800, FBpp0310796	FBpp0164589, FBpp0164597, FBpp0164598	FBpp0191185, FBpp0191196, FBpp0191197	GA21838-PA, GA21849-PA	FBpp0193493, FBpp0193503, FBpp0193505	FBpp0320110, FBpp0322250	FBpp0231213, FBpp0231219, FBpp0231220	FBpp0248879, FBpp0248886, FBpp0248887	FBpp0261091, FBpp0261100, FBpp0261101
OG0000114	FBpp0116283, FBpp0116922, FBpp0123021, FBpp0123022	FBpp0133738		FBpp0073064, FBpp0080316, FBpp0080318, FBpp0080557, FBpp0289585, FBpp0290124		FBpp0179561, FBpp0179562, FBpp0184638, FBpp0190393, FBpp0190822, FBpp0190823		FBpp0196100, FBpp0198604, FBpp0199406, FBpp0199665, FBpp0202192	FBpp0212213, FBpp0220270, FBpp0221197, FBpp0317468	FBpp0232607	FBpp0248508, FBpp0253408	FBpp0258144, FBpp0258145, FBpp0260006, FBpp0266121, FBpp0266421
OG0000115	FBpp0123261, FBpp0123262	FBpp0134504, FBpp0134505, FBpp0134506, FBpp0134507	FBpp0149759, FBpp0149760, FBpp0149761	FBpp0091005, FBpp0311814, FBpp0312384, FBpp0428225	FBpp0161852, FBpp0161854, FBpp0161855	FBpp0178585, FBpp0181941, FBpp0181942		FBpp0207070, FBpp0207071	FBpp0213005, FBpp0319629, FBpp0323193, FBpp0326263	FBpp0227174	FBpp0252735, FBpp0252737	FBpp0264538, FBpp0264539, FBpp0264540, FBpp0268122, FBpp0268124, FBpp0268125
OG0000121	FBpp0122902, FBpp0122977, FBpp0122978, FBpp0123036	FBpp0138907, FBpp0139015, FBpp0140922	FBpp0156170, FBpp0157618, FBpp0159177	FBpp0091159, FBpp0302635, FBpp0309011	FBpp0169059	FBpp0178624, FBpp0180349, FBpp0180906, FBpp0184411		FBpp0201637, FBpp0202349, FBpp0202925, FBpp0203036	FBpp0316923, FBpp0326278, FBpp0326727	FBpp0233161	FBpp0241917, FBpp0241918, FBpp0251054	FBpp0257275, FBpp0257530, FBpp0258610, FBpp0269708
OG0000127	FBpp0120278, FBpp0123361	FBpp0135808, FBpp0136486, FBpp0136488	FBpp0145764, FBpp0146458, FBpp0153469	FBpp0073944, FBpp0073987, FBpp0307691	FBpp0160133, FBpp0160423, FBpp0173075	FBpp0180017, FBpp0186035	GA11761-PA, GA21434-PA	FBpp0193158, FBpp0194462, FBpp0207623	FBpp0219101, FBpp0223228, FBpp0223229	FBpp0224989, FBpp0232912, FBpp0232979	FBpp0242530, FBpp0254116	FBpp0262256, FBpp0262259, FBpp0269673
OG0000129	FBpp0117664, FBpp0121094, FBpp0122692	FBpp0136229, FBpp0138053, FBpp0142119	FBpp0147070, FBpp0158378	FBpp0078996, FBpp0081754, FBpp0292970	FBpp0164554, FBpp0166961, FBpp0172953	FBpp0189711, FBpp0190832	GA10152-PA, GA15173-PA	FBpp0195211, FBpp0195226, FBpp0205373	FBpp0217110, FBpp0317370	FBpp0224999, FBpp0229191, FBpp0231986	FBpp0243040, FBpp0245544, FBpp0253394	FBpp0261171, FBpp0263405, FBpp0271058
OG0000132	FBpp0123986, FBpp0123988, FBpp0126126	FBpp0130334, FBpp0136792, FBpp0136793	FBpp0147875, FBpp0157625, FBpp0158795, FBpp0158796	FBpp0074067, FBpp0074069, FBpp0085094	FBpp0164370, FBpp0164371, FBpp0171530	FBpp0177640, FBpp0184079	GA22069-PA	FBpp0194395, FBpp0194866, FBpp0194867	FBpp0316017, FBpp0323295	FBpp0224917, FBpp0233760	FBpp0251750, FBpp0254386, FBpp0254585	FBpp0255925, FBpp0260970, FBpp0260971
OG0000135	FBpp0117233, FBpp0117910, FBpp0125175, FBpp0125197	FBpp0139720, FBpp0139721		FBpp0080742, FBpp0099709, FBpp0293179, FBpp0293181	FBpp0162812, FBpp0164080	FBpp0183212, FBpp0185313, FBpp0190348	GA22161-PA	FBpp0192276, FBpp0198818, FBpp0198819	FBpp0218175, FBpp0222602, FBpp0222603, FBpp0314725, FBpp0327945	FBpp0232748	FBpp0252977, FBpp0252978, FBpp0252979, FBpp0253052	FBpp0258257, FBpp0258258
OG0000137	FBpp0118474, FBpp0118848	FBpp0128786, FBpp0143075	FBpp0147585, FBpp0147693	FBpp0079986	FBpp0166324, FBpp0166407	FBpp0183510, FBpp0183840	GA19128-PA	FBpp0197753, FBpp0199715, FBpp0207475	FBpp0221245, FBpp0320353	FBpp0230562, FBpp0236687	FBpp0244129, FBpp0244130, FBpp0245221, FBpp0245222, FBpp0246820, FBpp0246821, FBpp0247778, FBpp0251403, FBpp0253577, FBpp0253578	FBpp0257076, FBpp0260142
OG0000143	FBpp0126951	FBpp0143857	FBpp0149366, FBpp0149367, FBpp0149368, FBpp0149369, FBpp0149370, FBpp0149371, FBpp0157177	FBpp0290223, FBpp0290224, FBpp0309225	FBpp0165871	FBpp0184918, FBpp0186310		FBpp0198705, FBpp0207055	FBpp0212992, FBpp0221974, FBpp0316106	FBpp0226904, FBpp0226905, FBpp0226906, FBpp0226908, FBpp0227323, FBpp0228227	FBpp0253125, FBpp0253136	FBpp0263813, FBpp0264811, FBpp0267895
