Annotee_Identifier	Human_Readable_Description
FBpp0129990	md lipid recognition domain containing protein
FBpp0229806	protein mak
FBpp0078416	large ribosomal subunit protein el
FBpp0248887	glucose methanol choline oxidoreductase n terminal domain containing protein
FBpp0129811	cysteine and histidine rich domain containing protein
FBpp0255561	microtubule associated protein
FBpp0116094	cysteine trna ligase
FBpp0218490	heparan sulfate 6 o sulfotransferase
FBpp0194109	proton channel otoplc
FBpp0124085	sant domain containing protein
FBpp0133672	drosomycin
FBpp0173658	peptidase s1 domain containing protein
FBpp0258595	diuretic hormone receptor
FBpp0226678	ubiquinol cytochrome c reductase complex assembly factor
FBpp0258826	arginyl trna protein transferase
FBpp0143845	trafficking protein particle complex subunit
FBpp0227113	protein bric a brac
FBpp0161773	chitin binding type domain containing protein
FBpp0144727	trna his guanylyltransferase
FBpp0129055	wash complex subunit protein
FBpp0232607	peptidase s1 domain containing protein
FBpp0183093	short stature homeobox protein
FBpp0130520	small ribosomal subunit protein es
FBpp0179856	protein regulator of cytokinesis
FBpp0226906	bpti kunitz inhibitor domain containing protein
FBpp0244704	long chain fatty acid coa ligase
FBpp0255664	protein rolling stone
FBpp0154710	kn motif and ankyrin repeat domain containing protein
GA18481-PA	zinc finger protein
FBpp0114827	lipopolysaccharide induced tumor necrosis factor alpha
FBpp0204426	transmembrane protein 185b
FBpp0305494	hig domain family member 2a mitochondrial
FBpp0228402	neurogenic protein mastermind
FBpp0256019	chitin binding type domain containing protein
FBpp0162165	amine oxidase domain containing protein
FBpp0163530	blood vessel epicardial substance x1
FBpp0075633	cullin protein
FBpp0151837	mitochondrial fission process protein
FBpp0176351	chloride channel protein
FBpp0085249	histone h2a
FBpp0290384	ig domain containing protein
FBpp0170840	cg
FBpp0160362	anoctamin
FBpp0157620	sine oculis binding protein
FBpp0120644	transcription factor ouib
FBpp0202008	ionotropic glutamate receptor c terminal domain containing protein
FBpp0235981	eukaryotic translation initiation factor subunit m
FBpp0193859	neurobeachin
FBpp0214997	dhha domain containing protein
FBpp0423061	fibrinogen c terminal domain containing protein
FBpp0234643	coilin n terminal domain containing protein
FBpp0148453	dna endonuclease activator ctp c terminal domain containing protein
FBpp0270193	toll receptor
FBpp0254148	tetratricopeptide repeat protein
FBpp0179247	tyramine beta hydroxylase
FBpp0117080	hepatocyte growth factor regulated tyrosine kinase substrate
FBpp0137588	histone acetyltransferase kat6a x1
FBpp0168726	tyrosine trna ligase
FBpp0242473	26s proteasome non atpase regulatory subunit
FBpp0149637	circadian clock controlled protein
FBpp0138657	proteasome subunit beta
FBpp0150353	serine protease
FBpp0134880	gm
FBpp0131285	unknown protein
FBpp0256785	chk kinase domain containing protein
FBpp0181694	c2h2 type domain containing protein
FBpp0327109	pou domain protein
FBpp0190035	cg
FBpp0225981	transmembrane protein
FBpp0167458	cysteine sulfinic acid decarboxylase
FBpp0321885	protein encore
FBpp0113589	protein tanc
FBpp0135863	b box type domain containing protein
FBpp0115312	non specific serine threonine protein kinase
FBpp0247627	gl
FBpp0155325	duf 4794 domain containing protein
FBpp0133722	fork head domain containing protein fd
FBpp0238819	endothelin converting enzyme
FBpp0253470	protein chiffon
FBpp0143335	dynein light chain 1
FBpp0180651	gl
FBpp0250596	cg pa
FBpp0249881	inhibitor of bruton tyrosine kinase
FBpp0187749	glycerol phosphate acyltransferase 1 mitochondrial x1
FBpp0190133	suppressor of hairless protein
GA10871-PA	39s ribosomal protein l20 mitochondrial
GA12445-PA	protocadherin fat x1
FBpp0172630	serine arginine repetitive matrix protein
FBpp0118404	lim homeobox protein lhx
FBpp0187729	phospholipase a1
FBpp0158609	u3 small nucleolar rna associated protein
FBpp0170035	nf kappa b inhibitor interacting ras protein
FBpp0200450	mitotic kinesin motor protein cenp ana
FBpp0217836	dnaj subfamily c member 30 mitochondrial
FBpp0263287	cg
FBpp0149335	atp synthase subunit b
FBpp0154889	lipocalin cytosolic fatty acid binding domain containing protein
FBpp0318546	ig domain containing protein
FBpp0076029	odorant receptor
FBpp0225813	cell death protein hid
FBpp0145078	tbc domain family member
FBpp0268852	multidrug resistance associated protein lethal 2 03659
FBpp0173396	telomere binding protein cav
FBpp0188128	gl
FBpp0199159	methionine aminopeptidase
GA19012-PA	cg protein
FBpp0209405	g protein coupled receptors family profile domain containing
FBpp0146737	peptidase s1 domain containing protein
FBpp0136946	gd
FBpp0238799	dna ligase
FBpp0183097	sialin x1
FBpp0187312	ionotropic glutamate receptor c terminal domain containing protein
FBpp0197061	homeobox domain containing protein
FBpp0200959	gd
FBpp0313396	nadp dependent oxidoreductase domain containing protein
FBpp0118706	fuseless
FBpp0237560	atp dependent rna helicase
FBpp0163055	rna helicase
FBpp0257537	f box domain containing protein
GA14763-PA	red n terminal domain containing protein
FBpp0136317	kinase
FBpp0187354	chorion peroxidase
FBpp0178686	mediator of rna polymerase ii transcription subunit
FBpp0201048	udp n acetylglucosamine transferase subunit alg
FBpp0289153	iron sulfur protein nubpl
FBpp0315732	pih n terminal domain containing protein
FBpp0230288	map kinase activating death domain protein
FBpp0235699	neural proliferation differentiation and control protein
FBpp0118671	c2h2 type domain containing protein
FBpp0082778	neuropeptide f
GA12490-PA	histone lysine n methyltransferase
FBpp0193048	secretory 16
FBpp0157220	protein psid
FBpp0248792	madf domain containing protein
GA21821-PA	cg
FBpp0204700	nucleolar 27s pre rrna processing urb npa c terminal domain containing protein
FBpp0165434	thioredoxin mitochondrial
FBpp0220648	long chain fatty acid coa ligase
FBpp0210545	dnaj subfamily c member
FBpp0151931	regulator of g protein signaling loco
FBpp0130611	fork head domain containing protein
FBpp0216991	cg
FBpp0316532	v type proton atpase subunit a
FBpp0232155	l lactate dehydrogenase
FBpp0253014	leucine rich repeat and calponin homology domain containing protein
FBpp0264346	trichohyalin
FBpp0265790	repressor of rna polymerase iii transcription maf
FBpp0084440	sperm associated antigen
FBpp0121103	guanine nucleotide binding protein
FBpp0188579	dnaj subfamily a member
FBpp0173300	chloride channel protein
FBpp0245102	skin secretory protein xp
FBpp0194487	inhibin beta chain
FBpp0084439	myb sant dna binding domain containing protein
FBpp0263368	protein peste
FBpp0172421	suel type lectin domain containing protein
FBpp0176511	unconventional myosin xviiia
FBpp0149277	mitochondrial cytochrome c oxidase subunit 6a
FBpp0202496	drosophila melanogaster
FBpp0116659	ionotropic glutamate receptor c terminal domain containing protein
FBpp0226253	amino acid transporter transmembrane domain containing protein
FBpp0240435	importin n terminal domain containing protein
FBpp0254657	gd
FBpp0242888	cation independent mannose phosphate receptor
FBpp0188948	h2 0 homeobox protein
FBpp0222681	protein diaphanous x1
FBpp0113136	major facilitator superfamily mfs profile domain containing protein
FBpp0150748	phosphoacetylglucosamine mutase
FBpp0234080	protein lin
FBpp0154892	atp dependent rna helicase
GA15472-PA	bpti kunitz inhibitor domain containing protein
GA15238-PA	ferrochelatase
FBpp0123085	serine rich adhesin for platelets x1
FBpp0176799	allergen tab y
FBpp0141238	dna directed rna polymerase subunit
FBpp0149979	gonadotropin releasing hormone receptor
FBpp0157313	c ski smad binding domain containing protein
FBpp0146866	glutamic acid rich protein
FBpp0246522	peptidase m14 carboxypeptidase a domain containing protein
FBpp0293344	ikappab kinase
GA15650-PA	skin secretory protein xp
FBpp0154090	alpha catulin
FBpp0224520	chromosomal protein d1
FBpp0237502	protein takeout
FBpp0227523	protein sprouty
FBpp0241744	marvel domain containing protein
FBpp0128901	gd
FBpp0118507	protein lifeguard
FBpp0185788	protein regulator of cytokinesis
FBpp0128588	transcription factor glial cells missing
FBpp0181147	dna methyltransferase 1 associated protein
FBpp0177081	nostrin x2
FBpp0228772	odorant receptor
FBpp0206943	b4 protein
FBpp0122961	cell wall protein dan
FBpp0145337	bos complex subunit tmem
FBpp0165194	f box lrr repeat protein
FBpp0244962	prolow density lipoprotein receptor protein
FBpp0226240	zinc finger protein sens
FBpp0258584	protein shroom x1
FBpp0232102	barrier to autointegration factor
FBpp0176516	n acetyltransferase domain containing protein
FBpp0163296	protein rolling stone
FBpp0130516	sex regulated protein janus a
FBpp0179172	iris
FBpp0189020	basic leucine zipper transcription factor a
FBpp0163936	wd repeat containing protein
FBpp0166812	duf 389 domain containing protein
GA19333-PA	nf kappa b activating protein c terminal domain containing
FBpp0197499	gustatory receptor
FBpp0194867	serine threonine protein phosphatase
FBpp0256608	cuticle protein
FBpp0194275	pickpocket 21
GA18615-PA	general transcription factor iih subunit
FBpp0073368	methoprene tolerant
GA13119-PA	alkaline phosphatase
FBpp0318555	gd
FBpp0232077	polyprenal reductase
FBpp0127670	peritrophin
FBpp0073034	polyubiquitin c
FBpp0323145	reticulon protein
FBpp0190286	gl
FBpp0115276	transmembrane protein
FBpp0264650	j domain containing protein ddb g0295729
FBpp0153036	methionine aminopeptidase
FBpp0163614	drosophila melanogaster retrotransposon sequence
FBpp0211913	myb sant dna binding domain containing protein
FBpp0236084	cytochrome p450 4p1
FBpp0268752	rna polymerase ii degradation factor
FBpp0225907	cdc domain containing protein
FBpp0255394	acid glucosylceramidase
FBpp0241934	cytochrome p450 315a1 mitochondrial
FBpp0212913	bearded
FBpp0084214	neugrin
FBpp0248384	receptor expression enhancing protein
FBpp0194228	gm
FBpp0130600	serendipity locus protein h 1
FBpp0150862	trna uracil 54 c 5 methyltransferase
FBpp0183506	trans dihydrobenzene diol dehydrogenase
GA16033-PA	serine trna synthetase protein slimp
FBpp0129265	f actin uncapping protein lrrc16a
FBpp0225178	circumsporozoite protein
FBpp0129636	delta pyrroline carboxylate dehydrogenase mitochondrial
FBpp0083345	membrane metallo endopeptidase x1
GA13916-PA	apoptosis and caspase activation inhibitor
FBpp0147706	odorant receptor
FBpp0186383	hect type e3 ubiquitin transferase e3d
FBpp0215627	madf domain containing protein
FBpp0261765	microtubule associated protein futsch
FBpp0167677	fatty acid amide hydrolase 2 a
FBpp0081210	nuclear receptor subfamily group e member
FBpp0157664	gh
FBpp0257504	diacylglycerol kinase
FBpp0076835	alkaline phosphatase
FBpp0183481	protein grindelwald
FBpp0115511	protein windpipe
FBpp0213522	4 hydroxybenzoate polyprenyltransferase mitochondrial
FBpp0193823	gm
FBpp0139664	peroxidase
FBpp0231762	intraflagellar transport protein
FBpp0182019	alms motif domain containing protein
GA16201-PA	octopamine receptor beta 3r x1
GA11231-PA	plasminogen activator inhibitor rna binding protein
FBpp0228082	duf 4794 domain containing protein
FBpp0168002	agc kinase c terminal domain containing protein
FBpp0159299	e3 ubiquitin protein ligase nrdp
FBpp0180516	26s proteasome regulatory subunit
FBpp0226203	calcium transporting atpase member
FBpp0159768	telomerase binding protein est1a
FBpp0079258	beta lactamase protein
FBpp0263927	unknown protein
FBpp0142633	uroporphyrinogen decarboxylase
FBpp0128661	pimples
FBpp0154171	serine proteinase stubble
FBpp0145700	intraflagellar transport protein
FBpp0088237	forkhead transcription factor hcm
FBpp0152473	arginine trna ligase
FBpp0128688	preli msf domain containing protein
FBpp0268181	isoleucine trna ligase
GA10535-PA	extensin x2
FBpp0154245	protein panoramix
FBpp0227021	cg
FBpp0125442	hexosyltransferase
FBpp0086605	major facilitator superfamily domain containing protein 6
FBpp0319158	drosophila melanogaster
FBpp0260472	ionotropic glutamate receptor c terminal domain containing protein
GA18055-PA	mitochondrial coenzyme a transporter slc25a42
FBpp0201883	duf 243 domain containing protein
FBpp0235166	c2h2 type domain containing protein
FBpp0201412	protein tsetseep domain containing
FBpp0236885	md lipid recognition domain containing protein
FBpp0266680	prominin protein
FBpp0256602	large ribosomal subunit protein el
FBpp0153069	gd
FBpp0199361	fha domain containing protein
FBpp0128039	micro fibrillar associated protein c terminal domain containing
FBpp0176605	facilitated trehalose transporter tret x2
GA12311-PA	thioredoxin domain containing protein
FBpp0194311	wd repeat containing protein
GA17309-PA	bcl ovarian killer protein b
FBpp0205136	zinc finger protein
FBpp0242774	unknown protein
GA15194-PA	tho complex subunit
FBpp0239431	peptidase s1 domain containing protein
FBpp0074462	ubiquitin protease family profile domain containing protein
FBpp0135873	nad p binding domain containing protein
FBpp0072546	phosphatidylinositol phosphatase
FBpp0172865	cg
FBpp0179153	asparagine synthetase [glutamine hydrolyzing]
FBpp0169132	general odorant binding protein
FBpp0087764	t complex protein subunit theta
FBpp0187378	major facilitator superfamily mfs profile domain containing protein
FBpp0139049	ionotropic glutamate receptor c terminal domain containing protein
FBpp0191527	ras protein rab
FBpp0226351	cg
FBpp0249970	kazrin x1
FBpp0253384	d aspartate oxidase
FBpp0253655	gk
FBpp0218550	cg pa
FBpp0264054	translationally controlled tumor protein
FBpp0269745	26s proteasome regulatory subunit 6b
GA11656-PA	gl
FBpp0217240	h15 domain containing protein
FBpp0159159	gh
FBpp0131834	vacuolar protein sorting associated 26c
FBpp0253913	serine rich adhesin for platelets
FBpp0259856	mushroom body defect protein
FBpp0181034	ig domain containing protein
FBpp0196250	at26615p
FBpp0163524	kif binding protein
FBpp0231450	glutaredoxin domain containing protein
FBpp0139504	ubx domain containing protein
FBpp0073818	protein nrde
FBpp0163699	apple domain containing protein
FBpp0166841	protein kinase domain containing
FBpp0241434	lipase
FBpp0210911	md lipid recognition domain containing protein
FBpp0244550	profilin
FBpp0149409	ras protein rab
FBpp0133274	homeodomain interacting protein kinase
FBpp0113406	1 acyl sn glycerol phosphate acyltransferase gamma
FBpp0121336	dynein axonemal assembly factor
FBpp0140489	duf 4794 domain containing protein
FBpp0255882	anaphase promoting complex subunit
FBpp0122754	mediator of rna polymerase ii transcription subunit
FBpp0159004	uv radiation resistance associated gene protein
FBpp0164477	inaf motif containing
FBpp0134758	aldose 1 epimerase
FBpp0326491	spermine oxidase
FBpp0236428	stress activated map kinase interacting protein
FBpp0252581	gl
FBpp0322685	nucleoporin nup
FBpp0322912	adenylate kinase isoenzyme
GA10509-PA	grip and coiled coil domain containing protein
FBpp0324553	non specific serine threonine protein kinase
FBpp0257748	ef hand domain containing protein
FBpp0218082	serine threonine protein kinase 32a
FBpp0197932	dihydrolipoyllysine residue acetyltransferase
FBpp0188587	dna polymerase alpha subunit b
FBpp0179253	golgin subfamily a member protein x1
FBpp0315253	unknown protein
FBpp0122162	madf domain containing protein
FBpp0131494	gag protein
FBpp0159815	myotrophin
GA17925-PA	duf 243 domain containing protein
FBpp0140119	calmodulin lysine n methyltransferase
FBpp0149276	surf protein
FBpp0215098	ribosomal rna small subunit methyltransferase nep
FBpp0240725	gh
FBpp0266695	methylcytosine dioxygenase
FBpp0140339	coiled coil and c2 domain containing protein 2a
FBpp0261724	protein pet mitochondrial
FBpp0172715	unknown protein
FBpp0203145	lissencephaly
GA17450-PA	queuine trna ribosyltransferase accessory subunit
FBpp0328250	actin protein x1
FBpp0125307	non specific serine threonine protein kinase
FBpp0158774	phospholipid transporting atpase
FBpp0227276	zwei ig domain protein zig
FBpp0122175	histone h4
FBpp0147059	anion exchange protein
FBpp0199773	cell wall protein dan
FBpp0157824	class e basic helix loop protein
FBpp0177253	40s ribosomal protein s19a
FBpp0192684	fi06457p
FBpp0233734	pickpocket protein
FBpp0162902	dependent phosphate transporter
FBpp0313131	protein l isoaspartate o methyltransferase
FBpp0246874	26s proteasome non atpase regulatory subunit
FBpp0260595	transmembrane protein
FBpp0134589	swim type domain containing protein
FBpp0138819	translation initiation factor n terminal domain containing protein
FBpp0142738	cral trio domain containing protein
FBpp0270264	rna transcription translation and transport factor protein
FBpp0256133	poly a rna polymerase mitochondrial central palm domain containing protein
FBpp0070268	trypsin
FBpp0258674	gustatory receptor
FBpp0116435	rrm domain containing protein
FBpp0130287	duf 243 domain containing protein
FBpp0162143	chorion protein s16
FBpp0179022	xenotropic and polytropic retrovirus receptor
FBpp0178570	regulator of telomere elongation helicase protein
FBpp0156980	mediator of rna polymerase ii transcription subunit
FBpp0227077	box a binding factor
FBpp0128323	rrm domain containing protein
GA18989-PA	ras c3 botulinum toxin substrate
FBpp0218703	nucleolar protein
FBpp0228386	matrix remodeling associated protein
FBpp0246043	tantalus domain containing protein
FBpp0155557	mismatch repair endonuclease pms
FBpp0231303	udp n acetylglucosamine dolichyl phosphate acetylglucosaminephosphotransferase
FBpp0248777	nadh dehydrogenase [ubiquinone] beta subcomplex subunit
FBpp0265941	dynein axonemal intermediate chain
FBpp0125446	adenylate cyclase
FBpp0130113	hydroxysteroid dehydrogenase protein
GA13823-PA	duf 2087 domain containing protein
GA20772-PA	ras protein rab
FBpp0311645	cytochrome p450 6a14
FBpp0230358	alpha karyopherin
FBpp0237777	histone lysine n trimethyltransferase smyd
FBpp0249857	unknown protein
FBpp0140875	salivary glue protein sgs
FBpp0177290	gl
FBpp0208202	dynein beta chain ciliary
FBpp0318911	potassium channel domain containing protein
FBpp0232116	mitochondrial inner membrane protease atp
FBpp0240998	claspin
FBpp0152638	duf 243 domain containing protein
FBpp0229286	vacuole membrane protein
FBpp0261368	dynein light chain 1
FBpp0143711	ig domain containing protein
FBpp0165457	odorant binding protein 19c
FBpp0312740	serine threonine protein kinase atr
FBpp0248447	cbm domain containing protein
FBpp0145529	mitochondrial inner membrane protease atp
FBpp0261924	response factor
FBpp0200268	ionotropic glutamate receptor c terminal domain containing protein
FBpp0172013	gh
FBpp0204975	myosin heavy chain 95f
FBpp0153271	chk kinase domain containing protein
FBpp0309994	glycerol phosphate acyltransferase x3
FBpp0221137	male accessory gland serine protease inhibitor
FBpp0175440	glucose phosphate exchanger slc37a2
FBpp0245820	splicing factor 3b subunit
FBpp0121630	c2h2 type domain containing protein
FBpp0184165	alpha amylase
FBpp0156877	upf protein ga
FBpp0265812	membrane insertase yidc oxa alb c terminal domain containing protein
FBpp0258808	actin cytoskeleton regulatory complex protein pan x1
FBpp0216968	transmembrane protein
FBpp0127059	rrm domain containing protein
FBpp0238242	rna helicase aquarius
FBpp0148544	general transcription factor iif subunit
GA13323-PA	guanylate cyclase
FBpp0208453	fanconi anaemia group a protein n terminal domain containing
FBpp0158218	translation machinery associated protein
FBpp0228088	chromosome transmission fidelity protein
FBpp0252257	gag protein
FBpp0205220	g protein coupled receptors family profile domain containing
FBpp0242297	duf 4781 domain containing protein
FBpp0120106	ccdc coiled coil domain containing protein
FBpp0206664	acid sphingomyelinase phosphodiesterase 3b
FBpp0110064	acp54a1
FBpp0224179	peroxisomal membrane protein pex
FBpp0167438	membrane associated progesterone receptor component
FBpp0207048	adp ribosylation factor protein
FBpp0238498	md lipid recognition domain containing protein
FBpp0195270	at07410p
FBpp0203638	adp ribose glycohydrolase oard
FBpp0152413	cardioactive peptide
FBpp0245326	cell cycle control protein 50a x2
FBpp0116015	dna excision repair protein ercc
FBpp0200752	g protein coupled receptors family profile domain containing
FBpp0248209	gd
FBpp0121469	ring type domain containing protein
FBpp0158583	cell wall integrity and stress response component
FBpp0242723	zinc transporter zip b
FBpp0125247	gd
FBpp0266993	hemocytin
FBpp0159418	small ribosomal subunit protein ms
FBpp0225640	ras association domain containing protein
FBpp0187801	gl
FBpp0240433	homeobox protein prospero
FBpp0198398	protein teyrha meyrha x2
FBpp0136493	cytochrome b c1 complex subunit
FBpp0224532	e3 ubiquitin protein ligase
FBpp0156929	fibrinogen c terminal domain containing protein
FBpp0126091	aminopeptidase
FBpp0123221	fibrinogen c terminal domain containing protein
FBpp0144142	hemicentin
FBpp0180614	neurogenic protein mastermind x1
GA18048-PA	ef hand domain containing protein
FBpp0270140	chromatin remodeling atpase ino
FBpp0129465	glucose 1 dehydrogenase
FBpp0152338	protein roadkill
FBpp0124700	unknown protein
FBpp0142499	titin
FBpp0318254	piezo type mechanosensitive ion channel component
FBpp0250872	vacuolar protein sorting associated
FBpp0269131	cathepsin l1
FBpp0148812	udp sugar transporter ust74c
FBpp0183671	protein muscleblind
GA15738-PA	lipopolysaccharide induced tumor necrosis factor alpha protein
FBpp0253392	myosin heavy chain x3
FBpp0142747	odorant receptor
FBpp0227010	protein itfg
FBpp0152764	tropomyosin x1
FBpp0148369	glycerol phosphate phosphatase
FBpp0320118	protein lifeguard
FBpp0199759	lim domain binding protein
FBpp0225114	sodium potassium transporting atpase subunit alpha
FBpp0320623	ppiase cyclophilin type domain containing protein
FBpp0121779	peptidase s1 domain containing protein
FBpp0133835	vacuolar protein sorting associated
FBpp0126774	proton associated sugar transporter a
FBpp0158608	gh
FBpp0170773	tubulin specific chaperone a
GA19731-PA	tetratricopeptide repeat protein
FBpp0135997	mynd type domain containing protein
FBpp0070831	lipase domain containing protein
FBpp0079278	importin n terminal domain containing protein
FBpp0200289	pou domain class 6 transcription factor
FBpp0222688	glyoxylate reductase hydroxypyruvate
FBpp0264756	cg
FBpp0247989	dna binding protein k10
FBpp0199785	beta glucuronyltransferase
FBpp0309023	f box domain containing protein
FBpp0154910	t complex protein subunit zeta
FBpp0071886	gustatory receptor
FBpp0265273	attacin c terminal domain containing protein
FBpp0201838	nucleoporin nup alpha helical domain containing protein
FBpp0130962	outer dense fiber protein 3 b
FBpp0229252	gd
FBpp0226483	vacuolar protein sorting associated
FBpp0193415	lim domain transcription factor lmo
FBpp0150011	dependent rna helicase
FBpp0122059	large ribosomal subunit protein ml
FBpp0077854	lipase
FBpp0099642	u6 snrna associated sm protein lsm
GA12897-PA	heparanase
FBpp0173147	guanylate cyclase
GA17673-PA	chk kinase domain containing protein
FBpp0124135	histone h4 transcription factor
FBpp0191559	high mobility group nucleosome binding domain containing protein
FBpp0184178	procollagen proline 4 dioxygenase
FBpp0254844	unknown protein
FBpp0267719	large ribosomal subunit protein ml
FBpp0266640	fibrillin x1
FBpp0240635	heparanase
FBpp0125701	coatomer subunit beta
FBpp0214577	g protein coupled receptors family profile domain containing
FBpp0268823	protein kinase domain containing
FBpp0252948	pi plc x domain containing protein
FBpp0290916	cadherin 89d
FBpp0198470	c2h2 type domain containing protein
FBpp0258362	nad + kinase
FBpp0141371	gustatory receptor
FBpp0144772	cg
FBpp0191192	glucose methanol choline oxidoreductase n terminal domain containing protein
FBpp0140408	leucine rich repeat containing protein c10orf11
FBpp0318425	apoptosis inducing factor 1 mitochondrial
FBpp0075348	general transcription factor iih subunit
FBpp0189052	histone acetyltransferase gcn
FBpp0129199	gd
FBpp0292837	hdc
FBpp0116741	fork head domain containing protein fd
FBpp0233500	ring type e3 ubiquitin transferase
FBpp0228803	t complex protein subunit alpha
FBpp0120348	zinc finger protein
FBpp0260477	enolase
FBpp0151496	serine threonine protein phosphatase
FBpp0122373	diacylglycerol kinase
FBpp0165435	cyclin dependent serine threonine protein kinase ddb g0272797 ddb g0274007
FBpp0160621	potassium voltage gated channel protein shab
FBpp0314439	duf 4773 domain containing protein
FBpp0234701	udp glucuronosyltransferase
FBpp0224691	rho gap domain containing protein
FBpp0314203	udp n acetylglucosamine transferase subunit alg
FBpp0114490	pra family protein
FBpp0217475	lipase member h
FBpp0139741	protein ref 2 p
FBpp0127496	c2h2 type domain containing protein
GA21285-PA	mitochondrial processing peptidase subunit alpha
FBpp0240349	glutathione s transferase
FBpp0257718	hdc
FBpp0165227	zinc finger bed domain containing protein
