vector_index,x,y_original,cluster_id,max_posterior,posterior_component_1,posterior_component_2,posterior_component_3,posterior_component_4,posterior_component_5
29,-0.8877755511022044,0.5507536207267923,4,0.9999999863837973,1.3449441811653422e-182,1.3616202790652994e-08,0.0,0.9999999863837973,2.6268683688483747e-44
30,-0.8837675350701403,0.5808254735855456,4,0.9999893943614467,2.8571880964052183e-164,1.0605638553359755e-05,0.0,0.9999893943614467,4.386287020622129e-36
31,-0.8797595190380761,0.5623784632794113,4,0.9999998385114676,2.628716127732962e-174,1.614885323228451e-07,0.0,0.9999998385114676,5.510086701181476e-41
32,-0.875751503006012,0.5890355344722025,4,0.999958887552958,3.1060907984674677e-158,4.111244704188236e-05,0.0,0.999958887552958,6.9114467240687195e-34
33,-0.8717434869739479,0.6100434831201956,4,0.9982057515644075,1.169777378400663e-145,0.001794248435592722,0.0,0.9982057515644075,1.6421912831814018e-28
34,-0.8677354709418837,0.5846259226567929,4,0.9999873425408079,1.8990914927107432e-159,1.2657459192169033e-05,0.0,0.9999873425408079,5.630598392294649e-35
35,-0.8637274549098196,0.57633785704388,4,0.9999979320391993,1.8465795385878188e-163,2.067960800616165e-06,0.0,0.9999979320391993,4.664503068879803e-37
36,-0.8597194388777555,0.6086806941707845,4,0.9991546221984123,1.103195875616633e-144,0.0008453778015877649,0.0,0.9991546221984123,6.81118558554091e-29
37,-0.8557114228456915,0.6269504532867861,4,0.9859897466944446,5.009612148740869e-134,0.014010253305555399,0.0,0.9859897466944446,1.7327810537041773e-24
38,-0.8517034068136273,0.5781918151848197,4,0.9999977693921058,2.5553506895700637e-160,2.230607894079774e-06,0.0,0.9999977693921058,2.187547190734774e-36
39,-0.8476953907815632,0.6308736981860699,4,0.9821441043969498,7.908591684275901e-131,0.0178558956030503,0.0,0.9821441043969498,1.2381201378450065e-23
40,-0.8436873747494991,0.6331790054587957,4,0.9788877709955933,4.652393825427947e-129,0.021112229004406777,0.0,0.9788877709955933,3.919191327235102e-23
41,-0.8396793587174349,0.6382644792731267,4,0.9639899852928873,8.037984039992697e-126,0.03601001470711264,0.0,0.9639899852928873,5.20032425930875e-22
42,-0.8356713426853708,0.6458883426190196,4,0.920243425314142,2.7430601935094094e-121,0.0797565746858579,0.0,0.920243425314142,2.3417930304423405e-20
43,-0.8316633266533067,0.6678810444904729,4,0.5217304353328139,1.6060106424409601e-109,0.47826956466718534,0.0,0.5217304353328139,7.437654455983196e-16
44,-0.8276553106212425,0.6190270213914272,4,0.9983856162591496,2.3732409636333587e-134,0.0016143837408504277,0.0,0.9983856162591496,2.2153428534981627e-26
45,-0.8236472945891784,0.6306344618911488,4,0.9923536074757603,1.0730715489302301e-127,0.0076463925242395885,0.0,0.9923536074757603,8.862353407562418e-24
46,-0.8196392785571143,0.6223945047331452,4,0.9978052054791864,2.092840697515543e-131,0.002194794520813447,0.0,0.9978052054791864,1.3963451378109403e-25
47,-0.8156312625250501,0.6330291329562774,4,0.9914144584713867,2.4378200778129114e-125,0.008585541528613256,0.0,0.9914144584713867,3.02719222857816e-23
48,-0.811623246492986,0.6658994705048378,4,0.751712394127218,3.299500353600873e-108,0.24828760587278176,0.0,0.751712394127218,1.7706284253604586e-16
49,-0.8076152304609219,0.6105802115603731,4,0.9996790289042609,1.2459798803725675e-135,0.000320971095739203,0.0,0.9996790289042609,5.013559537250156e-28
50,-0.8036072144288577,0.6224841027342393,4,0.9983085205125697,5.908266332208789e-129,0.0016914794874301408,0.0,0.9983085205125697,2.070871130498196e-25
51,-0.7995991983967936,0.669459414234385,4,0.7617583982688269,4.535632856197252e-105,0.2382416017311725,0.0,0.7617583982688269,6.550719349959428e-16
52,-0.7955911823647295,0.664513337367389,4,0.8480279235421263,5.3727255095840484e-107,0.15197207645787364,0.0,0.8480279235421263,7.104754704035204e-17
53,-0.7915831663326653,0.6390329071329928,4,0.9883522475547308,6.149147185169243e-119,0.0116477524452692,0.0,0.9883522475547308,7.139778136573202e-22
54,-0.7875751503006012,0.6655526434625674,4,0.8593346023991897,1.5804889239835352e-105,0.14066539760081023,0.0,0.8593346023991897,1.0236921751254096e-16
55,-0.7835671342685371,0.6574441242995321,4,0.9321501393320814,6.517406556419136e-109,0.0678498606679185,0.0,0.9321501393320814,3.033808450541717e-18
56,-0.779559118236473,0.6827666550705,4,0.6567483284276511,1.758692328011651e-96,0.3432516715722357,0.0,0.6567483284276511,1.132409176742022e-13
57,-0.7755511022044088,0.6563788731088163,4,0.9438216880835216,2.246871672325696e-108,0.05617831191647839,0.0,0.9438216880835216,2.028547294421686e-18
58,-0.7715430861723447,0.6775150168920646,4,0.762899002327306,5.313296646107767e-98,0.2371009976726814,0.0,0.762899002327306,1.2582740171150573e-14
59,-0.7675350701402806,0.711942494049074,2,0.6277149509438111,6.034578614191657e-82,0.6277149509438111,0.0,0.37228504367718485,5.3790039769070704e-09
60,-0.7635270541082164,0.6731503214634341,4,0.8293875027854769,4.73032330510592e-99,0.17061249721452118,0.0,0.8293875027854769,2.1655438708266858e-15
61,-0.7595190380761523,0.6642471996036614,4,0.9063387285852115,1.2895616250771815e-102,0.09366127141478837,0.0,0.9063387285852115,6.474944755328445e-17
62,-0.7555110220440882,0.6797681040621213,4,0.7722045046095456,4.276857992131438e-95,0.2277954953904264,0.0,0.7722045046095456,2.827976356636211e-14
63,-0.751503006012024,0.6600583207823786,4,0.9311973178411139,1.8749267575667809e-103,0.06880268215888606,0.0,0.9311973178411139,1.4420286885826274e-17
64,-0.7474949899799599,0.7171543271623895,2,0.5476072094887483,8.928219461226753e-78,0.5476072094887483,0.0,0.45239277242959713,1.8081654480579192e-08
65,-0.7434869739478958,0.6750137070416452,4,0.8256380108976558,9.669377365448238e-96,0.17436198910233905,0.0,0.8256380108976558,5.1958813835485394e-15
66,-0.7394789579158316,0.667957228471074,4,0.8795135337979325,2.5253646508569937e-98,0.12048646620206721,0.0,0.8795135337979325,4.0964966187645656e-16
67,-0.7354709418837675,0.6586920365366704,4,0.9306543706419648,7.765390092211898e-102,0.06934562935803526,0.0,0.9306543706419648,1.4598400638097723e-17
68,-0.7314629258517034,0.6993264738178682,4,0.6097315872128115,7.705698557072503e-84,0.39026841275744956,0.0,0.6097315872128115,2.973888145381845e-11
69,-0.7274549098196392,0.696688422175594,4,0.6303853456611749,1.6263707786858468e-84,0.36961465432668544,0.0,0.6303853456611749,1.2139947723275431e-11
70,-0.7234468937875751,0.6713465605819345,4,0.8356233115244391,9.975899506852976e-95,0.1643766884755586,0.0,0.8356233115244391,2.25971268279001e-15
71,-0.719438877755511,0.6947580393026171,4,0.6378904467848291,2.0404505816707232e-84,0.3621095532085236,0.0,0.6378904467848291,6.6472847720907055e-12
72,-0.7154308617234469,0.6549796684250017,4,0.9235570416708496,1.6772219458223228e-100,0.07644295832915037,0.0,0.9235570416708496,1.054540189187166e-17
73,-0.7114228456913828,0.690758406930553,4,0.6494191617247101,3.9861993287198637e-85,0.35058083827326675,0.0,0.6494191617247101,2.0231246757570086e-12
74,-0.7074148296593187,0.6980087841557738,4,0.5910018749601225,1.0517613624810572e-81,0.408998125018596,0.0,0.5910018749601225,2.1281732930523916e-11
75,-0.7034068136272545,0.7249813913651441,4,0.5238180039783477,2.117027125357251e-70,0.4761819123505973,0.0,0.5238180039783477,8.367105495566129e-08
76,-0.6993987975951904,0.6772860564092609,4,0.7060080151384294,4.674126568783412e-89,0.29399198486152983,0.0,0.7060080151384294,4.079120296177374e-14
77,-0.6953907815631263,0.6689895397813658,4,0.7549542211795678,8.066761762390385e-92,0.24504577882042847,0.0,0.7549542211795678,3.690904796855496e-15
78,-0.6913827655310621,0.6784887395192957,4,0.6487165457583152,1.6638333513860674e-87,0.3512834542416011,0.0,0.6487165457583152,8.364545132441e-14
79,-0.687374749498998,0.6714932059829117,4,0.6802300117237794,1.0726478387386305e-89,0.3197699882762081,0.0,0.6802300117237794,1.2467239872191472e-14
80,-0.6833667334669339,0.7267715961437063,2,0.5146855822515554,8.609583166945388e-68,0.5146855822515554,2.6912134e-316,0.48531430218639526,1.1556204944972087e-07
81,-0.6793587174348698,0.7328117289972544,2,0.5001281893071834,4.37549939168397e-65,0.5001281893071834,4.039970520581014e-309,0.4998712041970686,6.064957481593218e-07
82,-0.6753507014028056,0.7100304157095858,2,0.5886898172403073,2.1727989721517683e-73,0.5886898172403073,0.0,0.41131018163716443,1.1225280464705335e-09
83,-0.6713426853707415,0.7298257973674733,2,0.5505302010560699,1.7983131071068804e-65,0.5505302010560699,5.731090313478293e-308,0.44946954314130994,2.558026202986249e-07
84,-0.6673346693386774,0.7098395803801034,2,0.6415070963524414,1.40187769681486e-72,0.6415070963524414,2.5e-323,0.3584929024375005,1.2100581419595775e-09
85,-0.6633266533066133,0.7070054213529259,2,0.6730486802940812,3.4528363474743166e-73,0.6730486802940812,1e-323,0.3269513190915029,6.144156688520431e-10
86,-0.6593186372745492,0.7039808983414555,2,0.7054118146738941,7.548961437915263e-74,0.7054118146738941,0.0,0.29458818502163175,3.044741543437004e-10
87,-0.6553106212424851,0.7061546102737919,2,0.7340740125358624,1.3522661359535897e-72,0.7340740125358624,1.5336e-320,0.26592598687691643,5.87221199206486e-10
88,-0.6513026052104209,0.6831139898272582,2,0.7492660688268251,1.941069271803899e-80,0.7492660688268251,0.0,0.2507339311712193,1.95563017663342e-12
89,-0.6472945891783568,0.7210495474763297,2,0.7487097412571918,2.5435199517472447e-66,0.7487097412571918,4.043625468329422e-304,0.25129022914689897,2.959590923327037e-08
90,-0.6432865731462927,0.7166390749812694,2,0.794006418942296,1.7314945168519896e-67,0.794006418942296,6.560096502423771e-306,0.20599357063909923,1.0418604903666892e-08
91,-0.6392785571142285,0.7340211681089747,2,0.7247352398323776,7.211058713906352e-61,0.7247352398323776,1.4702739760302722e-289,0.2752639768399216,7.833277007495273e-07
92,-0.6352705410821644,0.7226395535776069,2,0.8222067756836066,1.612914161966035e-64,0.8222067756836066,3.8499900480305215e-297,0.1777931736004599,5.071593359225325e-08
93,-0.6312625250501003,0.7191570997179126,2,0.8601076808709176,2.481308688813186e-65,0.8601076808709176,3.912742645480223e-298,0.1398922959384148,2.319066749898302e-08
94,-0.6272545090180361,0.7066163941998269,2,0.9100903989822641,2.900298626794165e-69,0.9100903989822641,1.6577524943430733e-306,0.08990959972040825,1.2973278164586914e-09
95,-0.623246492985972,0.7270994227714428,2,0.8727249188590577,9.506274934459094e-62,0.8727249188590577,6.60701835653897e-288,0.12727491290418322,1.6823675918809695e-07
96,-0.6192384769539079,0.7420242596589876,2,0.801057539699997,3.3294293937426197e-56,0.801057539699997,5.8037272684958e-274,0.19893691875207836,5.541547924527353e-06
97,-0.6152304609218437,0.7059829779349528,2,0.9537269859828109,3.965226735170566e-68,0.9537269859828109,3.0342945722428153e-301,0.04627301248207932,1.535109651072105e-09
98,-0.6112224448897796,0.7321765935208151,2,0.9095530483689066,7.785070799273074e-59,0.9095530483689066,2.5052907440767776e-278,0.09044634553552892,6.060955645582159e-07
99,-0.6072144288577155,0.7366524887430919,2,0.9076787412593882,6.115958723676429e-57,0.9076787412593882,6.027741902277487e-273,0.09231954956573334,1.7091748786000678e-06
100,-0.6032064128256514,0.719182028797341,2,0.9664766730119929,2.0893380732050834e-62,0.9664766730119929,4.777526692921467e-285,0.033523289659217935,3.732878922936631e-08
101,-0.5991983967935872,0.7233251098480777,2,0.9688299008193146,1.272757524679332e-60,0.9688299008193146,6.288156549089521e-280,0.03117000070138589,9.847929929675584e-08
102,-0.5951903807615231,0.7412206146463092,2,0.9361144244998704,2.5955420890732768e-54,0.9361144244998704,5.0851783293282875e-264,0.06388060948057857,4.966019551002466e-06
103,-0.591182364729459,0.7154534230996578,2,0.9869334701732809,2.3043836201771927e-62,0.9869334701732809,1.9971584888484854e-282,0.013066508053026622,2.1773692359082474e-08
104,-0.5871743486973948,0.7466210817402497,2,0.9420686824110495,7.942655501313033e-52,0.9420686824110495,2.5706726935750752e-256,0.057915142080909594,1.617550804116799e-05
105,-0.5831663326653307,0.7232036364876033,2,0.9894322111882347,4.9137034534410085e-59,0.9894322111882347,9.649253483587586e-273,0.010567661124512948,1.2768725242051367e-07
106,-0.5791583166332666,0.7638433015496183,2,0.8602387029252413,1.431099622932064e-45,0.8602387029252413,1.3686366220046695e-239,0.13918917682127058,0.0005721202534880312
107,-0.5751503006012024,0.7908057084319372,4,0.6639908329272455,6.650873626600701e-37,0.27514819136806984,1.4493841306623341e-217,0.6639908329272455,0.0608609757046848
108,-0.5711422845691383,0.7282844005855859,2,0.9942590600713213,3.199980587370502e-56,0.9942590600713213,1.8534871860988508e-263,0.005740497339010823,4.4258966815235815e-07
109,-0.5671342685370742,0.7576215696159959,2,0.9594127456196855,1.281245491658171e-46,0.9594127456196855,2.066321311896855e-239,0.040433207096395675,0.0001540472839186286
110,-0.56312625250501,0.7338279782976267,2,0.9955801439591639,1.0186066763214844e-53,0.9955801439591639,9.820471713113208e-256,0.004418371775223894,1.4842656122950518e-06
111,-0.5591182364729459,0.7705948680228439,2,0.9150811089033614,6.270498503797477e-42,0.9150811089033614,2.3864482956654964e-226,0.0830379422776702,0.0018809488189685914
112,-0.5551102204408818,0.7258711847024206,2,0.9986949187900782,2.3255888564879444e-55,0.9986949187900782,3.612515928326754e-258,0.0013046856914379747,3.955184839236921e-07
113,-0.5511022044088176,0.762176292841358,2,0.9792162817425646,6.107355869691e-44,0.9792162817425646,1.9114996309625147e-229,0.020427181962987137,0.00035653629444808545
114,-0.5470941883767535,0.7364806560373279,2,0.9985937160781363,2.1654195857067575e-51,0.9985937160781363,8.036651321129933e-247,0.0014031039520816726,3.1799697819405954e-06
115,-0.5430861723446894,0.7511643308589551,2,0.9963269489712993,1.2277029637345616e-46,0.9963269489712993,2.5098057459558208e-234,0.0036261346030324573,4.691642566853592e-05
116,-0.5390781563126252,0.7360348507961435,2,0.9993424007721193,9.190059599747997e-51,0.9993424007721193,1.0345004495538344e-243,0.0006541690919793704,3.4301359012180607e-06
117,-0.5350701402805611,0.7744414827667381,2,0.9733836324415922,4.803701544136251e-39,0.9733836324415922,4.522173186852729e-214,0.02349417882214447,0.0031221887362634575
118,-0.531062124248497,0.7425818038622422,2,0.9994401030558377,4.139017322981517e-48,0.9994401030558377,1.4208733181427003e-235,0.0005477472810104727,1.214966315158205e-05
119,-0.5270541082164328,0.7716754916063562,2,0.9894228371088923,2.6789897610795054e-39,0.9894228371088923,5.6122138515432367e-213,0.008766115060668636,0.0018110478304392903
120,-0.5230460921843687,0.7550569366481176,2,0.9989922621701925,8.137065152965448e-44,0.9989922621701925,2.527097046559915e-223,0.0008995295545876871,0.00010820827521983179
121,-0.5190380761523046,0.760940073490385,2,0.9985145087034695,8.332162944717036e-42,0.9985145087034695,1.5854782143768969e-217,0.0011912969837683163,0.00029419431276239753
122,-0.5150300601202404,0.7674632334284667,2,0.9973485244025005,1.2316433880014065e-39,0.9973485244025005,2.5273094846290185e-211,0.0017835164313920555,0.0008679591661071475
123,-0.5110220440881764,0.7505382246830686,2,0.9997712301094454,4.520689192472471e-44,0.9997712301094454,1.1856623331690548e-221,0.0001675913340731154,6.1178556481594e-05
124,-0.5070140280561123,0.7712367096554202,2,0.9970604281832752,5.602527559869519e-38,0.9970604281832752,1.41700509303704e-205,0.0013402104446921268,0.0015993613720325234
125,-0.5030060120240482,0.7988787924253581,2,0.8434135160840985,5.489347079687549e-30,0.8434135160840985,8.306501934893142e-185,0.04355898130770248,0.11302750260819894
126,-0.498997995991984,0.7539410618067153,2,0.9998070970292418,4.1792690214198036e-42,0.9998070970292418,1.9043815546789715e-214,6.877613263296956e-05,0.00012412683812540524
127,-0.4949899799599199,0.7941581776364625,2,0.9383867930073275,8.032214529570627e-31,0.9383867930073275,3.2621230998960244e-185,0.010984425671997644,0.05062878132067479
128,-0.4909819639278557,0.8018911438585228,2,0.8359259293342671,1.669085638414733e-28,0.8359259293342671,1.606431392814559e-178,0.023675111168238654,0.14039895949749423
129,-0.4869739478957916,0.7568015453720022,2,0.9997462048766902,2.5092654571849113e-40,0.9997462048766902,9.999600659336666e-208,2.537926302052147e-05,0.00022841586028947327
130,-0.4829659318637275,0.7452072829962754,2,0.999942186891276,5.491564967496403e-43,0.999942186891276,6.340613175476666e-214,3.9289763596792725e-06,5.388413236422697e-05
131,-0.4789579158316633,0.7815196375160466,2,0.9924153710554918,3.22113903092885e-33,0.9924153710554918,4.979484610197462e-188,0.00031758476494662735,0.007267044179561571
132,-0.4749498997995992,0.7656926664713649,2,0.99908077871668,4.838002480150346e-37,0.99908077871668,4.161725270814426e-197,2.0242061350435495e-05,0.0008989792219694997
133,-0.4709418837675351,0.8151616702892391,2,0.5528609212089551,4.239970715606903e-24,0.5528609212089551,6.103135946179456e-163,0.023964776075789566,0.4231743027152553
134,-0.4669338677354709,0.7796229758529104,2,0.994160802612662,6.894768533863801e-33,0.994160802612662,6.665530807161075e-185,6.108716240048083e-05,0.005778110224937343
135,-0.4629258517034068,0.764008524787962,2,0.999111809803571,1.637544818419236e-36,0.999111809803571,1.2344693768465198e-193,3.70115686558214e-06,0.0008844890395635929
136,-0.4589178356713427,0.7582235180247181,2,0.999506752399408,1.3250052657845254e-37,0.999506752399408,7.493363941648855e-196,9.876608137073432e-07,0.0004922599397782784
137,-0.4549098196392785,0.8040675487377753,2,0.8886555764233708,5.413454809540164e-26,0.8886555764233708,9.59316818520297e-165,0.0008746596372445428,0.11046976393938458
138,-0.4509018036072144,0.7719370960185999,2,0.9973004130091492,1.2375843835026719e-33,0.9973004130091492,5.209014048066795e-184,2.5904325594361337e-06,0.002696996558291342
139,-0.4468937875751503,0.7853173006721362,2,0.9874486072755002,4.108248174219809e-30,0.9874486072755002,5.148386975952394e-174,1.3449563146912931e-05,0.012537943161353078
140,-0.4428857715430861,0.8046253905895693,2,0.8956971045471216,3.2901956414016193e-25,0.8956971045471216,2.2827589403535177e-160,0.00023963301283902425,0.10406326244003948
141,-0.438877755511022,0.7768814800287687,2,0.9945261367264417,1.4524880142612112e-31,0.9945261367264417,1.739903427171035e-176,1.1685429489367495e-06,0.0054726947306093475
142,-0.434869739478958,0.7866941207648549,2,0.9843482440013447,5.494181160593901e-29,0.9843482440013447,6.451454949367472e-169,3.599094763058725e-06,0.015648156903892013
143,-0.4308617234468939,0.788316156778983,2,0.9810403451440857,2.4056691616820574e-28,0.9810403451440857,1.642304345676499e-166,2.804970230312906e-06,0.018956849885684055
144,-0.4268537074148297,0.803337658623287,2,0.9173580481892905,1.2364967379723626e-24,0.9173580481892905,7.348424987290744e-156,2.5711025438592274e-05,0.08261624078527109
145,-0.4228456913827656,0.8024985526599153,2,0.9245313056496364,1.331593939076297e-24,0.9245313056496364,4.714617473257142e-155,1.2982602071585372e-05,0.07545571174829226
146,-0.4188376753507015,0.7872827813095126,2,0.980812509934431,8.731621883743056e-28,0.980812509934431,5.525338935226622e-163,4.446208276960539e-07,0.0191870454447413
147,-0.4148296593186373,0.7939483577903644,2,0.964308329169519,4.796493232937597e-26,0.964308329169519,1.403526610677902e-157,8.635926051112248e-07,0.035690807237875696
148,-0.4108216432865732,0.7862190857256868,2,0.9806028620545933,1.7660554389029465e-27,0.9806028620545933,7.33880716842728e-161,1.1541558654132213e-07,0.019397022529819917
149,-0.4068136272545091,0.7650707140209947,2,0.9958371801620707,1.0838698737852943e-31,0.9958371801620707,5.1099324795620587e-172,1.5586737414464385e-09,0.004162818279255615
150,-0.4028056112224449,0.8007323202567972,2,0.9336419064265811,7.647017864731572e-24,0.9336419064265811,1.5637153131342815e-149,5.700673132430375e-07,0.06635752350610558
151,-0.3987975951903808,0.8343705618535305,5,0.5578561529045626,1.3212211848668703e-16,0.44189065276498835,1.2755769997168856e-128,0.00025319433044896023,0.5578561529045626
152,-0.3947895791583167,0.7797878876482432,2,0.98366931326321,1.052613104022315e-27,0.98366931326321,4.2024963011522194e-159,3.06366700627333e-09,0.0163306836731231
153,-0.3907815631262525,0.7829263779897908,2,0.9779935804000208,8.938639184653683e-27,0.9779935804000208,6.674974271916425e-156,2.9062971516010198e-09,0.02200641669368209
154,-0.3867735470941884,0.7818863138322879,2,0.9773537975265574,1.070898300694889e-26,0.9773537975265574,4.017677802071119e-155,1.2519622984029446e-09,0.022646201221480207
155,-0.3827655310621243,0.8146958346196941,2,0.8242934084251082,7.344288247589958e-20,0.8242934084251082,4.5340310343467534e-135,5.131022397799452e-07,0.17570607847265218
156,-0.3787575150300601,0.8100661077962418,2,0.8648340255493149,1.4119217888600375e-20,0.8648340255493149,1.8633584480284582e-136,1.0379826203344274e-07,0.13516587065242316
157,-0.374749498997996,0.7988073514582279,2,0.9252425521254612,1.4684783049006015e-22,0.9252425521254612,1.5740632471278916e-141,5.1138328809138744e-09,0.07475744276070595
158,-0.3707414829659319,0.7844887744781185,2,0.9609399175959166,4.843189423405113e-25,0.9609399175959166,3.360456489201917e-148,1.4292245744577608e-10,0.039060082261161005
159,-0.3667334669338677,0.8055571224768024,2,0.8848123992435188,8.64071810320702e-21,0.8848123992435188,3.1947148099421434e-135,5.7438298448115315e-09,0.11518759501265123
160,-0.3627254509018036,0.77326699210657,2,0.9687297588557032,1.6315369631011277e-26,0.9687297588557032,1.251869485405732e-151,3.942408324590844e-12,0.0312702411403543
161,-0.3587174348697395,0.8082672674451091,2,0.8599398675529348,7.828249341011714e-20,0.8599398675529348,3.0421488026772703e-131,2.726662458609642e-09,0.14006012972040288
162,-0.3547094188376753,0.8236580149139238,2,0.7383925335296485,8.524062061455976e-17,0.7383925335296485,1.0852121232140807e-121,4.6000095073132575e-08,0.2616074204702562
163,-0.3507014028056112,0.7820218611654762,2,0.9359358127205721,4.868516336849894e-24,0.9359358127205721,8.19188196155439e-143,2.4648143545408314e-12,0.06406418727696303
164,-0.3466933867735471,0.7772033564829094,2,0.9354132551767332,1.4368479541868765e-24,0.9354132551767332,5.0878783886935066e-144,4.3960287520271893e-13,0.0645867448228271
165,-0.342685370741483,0.8402399549783496,2,0.5770490463457891,2.563669846661343e-13,0.5770490463457891,1.9199009628295545e-109,3.4922044351912115e-07,0.422950604433511
166,-0.3386773547094188,0.7972031118591332,2,0.8663288508526941,1.321377784997478e-20,0.8663288508526941,6.721169816214306e-131,6.662217870620423e-12,0.1336711491406438
167,-0.3346693386773547,0.8329340366103365,2,0.6623349887446155,2.7872407560160282e-14,0.6623349887446155,4.554811859228497e-111,1.522521094949002e-08,0.3376649960301457
168,-0.3306613226452907,0.8079016038997343,2,0.8042371219898609,2.4875226568483974e-18,0.8042371219898609,7.01911368426135e-123,1.7071789270365697e-11,0.19576287799306738
169,-0.3266533066132265,0.808498675548058,2,0.7895709428073486,5.236129281339677e-18,0.7895709428073486,2.277048369826454e-121,9.233058453588582e-12,0.21042905718341828
170,-0.3226452905811624,0.8212520121939769,2,0.7274052665926096,1.034600426423993e-15,0.7274052665926096,1.072894759077188e-113,9.68214600216143e-11,0.27259473331056794
171,-0.3186372745490983,0.7955395732389465,2,0.7888026157742013,1.3440832017066773e-19,0.7888026157742013,1.7650477742926824e-125,9.315993091474114e-14,0.2111973842257056
172,-0.3146292585170341,0.8165951252344283,2,0.7237725965175145,4.595037855347479e-16,0.7237725965175145,9.613248690552273e-114,6.6178945668351215e-12,0.27622740347586716
