Orthogroup	arabidopsis	cardamine
OG0000051	AT1G04820.1, AT1G20010.1, AT1G50010.1, AT1G64740.1, AT4G14960.2, AT5G19770.1, AT5G19780.1	CARHR020480.1, CARHR040120.1, CARHR055410.1, CARHR069200.1, CARHR078640.2, CARHR095140.1, CARHR122890.1, CARHR128920.1, CARHR155480.1, CARHR178800.1, CARHR181770.1, CARHR189700.1, CARHR193110.1, CARHR193130.1, CARHR200860.1, CARHR227450.1, CARHR257750.1, CARHR259610.1, CARHR276490.1
OG0000053	AT1G31920.1, AT1G59720.1, AT2G29760.1, AT3G28640.1, AT3G28660.1, AT4G21065.1, AT5G06540.1, AT5G44230.1	CARHR053480.1, CARHR091070.1, CARHR102950.1, CARHR119050.1, CARHR123110.1, CARHR127830.1, CARHR144070.1, CARHR149110.1, CARHR158000.1, CARHR166670.1, CARHR179010.1, CARHR197950.1, CARHR206660.1, CARHR221380.1, CARHR226080.2, CARHR227650.1, CARHR241250.1, CARHR261600.1
OG0000054	AT1G66690.1, AT1G66700.1, AT1G66720.1, AT3G21950.1, AT3G44840.1, AT5G04370.2, AT5G04370.3, AT5G04380.1, AT5G04380.3, AT5G37970.1, AT5G37990.1, AT5G38020.1, AT5G38100.1, AT5G38780.1	CARHR058820.1, CARHR060700.1, CARHR062000.1, CARHR099850.1, CARHR151170.1, CARHR151180.1, CARHR214640.1, CARHR214650.1, CARHR233980.1, CARHR244810.1, CARHR244810.2, CARHR268610.1
OG0000062	AT3G45860.1, AT4G23130.1, AT4G23130.2, AT4G23130.3, AT4G23140.1, AT4G23140.2, AT4G23150.1, AT4G23180.1, AT4G23180.2, AT4G23180.3, AT4G23230.1, AT4G23270.1, AT4G23270.2, AT4G23270.3, AT4G23280.3, AT4G28670.1	CARHR230200.1, CARHR230230.1, CARHR230290.1, CARHR230320.1, CARHR230570.1, CARHR230620.1, CARHR230650.1, CARHR235620.1, CARHR236450.1
OG0000066	AT1G74780.1, AT2G16660.1, AT2G30300.1, AT2G34350.1, AT2G34350.2, AT2G39210.1, AT4G19450.1, AT4G34950.1	CARHR019570.1, CARHR068080.1, CARHR074050.1, CARHR075030.1, CARHR075290.1, CARHR123620.1, CARHR128420.1, CARHR128430.1, CARHR176880.1, CARHR199220.1, CARHR222410.1, CARHR226240.1, CARHR257730.1, CARHR257740.1, CARHR287050.1, CARHR287470.1
OG0000069	AT1G12440.1, AT1G12440.2, AT1G12440.3, AT1G51200.1, AT1G51200.2, AT1G51200.3, AT1G51200.4, AT2G27580.1, AT2G27580.2, AT4G12040.1, AT4G12040.2, AT4G14225.1, AT4G22820.1, AT4G22820.2, AT4G25380.1	CARHR012730.1, CARHR041240.1, CARHR048720.1, CARHR121460.1, CARHR130610.1, CARHR162680.1, CARHR220310.1, CARHR229850.1, CARHR232790.1
OG0000075	AT1G13460.1, AT1G13460.2, AT3G21650.1, AT3G21650.2, AT3G26020.1, AT3G26020.2, AT3G26020.3, AT3G26020.4, AT3G26020.5, AT3G26020.6, AT3G26020.7, AT3G26020.8, AT3G26030.1, AT4G15415.1, AT4G15415.2, AT4G15415.3, AT4G15415.4, AT4G15415.5	CARHR013810.1, CARHR147010.1, CARHR147020.1, CARHR187890.1, CARHR222150.1
OG0000078	AT1G23140.1, AT1G48590.1, AT1G48590.2, AT1G48590.3, AT1G48590.4, AT1G66360.1, AT1G70800.1, AT1G70810.1, AT1G73580.1, AT3G17980.1, AT5G37740.1, AT5G37740.2, AT5G47710.1, AT5G47710.2, AT5G47710.3, AT5G47710.4	CARHR064070.1, CARHR162090.1, CARHR173610.1, CARHR173610.2, CARHR173610.3, CARHR173610.4, CARHR173610.5
OG0000085	AT1G07540.1, AT3G12560.1, AT3G12560.2, AT3G46590.1, AT3G46590.2, AT3G46590.3, AT3G46590.4, AT3G46590.5, AT5G13820.1, AT5G13820.2, AT5G59430.1, AT5G59430.2, AT5G59430.3, AT5G59430.5	CARHR007310.1, CARHR087060.1, CARHR155220.1, CARHR155220.2, CARHR199620.1, CARHR285800.1, CARHR285800.2, CARHR285800.3
OG0000088	AT1G14040.1, AT1G26730.1, AT1G35350.1, AT1G68740.1, AT2G03240.1, AT2G03250.2, AT2G03260.1, AT3G23430.1, AT3G29060.1, AT4G25350.1	CARHR014410.1, CARHR014420.1, CARHR025230.1, CARHR061560.1, CARHR062400.1, CARHR062400.2, CARHR099390.2, CARHR145570.1, CARHR145580.1, CARHR145590.1, CARHR152240.1, CARHR232760.1
OG0000090	AT2G18560.1, AT2G29730.1, AT3G16520.1, AT3G16520.2, AT3G16520.3, AT3G21750.1, AT3G21760.1, AT3G21780.1, AT3G21790.1, AT3G21800.1, AT4G15260.1, AT4G15270.2, AT4G15270.3, AT4G15280.1, AT4G15280.2	CARHR006980.1, CARHR091730.1, CARHR097730.1, CARHR097750.1, CARHR121510.1, CARHR163000.1, CARHR249220.1
OG0000091	AT1G07670.1, AT1G07670.2, AT1G07810.1, AT1G10130.1, AT2G41560.2, AT2G41560.3, AT2G41560.4, AT4G00900.1, AT4G00900.2	CARHR007620.1, CARHR010230.1, CARHR010230.2, CARHR010230.3, CARHR010230.4, CARHR051780.1, CARHR073860.1, CARHR237800.3, CARHR249430.1, CARHR249430.2, CARHR254640.1, CARHR266010.1, CARHR271150.2
OG0000108	AT1G03020.1, AT2G47870.1, AT3G21460.1, AT3G62930.1, AT3G62950.1, AT4G15660.1, AT4G15670.1, AT4G15680.1, AT4G15690.1, AT4G15700.1, AT5G18600.1	CARHR002360.1, CARHR097410.1, CARHR173220.1, CARHR173240.1, CARHR194420.1, CARHR290060.1, CARHR290070.1, CARHR290080.1, CARHR290090.1, CARHR290100.1
OG0000111	AT4G00905.1, AT5G16330.1, AT5G16360.1	CARHR001240.1, CARHR054530.1, CARHR062780.1, CARHR062790.1, CARHR076700.1, CARHR196900.1, CARHR196910.1, CARHR196920.1, CARHR196920.2, CARHR196930.1, CARHR196940.1, CARHR196950.1, CARHR196960.1, CARHR196970.1, CARHR196980.1, CARHR207120.1, CARHR249420.1, CARHR289010.1
OG0000114	AT2G16300.1, AT2G24250.1, AT2G24250.2	CARHR116710.1, CARHR116720.1, CARHR116870.1, CARHR116870.2, CARHR116910.1, CARHR116910.2, CARHR116940.1, CARHR116970.1, CARHR116990.1, CARHR117020.1, CARHR117020.2, CARHR117030.1, CARHR117030.2, CARHR117220.1, CARHR117230.1, CARHR117860.1, CARHR117880.1, CARHR118620.1
OG0000120	AT1G21864.1, AT1G21866.1, AT1G21928.1, AT1G54775.1, AT1G58242.1, AT1G58245.1, AT1G58248.1, AT3G24465.1, AT5G34828.1, AT5G36720.1, AT5G36805.1, AT5G38378.1	CARHR022210.1, CARHR022280.1, CARHR022290.1, CARHR022300.1, CARHR022330.1, CARHR022850.1, CARHR176330.1, CARHR213610.1
OG0000122	AT4G39560.1, AT4G39560.2	CARHR049800.1, CARHR050880.1, CARHR050880.2, CARHR083750.1, CARHR103020.1, CARHR112580.1, CARHR146390.1, CARHR164670.1, CARHR174400.1, CARHR174400.2, CARHR214110.1, CARHR228300.1, CARHR237170.1, CARHR243400.1, CARHR247160.1, CARHR286090.1, CARHR286150.1, CARHR286180.1
OG0000125	AT3G22900.1, AT3G22900.2, AT4G14520.1, AT4G14520.10, AT4G14520.11, AT4G14520.2, AT4G14520.3, AT4G14520.4, AT4G14520.5, AT4G14520.6, AT4G14520.7, AT4G14520.8, AT4G14520.9, AT4G14660.1, AT4G14660.2, AT4G14660.3	CARHR098840.1, CARHR098850.1, CARHR220740.1, CARHR221020.1
OG0000126	AT1G04700.1, AT1G04700.2, AT1G04700.3, AT1G16270.1, AT1G16270.2, AT1G16270.3, AT1G79570.1, AT1G79570.2, AT1G79570.3, AT1G79570.4, AT1G79570.5, AT2G35050.1, AT2G35050.2, AT3G24715.1, AT3G24715.2, AT3G24715.3	CARHR004080.1, CARHR016740.1, CARHR073230.1, CARHR101050.1
OG0000127	AT2G47380.1, AT2G47380.2, AT3G62400.1, AT5G40382.1, AT5G40382.2, AT5G61310.1, AT5G61310.2, AT5G61310.3, AT5G61310.4, AT5G61310.5, AT5G61310.6	CARHR054380.1, CARHR054380.2, CARHR054380.3, CARHR054380.4, CARHR054380.5, CARHR142770.1, CARHR172740.1, CARHR261710.1, CARHR275070.1
OG0000130	AT3G04940.1, AT3G04940.2, AT5G28020.1, AT5G28020.2, AT5G28020.3, AT5G28020.4, AT5G28020.6, AT5G28030.1, AT5G28030.2, AT5G28030.4, AT5G28030.5	CARHR045580.2, CARHR079220.1, CARHR079220.2, CARHR098370.1, CARHR184970.1, CARHR185640.1, CARHR185640.2, CARHR185650.1, CARHR185660.1
OG0000136	AT3G58890.1	CARHR051170.1, CARHR051200.1, CARHR052220.1, CARHR061820.1, CARHR104620.1, CARHR111220.1, CARHR111990.1, CARHR115170.1, CARHR115200.1, CARHR151510.1, CARHR152850.1, CARHR169770.1, CARHR182570.1, CARHR203610.1, CARHR214180.1, CARHR219570.1, CARHR219570.2, CARHR219570.3, CARHR221800.1
OG0000139	AT1G09155.1, AT1G56240.1, AT1G56250.1, AT1G80110.1, AT2G02230.1, AT2G02240.1, AT2G02250.1, AT2G02300.1, AT2G02310.1, AT2G02340.1, AT2G02350.2, AT2G02360.1, AT3G61060.1, AT3G61060.2, AT5G24560.1	CARHR144910.1, CARHR177060.1, CARHR177170.1, CARHR289800.1
OG0000141	AT1G70300.1, AT2G30070.1, AT2G30070.2, AT2G40540.1, AT2G40540.2, AT2G40540.3, AT2G40540.4, AT2G40540.5, AT3G02050.1, AT4G23640.1, AT4G33530.2, AT5G14880.1	CARHR063440.1, CARHR074880.1, CARHR123370.1, CARHR135650.1, CARHR198470.1, CARHR219060.1, CARHR231010.1
OG0000148	AT1G32960.1, AT1G32970.1, AT1G66220.1, AT4G10530.1, AT4G10550.3, AT4G21640.1, AT4G21650.1	CARHR032270.1, CARHR032300.1, CARHR032300.2, CARHR134750.1, CARHR155420.1, CARHR201210.1, CARHR228350.1, CARHR228360.1, CARHR233910.1, CARHR256050.1, CARHR256070.1, CARHR292170.1
OG0000151	AT1G57730.1, AT1G70910.1, AT2G24285.1, AT2G24285.2, AT2G24460.1, AT2G24480.1, AT2G25565.1, AT3G28620.1, AT3G42940.1, AT5G37200.1, AT5G37220.1, AT5G37230.1, AT5G37250.1, AT5G37250.2, AT5G37270.1, AT5G37280.1, AT5G43200.1	CARHR117550.1, CARHR215830.1
OG0000158	AT1G07660.1, AT1G07660.2, AT1G07820.1, AT1G07820.2, AT2G28740.1, AT3G45930.1, AT3G46320.1, AT3G53730.1, AT5G59690.1, AT5G59970.1, AT5G59970.2	CARHR007630.1, CARHR007630.2, CARHR121870.1, CARHR132050.1, CARHR154290.1, CARHR154770.1, CARHR163630.1, CARHR273260.1
OG0000159	AT1G09080.1, AT1G09080.2, AT1G16030.1, AT1G56410.1, AT3G09440.1, AT3G09440.2, AT3G09440.3, AT3G09440.4, AT3G12580.1, AT5G02490.1, AT5G02500.1, AT5G02500.2, AT5G28540.1, AT5G42020.1, AT5G42020.2, AT5G42020.3	CARHR016540.1, CARHR087080.1, CARHR210890.1
OG0000161	AT1G66880.1, AT1G66920.1, AT1G66920.3, AT1G66930.2, AT1G67000.1, AT5G38240.1, AT5G38240.2, AT5G38240.3, AT5G38250.1, AT5G38260.1	CARHR059070.1, CARHR059080.1, CARHR059090.1, CARHR059130.1, CARHR059250.1, CARHR059270.1, CARHR124320.1, CARHR214400.1, CARHR214430.1
OG0000163	AT1G15580.1, AT3G04730.1, AT3G23030.1, AT3G23030.2, AT3G23050.2, AT4G14550.1, AT4G14550.2, AT4G14550.3, AT4G14560.1, AT4G29080.1	CARHR003570.1, CARHR003580.1, CARHR016130.1, CARHR078980.1, CARHR078980.2, CARHR098960.1, CARHR098970.1, CARHR113930.1, CARHR279630.1
OG0000172	AT3G44540.1, AT3G44540.2, AT3G44540.3, AT3G44550.1, AT3G44560.1, AT3G44560.2, AT3G44560.3, AT3G60060.1, AT4G33790.1, AT5G22420.1, AT5G22500.2	CARHR151600.1, CARHR151610.1, CARHR159420.1, CARHR170370.1, CARHR191040.1, CARHR191110.1, CARHR241880.1
OG0000180	AT1G67150.2, AT2G36430.1, AT3G44710.1, AT3G47200.1, AT3G47200.2, AT3G47210.1, AT3G47250.1, AT3G47250.2, AT3G47250.3, AT5G11290.2, AT5G22540.1, AT5G22550.1, AT5G22550.2, AT5G22560.1	CARHR076650.1, CARHR130730.1, CARHR151360.1, CARHR190990.1
OG0000185	AT1G76220.1, AT2G17680.1, AT4G35200.1, AT4G35210.1, AT4G35720.1	CARHR069780.1, CARHR069800.1, CARHR107390.1, CARHR107930.1, CARHR161000.1, CARHR161010.1, CARHR243410.1, CARHR243430.1, CARHR244040.1, CARHR244050.1, CARHR293360.1, CARHR293370.1, CARHR293380.1
OG0000187	AT1G64620.1, AT2G46590.1, AT2G46590.2, AT3G61850.1, AT3G61850.2, AT3G61850.3, AT3G61850.4, AT3G61850.5, AT4G00940.1, AT4G00940.2, AT4G00940.3, AT4G24060.1	CARHR046300.1, CARHR141940.1, CARHR172180.1, CARHR172180.2, CARHR231460.1, CARHR249400.1
OG0000191	AT1G68960.2, AT5G52940.1, AT5G53230.1, AT5G53240.1, AT5G54320.1, AT5G54330.1, AT5G54450.1, AT5G55270.1, AT5G55880.1, AT5G55890.1	CARHR100780.1, CARHR267690.1, CARHR267700.1, CARHR268630.1, CARHR269250.1, CARHR269260.1, CARHR281120.1, CARHR289300.1
OG0000204	AT2G18630.2, AT3G28270.1, AT3G28270.2, AT3G28290.1, AT3G28300.1, AT3G28310.1, AT3G28320.1, AT5G66660.1, AT5G66670.1, AT5G66670.2, AT5G66670.3, AT5G66670.4, AT5G66675.1, AT5G66675.2, AT5G66675.3, AT5G66675.4	CARHR281050.1
OG0000210	AT1G04120.1, AT1G04120.2, AT1G04120.3, AT2G47800.1, AT3G21250.1, AT3G21250.2, AT3G21250.4, AT3G21250.5, AT3G60160.1, AT3G60160.3, AT3G62700.1	CARHR097150.1, CARHR143180.1, CARHR170470.1, CARHR170470.2, CARHR170470.3, CARHR172970.1
OG0000220	AT1G05960.1, AT1G05960.2, AT1G05960.3, AT1G05960.4, AT2G41830.1, AT2G41830.2, AT5G21080.1, AT5G26850.1, AT5G26850.2, AT5G26850.3, AT5G26850.4	CARHR005490.1, CARHR038450.4, CARHR136910.1, CARHR136910.2, CARHR186680.1, CARHR186680.2
OG0000239	AT2G23200.1, AT3G51550.1, AT5G24010.1, AT5G28680.1, AT5G28680.2, AT5G39000.1, AT5G54380.1	CARHR078920.1, CARHR114270.1, CARHR114300.1, CARHR134150.1, CARHR154760.1, CARHR161120.1, CARHR161120.2, CARHR185290.1, CARHR267640.1
OG0000240	AT1G61070.1, AT2G02140.1, AT2G02147.1, AT2G31953.1, AT2G31957.1, AT5G63660.1	CARHR052230.1, CARHR125680.1, CARHR144740.1, CARHR144750.1, CARHR144760.1, CARHR144770.1, CARHR144780.1, CARHR144790.1, CARHR144800.1, CARHR277540.1
OG0000241	AT1G19350.1, AT1G19350.3, AT1G19350.4, AT1G19350.5, AT1G19350.6, AT1G75080.1, AT1G75080.2, AT1G78700.1, AT3G50750.1, AT4G18890.1, AT4G18890.2, AT4G36780.1	CARHR019940.1, CARHR068400.1, CARHR072230.1, CARHR225770.1
OG0000242	AT2G03160.1, AT2G03170.1, AT3G21850.1, AT3G60010.1, AT3G60020.1, AT5G42190.1	CARHR069500.1, CARHR145480.1, CARHR145500.1, CARHR145510.1, CARHR145520.1, CARHR237390.1, CARHR273110.1, CARHR284690.1, CARHR286680.1, CARHR288810.1
OG0000244	AT1G14100.1, AT1G14110.1, AT2G03220.1, AT2G15370.1, AT2G15390.2	CARHR014460.1, CARHR014480.1, CARHR014490.1, CARHR036430.1, CARHR066550.1, CARHR066560.1, CARHR105730.1, CARHR105760.1, CARHR105770.1, CARHR145550.1, CARHR145550.2
OG0000245	AT1G10360.1, AT1G27130.1, AT1G53680.1, AT1G59670.1, AT2G29450.1, AT2G29470.1	CARHR053490.1, CARHR053520.1, CARHR122710.1, CARHR122720.1, CARHR122730.1, CARHR122730.2, CARHR122750.1, CARHR122760.1, CARHR122770.1, CARHR122810.1
OG0000249	AT2G18750.1, AT2G18750.2, AT2G18750.3, AT2G24300.1, AT2G24300.2, AT2G24300.3, AT4G25800.1, AT4G25800.2, AT4G31000.1, AT4G31000.2, AT5G57580.1	CARHR109340.1, CARHR117800.1, CARHR233250.1, CARHR238930.1, CARHR271350.1
OG0000251	AT2G47230.2, AT5G23800.1	CARHR002610.1, CARHR005930.1, CARHR011690.1, CARHR025430.1, CARHR142610.1, CARHR142610.2, CARHR142610.3, CARHR142610.4, CARHR142610.5, CARHR142620.1, CARHR172640.1, CARHR172640.2, CARHR172640.3, CARHR189760.1
OG0000258	AT4G33260.1	CARHR056800.1, CARHR057070.1, CARHR106590.2, CARHR151040.1, CARHR182670.1, CARHR182720.1, CARHR185510.1, CARHR193410.1, CARHR215850.1, CARHR241310.1, CARHR241320.1, CARHR241340.1, CARHR241440.1, CARHR286400.1, CARHR289350.1
OG0000269	AT4G02970.1, AT4G03350.1, AT4G03370.1, AT4G05230.1, AT4G05260.1, AT4G05310.1	CARHR251320.1, CARHR251330.1, CARHR251340.1, CARHR252240.1, CARHR252280.1, CARHR252290.1, CARHR252310.1, CARHR252320.1, CARHR252330.1
OG0000277	AT1G53310.1, AT1G53310.2, AT1G53310.3, AT1G68750.1, AT2G42600.1, AT2G42600.2, AT2G42600.3, AT3G14940.1, AT3G14940.2	CARHR025810.1, CARHR025810.2, CARHR043540.1, CARHR061570.1, CARHR089880.1, CARHR137740.1
OG0000279	AT2G20180.1, AT2G20180.2, AT2G20180.3, AT2G20180.4, AT2G20180.5, AT2G20180.6, AT2G20180.7, AT4G28790.1, AT4G28800.1, AT4G28800.2, AT4G28811.1, AT4G28815.1, AT4G28815.2	CARHR110680.2, CARHR236600.1
OG0000283	AT1G14930.1, AT1G14940.2, AT1G14960.1, AT1G30990.1, AT3G26450.1, AT3G26460.1	CARHR015470.1, CARHR015480.1, CARHR144080.1, CARHR147290.1, CARHR147290.2, CARHR231040.1, CARHR231050.1, CARHR231060.1, CARHR231070.1
OG0000292	AT1G03230.1, AT5G19110.1, AT5G19110.2, AT5G19120.1	CARHR002340.1, CARHR183710.1, CARHR183730.1, CARHR183740.1, CARHR193830.1, CARHR193840.1, CARHR193850.1, CARHR193860.1, CARHR193870.1, CARHR193880.1, CARHR193890.1
