Annotee_Identifier	Human_Readable_Description
AT2G45200.1	golgi snap receptor complex member
CARHR085110.1	protein apem
AT2G44581.1	ring h2 finger protein atl
CARHR196780.1	mitogen activated protein kinase
AT1G16890.2	ubiquitin conjugating enzyme e2 16
CARHR268410.1	rab gtpase activating protein catalytic subunit
AT1G73960.3	transcription initiation factor tfiid subunit
AT4G08470.3	mitogen activated protein kinase
AT3G04070.2	nac domain containing protein
CARHR050720.1	abc family protein mitochondrial
CARHR092450.1	serine carboxypeptidase
AT5G48450.1	iron multicopper oxidase
CARHR137390.1	mitogen activated protein kinase
AT3G19460.3	reticulon protein
AT2G04620.2	proton coupled zinc antiporter slc30a5
AT2G48070.1	protein resistance to phytophthora 1 chloroplastic
AT5G17010.4	d xylose proton symporter 3
AT4G28680.3	l tyrosine decarboxylase
CARHR218120.1	adenine dna glycosylase
CARHR132910.1	unknown protein
CARHR256060.1	cytochrome p450
AT1G11440.1	unknown protein
AT3G20150.2	kinesin protein kin
CARHR015610.1	phospholipid phosphatase
AT2G14580.1	glioma pathogenesis protein
AT1G21580.2	zinc finger ccch domain containing protein
CARHR033300.1	immune associated nucleotide binding protein
AT2G38710.2	ammecr protein
AT3G49750.2	receptor protein
CARHR003850.1	pre mrna processing factor
AT2G05370.2	rna dependent polymerase
CARHR125360.1	poly adp ribose glycohydrolase
CARHR244170.1	dna directed rna polymerase ii subunit rpb
CARHR263610.1	malonyl coa anthocyanidin 5 o glucoside malonyltransferase
AT5G19200.1	3 phenylpropionate dihydrodiol cinnamic acid dehydrogenase
CARHR206060.1	alcohol acyl transferase allele
CARHR115560.2	fcs zinc finger
CARHR170530.1	ring h2 finger protein atl
CARHR238180.1	xyloglucan endotransglucosylase protein
AT3G03710.1	polyribonucleotide nucleotidyltransferase 1
AT3G17880.2	thioredoxin h type
CARHR219580.1	disease resistance protein tao
CARHR269060.1	pentatricopeptide repeat containing protein
CARHR160420.1	protein gata transcription factor
CARHR089240.2	inactive terpenoid synthase 20
AT4G01190.1	phosphatidylinositol 4 phosphate 5 kinase protein
AT3G09550.1	ankyrin repeat containing protein
AT1G26510.1	f box protein
AT1G33320.1	cystathionine gamma lyase
AT5G38490.1	b3 domain containing protein
CARHR113990.1	e3 ubiquitin protein
AT5G42440.1	brassinosteroid lrr receptor kinase brl
CARHR116910.1	f box kelch repeat protein
CARHR117610.1	fasciclin arabinogalactan protein
AT4G22100.1	beta glucosidase
CARHR184650.1	gamma glutamyl peptidase
AT2G24120.1	dna directed rna polymerase 1 mitochondrial
CARHR191700.2	5 protein kinase subunit beta
AT5G17550.2	peroxisomal biogenesis factor
AT2G04240.2	e3 ubiquitin protein ligase rha2b
AT3G56400.1	disease resistance protein rrs
CARHR256140.1	flavonol synthase flavanone 3 hydroxylase
CARHR235750.1	tetraspanin
CARHR034750.2	upf protein 01794
AT4G23510.2	disease resistance protein rps
CARHR009840.1	atp binding cassette sub family f member
AT3G28130.6	wat protein
AT3G15460.1	ribosome biogenesis protein brx
AT1G29790.2	unknown protein
CARHR205100.1	syntaxin protein
AT5G42030.1	protein abil
AT1G74070.2	peptidyl prolyl cis trans isomerase
AT5G43440.1	1 aminocyclopropane carboxylate oxidase
CARHR101740.2	crm domain containing factor cfm chloroplastic mitochondrial
CARHR104700.1	ll diaminopimelate aminotransferase
CARHR209560.1	histone deacetylase hdt
CARHR258790.1	ribosome quality control complex subunit
AT1G80810.2	sister chromatid cohesion protein pds
AT3G06110.3	dual specificity protein phosphatase 22
AT5G45230.1	disease resistance protein rps
AT5G60360.3	pro cathepsin h
CARHR173430.1	cyclin u4 1
CARHR169000.1	ketol acid reductoisomerase nadp +
AT4G27180.2	kinesin protein kin
CARHR259800.1	jacalin lectin
AT5G10000.1	ferredoxin chloroplastic
CARHR032600.2	trihelix transcription factor
AT1G30690.2	sec cytosolic factor
AT1G32230.2	inactive poly [adp ribose] polymerase rcd
AT3G46790.1	pentatricopeptide repeat containing protein
AT5G64560.2	magnesium transporter mrs
ATMG01240.1	unknown protein
AT1G55590.1	f box protein
CARHR093150.1	uv b induced protein chloroplastic
AT1G73580.1	protein c2 domain aba
AT4G17360.2	formyltetrahydrofolate deformylase 1
CARHR014040.1	cytosolic sulfotransferase
CARHR030190.1	berberine bridge enzyme
AT1G77480.2	aspartic proteinase
CARHR292920.1	heat shock protein 21
AT5G43990.5	histone lysine n methyltransferase
CARHR143660.1	sec independent protein translocase tatc
AT2G03620.1	magnesium transporter mrs
AT1G76405.1	outer envelope pore protein 21 chloroplastic
AT4G34870.1	peptidyl prolyl cis trans isomerase
AT5G25450.3	cytochrome b c1 complex subunit 7 1
CARHR274720.1	exocyst complex component
AT4G02460.1	dna mismatch repair protein
AT4G14713.5	protein tify
CARHR204400.2	transcription elongation factor spt
AT4G18230.4	udp n acetylglucosamine transferase subunit alg
AT1G11660.1	heat shock kda protein
AT3G62720.1	xyloglucan 6 xylosyltransferase
AT3G11470.9	4 phosphopantetheinyl transferase
CARHR110520.2	camp dependent protein kinase alpha subunit
AT5G39540.1	f box protein
AT1G05890.2	cullin
AT4G31700.2	small ribosomal subunit protein es
AT2G42210.3	outer envelope pore protein 16 3 chloroplastic mitochondrial
CARHR000890.1	1 aminocyclopropane carboxylate synthase protein
CARHR163120.1	unknown protein
AT2G17280.2	phosphoglycerate mutase protein
AT1G60810.1	atp citrate synthase protein
AT3G46210.2	exosome complex rrp
CARHR213910.1	rhomboid protein 9 chloroplastic
CARHR273490.1	actin depolymerizing factor
AT3G57130.1	btb poz domain and ankyrin repeat containing protein npr
AT1G79000.1	histone acetyltransferase hac
AT4G19700.1	boi e3 ubiquitin protein ligase
CARHR106030.2	calmodulin protein
CARHR242620.1	kynurenine formamidase
AT3G52800.2	zinc finger and an domain containing stress associated protein
AT5G52190.1	3 hexulose phosphate isomerase
CARHR074770.10	facilitated trehalose transporter tret
AT5G41840.1	f box protein
AT3G23950.1	f box protein
CARHR236500.4	myosin
AT3G12710.1	dna methyladenine glycosylase
CARHR099010.1	dna repair protein xrcc
AT4G38830.1	cysteine rich receptor protein kinase
AT2G17120.1	secreted lysm effector mg1lysm
AT4G24740.5	dual specificity protein kinase clk
AT2G46660.1	cytochrome p450
AT4G21660.3	splicing factor 3b subunit
AT2G24470.1	filament plant protein
CARHR219610.1	cytochrome p450
CARHR291460.2	trna dihydrouridine 20 20a synthase
CARHR033860.1	dihydrolipoyllysine residue acetyltransferase component of pyruvate dehydrogenase complex
AT1G22340.1	udp glycosyltransferase
CARHR127630.1	swi snf complex subunit
CARHR219650.1	cytochrome p450
AT2G15130.1	basic secretory protease fragments
AT2G17500.3	protein pin likes
AT4G28400.1	unknown protein
CARHR035680.1	aaa atpase
AT1G09490.2	cinnamoyl coa reductase
AT3G08840.7	d alanine ligase
CARHR130180.1	transitional endoplasmic reticulum atpase
CARHR045800.2	unknown protein
CARHR084660.4	kinesin protein kin
CARHR234150.1	calcineurin b protein
AT5G04350.1	s protein
CARHR040440.1	delta 14 sterol reductase
CARHR253980.1	indole acetic acid induced protein arg
CARHR006330.2	protein jason
AT1G12540.1	transcription factor bhlh
CARHR138020.2	proline rich receptor protein kinase perk
AT2G34150.5	protein scar
CARHR038620.1	indole acetic acid amido synthetase gh
CARHR080250.1	transcription factor bhlh
CARHR196480.1	glutathione s transferase dhar
AT4G01800.2	protein translocase subunit seca
AT5G20450.1	myosin
AT5G45920.4	isoamyl acetate hydrolyzing esterase
AT3G61430.1	aquaporin pip
CARHR054310.1	f box protein
AT4G29080.1	auxin responsive protein iaa
AT4G28600.1	protein npgr
CARHR002800.1	math domain and coiled coil containing protein
CARHR169570.1	f box protein
AT2G38320.2	xylan o acetyltransferase
CARHR176400.1	26s proteasome non atpase regulatory subunit
AT1G80900.1	magnesium transporter mrs
AT5G62760.4	ylp motif containing protein
AT5G44000.1	glutathione s transferase omega
AT2G21610.2	pectinesterase
AT4G16900.2	disease resistance protein
AT2G30120.6	protein flc expressor
AT2G02930.1	glutathione s transferase
AT1G01070.1	wat protein
CARHR036260.1	outer envelope pore protein 24 chloroplastic
AT3G51240.1	naringenin oxoglutarate 3 dioxygenase
AT3G53305.1	cytochrome p450
CARHR292060.5	vacuolar protein sorting associated
AT5G53300.2	ubiquitin conjugating enzyme e2 16
AT2G05990.2	enoyl [acyl carrier protein] reductase [nadh] 1
AT4G09010.3	thylakoid lumenal kda protein chloroplastic
CARHR106570.1	small ribosomal subunit protein es
CARHR170020.1	large ribosomal subunit protein ml
AT2G01660.1	plasmodesmata located protein
AT3G22425.1	imidazoleglycerol phosphate dehydratase 1
AT3G11040.1	cytosolic endo beta n acetylglucosaminidase
AT1G14560.2	mitochondrial carrier family protein
AT4G20350.11	alkylated dna repair protein alkbh
CARHR050640.1	lateral signaling target protein
AT3G13430.4	e3 ubiquitin protein ligase rnf
CARHR192760.1	nad capped rna hydrolase nudc
CARHR015190.1	protein basic pentacysteine
AT3G46490.1	2 oxoglutarate dependent dioxygenase
AT1G60030.1	nucleobase ascorbate transporter
AT3G21730.1	dihydroneopterin aldolase
AT3G16840.1	atp dependent rna helicase mak
AT3G54640.1	tryptophan synthase alpha chain
AT2G40110.1	protein yippee 5
AT5G36925.1	peptide
AT2G33620.2	at hook motif nuclear localized protein
AT4G14225.1	zinc finger and an domain containing stress associated protein
CARHR256700.1	unknown protein
AT4G31750.2	protein phosphatase 1l
AT5G25400.1	solute carrier family member c2
AT4G02890.1	polyubiquitin
CARHR035330.5	polyadenylate binding protein
CARHR157150.1	ufm specific protease
AT4G27650.3	protein pelota
CARHR249530.4	vacuolar protein sorting associated
AT5G37370.1	pre mrna splicing factor
CARHR272450.1	increased dna methylation
CARHR286010.1	protein gamete expressed
CARHR069000.1	histone h3 2
AT3G60860.1	brefeldin a inhibited guanine nucleotide exchange protein
AT1G27620.1	10 iii o acetyltransferase
CARHR162660.1	fe 3+ 2+ purple acid phosphatase
CARHR037040.1	tuliposide a converting enzyme amyloplastic
AT5G44220.1	f box protein
AT5G65620.1	mitochondrial intermediate peptidase
AT1G04830.2	gtpase activating protein gyp
AT3G26190.1	cytochrome p450
AT2G03390.1	clp protease adapter protein clpf chloroplastic
AT4G30590.1	early nodulin protein
CARHR015640.2	cytochrome b c1 complex subunit 6 1
AT1G56720.3	proline rich receptor protein kinase perk
AT5G37370.7	pre mrna splicing factor sr
AT3G44770.2	upf protein
CARHR110700.1	ribonuclease inhibitor
CARHR199380.1	nac domain containing protein
CARHR147340.1	cytochrome p450
AT5G18240.3	myb family transcription factor phl
CARHR041290.1	alpha crystallin domain containing protein
AT2G03390.3	clp protease adapter protein clpf chloroplastic
AT1G46768.2	ethylene responsive transcription factor erf
AT2G43000.1	nac domain containing protein
CARHR002180.2	serine arginine rich splicing factor
AT4G15330.1	cytochrome p450
AT3G45440.4	l type lectin domain containing receptor kinase 3
AT3G15260.1	unknown protein
CARHR043200.1	f box protein
CARHR228600.4	gpn loop gtpase
AT2G29980.1	omega fatty acid desaturase endoplasmic reticulum
AT1G03457.3	cugbp elav family member 1
CARHR117920.1	brassinosteroid lrr receptor kinase bri
AT1G67580.2	cyclin dependent kinase 1
CARHR075890.1	processing protein esf
AT1G05940.3	cationic amino acid transporter 2
CARHR044060.1	26s proteasome regulatory subunit
CARHR228310.1	f box kelch repeat protein
CARHR124150.1	3 hydroxyisobutyryl coa hydrolase protein 1 mitochondrial
AT1G56220.2	dormancy associated protein
CARHR283500.1	unknown protein
CARHR218030.1	mediator of rna polymerase ii transcription subunit
CARHR134830.1	unknown protein
CARHR202860.2	beta glucosidase 26
AT2G02870.2	f box kelch repeat protein
CARHR201050.1	mechanosensitive ion channel protein
AT1G03850.1	monothiol glutaredoxin
CARHR249980.1	protoporphyrinogen oxidase 1 chloroplastic
AT3G43920.3	endoribonuclease dicer
CARHR209700.1	gdsl esterase lipase
CARHR248630.1	f box protein
AT5G46930.1	pectinesterase inhibitor
CARHR032170.1	polyadenylate binding protein
CARHR194080.1	s adenosylmethionine decarboxylase proenzyme
CARHR091450.1	photosynthetic ndh subunit of subcomplex b 3 chloroplastic
AT2G25180.1	two component response regulator
CARHR053930.1	disease resistance protein rpp
CARHR165950.1	nematode resistance protein hspro
CARHR211480.2	e3 ubiquitin protein ligase
CARHR224380.1	cytoplasmic serine threonine protein kinase
CARHR142620.1	duf 724 domain containing protein
CARHR039260.1	proline rich receptor protein kinase perk
AT5G04270.1	palmitoyltransferase zdhhc
CARHR281540.1	ferredoxin nadp reductase isozyme 1 chloroplastic
AT5G66631.1	pentatricopeptide repeat containing protein
CARHR021750.1	glycolipid transfer protein
CARHR181210.1	disease resistance protein
AT2G27720.3	large ribosomal subunit protein
AT1G25510.1	protein aspartic protease
AT5G66860.1	large ribosomal subunit protein bl
AT1G70650.2	ubiquitin conjugating enzyme e2 variant
AT2G46030.1	ubiquitin conjugating enzyme e2 17
CARHR153740.1	snf domain containing protein classy
AT3G49120.1	anionic peroxidase
CARHR075740.2	hypersensitive induced response protein
CARHR118550.1	spx domain containing protein
AT1G56720.1	proline rich receptor protein kinase perk
AT3G55970.1	leucoanthocyanidin dioxygenase
AT5G56370.2	f box fbd protein
CARHR124870.3	transcription factor
AT2G13450.1	unknown protein
AT5G40820.2	serine threonine protein kinase
AT5G23330.1	fad synthetase 1 chloroplastic
AT3G25882.1	protein nim interacting
CARHR022570.1	f box protein
AT4G00480.2	transcription factor myc
AT1G63770.3	aminopeptidase m1
AT1G18773.1	carboxylesterase sober
CARHR077550.1	non phospholipase c
CARHR148520.2	bromodomain containing protein
CARHR155660.1	atp dependent zinc metalloprotease ftsh 7
AT5G03905.1	iron sulfur cluster assembly mitochondrial
CARHR039650.1	polyadenylate binding protein
AT5G60570.2	f box kelch repeat protein
AT3G45140.2	13s lipoxygenase 2 1 chloroplastic
CARHR139200.1	4 hydroxy tetrahydrodipicolinate reductase 1
AT1G70630.1	udp galactose fucoside alpha galactosyltransferase
AT4G37020.2	unknown protein
AT5G48385.1	frigida protein
AT4G39780.1	ethylene responsive transcription factor erf
AT3G10640.2	charged multivesicular body protein
CARHR043600.2	abc transporter g family member
CARHR113830.1	kinesin protein kin
CARHR231450.1	retinol dehydrogenase
CARHR057380.1	endoglucanase
CARHR164590.1	structural maintenance of chromosomes protein
AT1G12672.2	thionin protein
CARHR076660.3	tyrosine trna ligase
CARHR018650.3	eukaryotic peptide chain release factor gtp binding subunit
AT1G57870.4	shaggy protein kinase beta
AT5G25800.1	rna exonuclease
AT4G32850.10	nuclear poly a polymerase
AT1G55750.4	general transcription and factor iih subunit
CARHR047420.1	aminopeptidase n
CARHR155290.1	u box domain containing protein
CARHR104770.2	gdp mannose transporter
CARHR246010.2	cyclin 1
CARHR091950.3	oxaloacetate tautomerase fahd mitochondrial
AT1G07350.3	serine arginine rich splicing factor
AT4G15620.1	casp protein 1d1
AT4G38480.1	ddb and cul associated factor protein
AT5G17440.1	luc protein
CARHR015110.1	valine trna ligase
CARHR093740.1	crm domain containing factor chloroplastic
AT4G18980.1	protein s40 1
CARHR167890.1	zinc finger protein wip
AT4G21820.3	abnormal spindle protein
CARHR240830.1	atp dependent 6 phosphofructokinase 4
CARHR204310.1	atp synthase 1 subunit beta mitochondrial
AT1G14700.1	purple acid phosphatase
CARHR142420.1	proline rich receptor protein kinase perk
CARHR264310.1	mitochondrial intermediate peptidase
CARHR279430.1	ubiquitin carboxyl terminal hydrolase 22
CARHR130660.2	protein glutelin precursor accumulation
CARHR262130.1	atp dependent rna helicase dhx
CARHR143540.1	hydroperoxide glutathione peroxidase 1
CARHR161710.1	early nodulin protein
AT1G73430.2	conserved oligomeric golgi complex subunit
AT4G24140.1	unknown protein
CARHR177110.2	disease resistance protein rps
AT5G38940.2	germin protein member
AT4G16610.1	zinc finger protein zat
AT3G02360.1	6 phosphogluconate dehydrogenase decarboxylating 1
AT1G44750.7	purine permease
AT1G28030.1	2 oxoglutarate dependent dioxygenase aop
AT5G50270.2	f box fbd protein
AT4G04340.1	hyperosmolality gated ca + permeable channel
AT4G05360.1	sister chromatid cohesion protein
AT4G28040.2	wat protein
CARHR004790.1	zinc transporter 4
CARHR167950.1	ethylene responsive transcription factor erf
CARHR234890.2	bifunctional dihydroflavonol 4 reductase
CARHR241350.1	cell division cycle 20 1 cofactor of apc complex
CARHR103170.1	germin protein member
CARHR097720.1	cationic peroxidase
CARHR131740.1	aldo keto reductase family member a1
AT4G35450.5	ankyrin repeat domain containing protein
CARHR068420.1	auxilin protein
CARHR229680.1	palmitoyltransferase zdhhc
CARHR145410.1	ribonuclease t2 1
CARHR282700.1	unknown protein
AT5G61700.3	abc transporter a family member
CARHR260460.1	gibberellin regulated protein
AT1G76350.2	protein nlp
AT5G06210.1	small rna binding protein 11 chloroplastic
AT4G36080.2	serine threonine protein kinase
AT1G55830.1	coiled coil domain containing protein
AT5G17810.3	wuschel homeobox
AT3G50960.1	thioredoxin domain containing protein
CARHR070250.1	12 oxophytodienoate reductase protein
CARHR126660.1	small ubiquitin modifier
CARHR230440.2	cysteine rich receptor protein kinase
CARHR236200.2	reticulon protein
CARHR240630.1	dual specificity protein kinase clk
CARHR246580.1	homeobox leucine zipper protein
AT2G05710.1	aconitate hydratase a
AT4G10930.2	phd and ring finger domain containing protein
AT3G44310.1	bifunctional nitrilase nitrile hydratase
CARHR246940.1	trehalose 6 phosphate phosphatase
CARHR157150.2	ufm specific protease
AT3G46940.2	deoxyuridine 5 triphosphate nucleotidohydrolase
CARHR100370.1	small acidic protein
AT2G23660.1	lob domain containing protein
AT1G74590.1	glutathione s transferase
AT1G31070.2	udp n pyrophosphorylase protein
AT1G57610.1	calcium uniporter protein 1 mitochondrial
CARHR218590.1	casp protein
AT2G03470.2	at rich interactive domain containing protein
AT3G21710.1	unknown protein
AT3G23400.2	plastid lipid associated protein 6 chloroplastic
CARHR079280.2	protein s acyltransferase dhhc
CARHR132490.1	phosphatidylinositol ceramide inositolphosphotransferase
AT5G02220.1	cyclin dependent protein kinase inhibitor smr
AT5G24530.1	naringenin oxoglutarate 3 dioxygenase
CARHR145450.1	poly rc binding protein
AT2G33980.1	nudix hydrolase 15
AT4G29010.1	fatty acid oxidation complex subunit alpha
CARHR028350.1	senescence specific cysteine protease sag
CARHR292510.1	clavata esr cle protein
CARHR181270.2	phosphatidate phosphatase lpin
AT1G53910.3	ethylene responsive transcription factor
AT4G34840.4	5 methylthioadenosine nucleosidase
AT2G16730.1	beta galactosidase
AT2G42170.3	actin
CARHR204790.1	pre mrna splicing factor rbm
AT5G57390.1	ap ethylene responsive transcription factor
CARHR066000.1	charged multivesicular body protein 1b
CARHR179210.1	glutathione gamma glutamylcysteinyltransferase
AT1G01225.1	protein lead sensitive
CARHR068970.1	protein small auxin up regulated rna
CARHR152900.1	dnaj subfamily a member
CARHR086660.4	proton coupled zinc antiporter slc30a5
CARHR011870.1	pectinesterase
CARHR289580.1	polyadenylation and cleavage factor
CARHR068260.1	fcs zinc finger
CARHR168550.1	deoxyhypusine hydroxylase
AT5G63570.1	glutamate semialdehyde 2 1 aminomutase
CARHR191960.1	thermosome subunit beta
CARHR164440.1	atp binding cassette sub family f member
CARHR017280.1	unknown protein
CARHR113500.1	dna oxidative demethylase alkbh
CARHR265020.2	4 hydroxy tetrahydrodipicolinate reductase
CARHR016630.2	wall associated receptor kinase
CARHR245380.1	nuclear pore complex protein nup
CARHR268610.1	farnesoic acid carboxyl o methyltransferase
AT3G01390.2	v type proton atpase subunit
AT4G02990.2	transcription termination factor mterf chloroplastic
AT3G27230.1	unknown protein
AT4G39380.2	tsl kinase interacting protein
AT4G11880.4	mads box transcription factor
AT2G01940.3	protein indeterminate domain 4 chloroplastic
AT1G04860.1	ubiquitin carboxyl terminal hydrolase 16 45
AT4G26640.2	wrky transcription factor
AT2G16200.2	coatomer subunit gamma
CARHR195120.1	disease resistance protein rps
AT3G23810.1	adenosylhomocysteinase
AT3G59230.1	f box protein
AT3G06778.1	dnaj subfamily c member
CARHR072260.1	protein transport sec subunit alpha
AT4G09010.2	thylakoid lumenal kda protein chloroplastic
CARHR035230.1	glyceraldehyde phosphate dehydrogenase chloroplastic
CARHR244970.1	vacuolar protein sorting
CARHR245880.2	chaperone protein dnaj 20
AT5G02600.1	protein sodium potassium root defective
CARHR230340.1	cysteine rich receptor protein kinase
AT4G10250.1	kda class i heat shock protein
AT2G24195.2	serine rich endogenous peptide
AT3G24010.1	inhibitor of growth protein
AT1G76860.1	u6 snrna associated sm protein lsm
AT4G34730.1	ribosome binding factor a
AT5G51100.4	superoxide dismutase [fe] 1
AT1G32320.1	mitogen activated protein kinase
CARHR269570.1	gpi anchored protein
AT2G23945.1	protein aspartic
AT1G58230.3	beach domain containing protein
AT1G61575.2	g type lectin s receptor serine threonine protein kinase
CARHR243820.1	large ribosomal subunit protein ul
AT5G52140.1	e3 ubiquitin protein ligase ring
AT5G11110.1	sucrose synthase
CARHR002740.1	baculoviral iap repeat containing protein 7
CARHR197960.1	spx domain containing protein
AT3G61160.6	shaggy protein kinase
AT4G36690.4	splicing factor u2af large subunit
AT3G07900.1	o fucosyltransferase
AT2G46830.2	protein cca
AT5G47770.1	farnesyl pyrophosphate synthase 1
AT5G51290.1	ceramide kinase
AT1G22850.1	tvp tmem family membrane protein
AT5G65210.2	bzip transcription factor tga
AT1G10180.1	exocyst complex component
CARHR004210.2	26s proteasome non atpase regulatory subunit
CARHR023410.1	u box domain containing protein
CARHR035910.1	iaa amino acid hydrolase ilr
CARHR109630.2	regulator of nonsense transcripts
CARHR080990.1	anion exchange protein
CARHR185750.3	kinesin protein kin
AT3G53380.1	l type lectin domain containing receptor kinase 1
CARHR078070.1	casein kinase i alpha
CARHR089370.1	galactose transporter
AT4G22760.1	pentatricopeptide repeat containing protein
CARHR195320.1	mitochondrial sodium calcium exchanger protein
CARHR286580.1	f box protein
AT5G14060.3	bifunctional aspartokinase homoserine dehydrogenase 1 chloroplastic
AT1G61010.1	endoribonuclease ysh
CARHR047810.1	cysteine rich repeat secretory protein
CARHR135140.2	protein smax
CARHR194470.2	zinc finger ccch domain containing protein
CARHR039810.1	polyadenylate binding protein 1
CARHR124830.1	ethylene responsive transcription factor erf
AT5G37740.2	protein c2 domain aba
CARHR203660.2	histone acetyltransferase kat
AT2G40110.3	protein yippee 5
CARHR223940.5	protein swollen
AT4G26940.1	hydroxyproline o galactosyltransferase hpgt
CARHR253710.1	pearli lipid transfer protein
AT4G17380.1	dna mismatch repair protein muts
CARHR273870.1	nedd specific protease
CARHR290010.1	casp protein 1d1
AT5G43900.1	myosin
AT2G20510.4	mitochondrial import inner membrane translocase subunit tim
CARHR042130.3	pentatricopeptide repeat containing protein
AT4G26140.4	beta galactosidase
AT5G45260.3	disease resistance protein rps
AT2G05620.1	protein proton gradient regulation 5 chloroplastic
AT2G16405.1	wd repeat containing protein
CARHR029290.1	pyruvate dehydrogenase e1 component subunit beta
AT1G66410.3	calmodulin 11 16
CARHR096600.1	ethylene insensitive protein
CARHR128280.2	nucleobase ascorbate transporter
CARHR011170.3	transmembrane superfamily member
CARHR240540.1	protein tify
AT1G78820.1	ep glycoprotein
AT2G30140.2	udp glycosyltransferase
AT4G21110.2	protein bud
CARHR017050.1	chitobiosyldiphosphodolichol beta mannosyltransferase
CARHR092790.1	large ribosomal subunit protein ul
CARHR101350.2	beta glucosidase
CARHR107440.1	f box protein
CARHR270190.1	arabinogalactan protein
CARHR186090.1	peroxisomal adenine nucleotide carrier
AT1G05850.2	chitinase protein
CARHR253580.1	er membrane protein complex subunit
AT3G46170.1	3 oxoacyl [acyl carrier protein] reductase 1 chloroplastic
AT1G02060.1	large ribosomal subunit protein ml rppr
AT3G01590.2	unknown protein
CARHR286910.1	senescence specific cysteine protease sag
CARHR012650.1	syntaxin binding protein
AT5G62165.8	agamous mads box protein agl
CARHR081000.1	chain fatty acid elongase
CARHR240670.1	group truncated hemoglobin
AT4G00260.1	b3 domain containing protein rem
CARHR191860.5	5 methyltetrahydropteroyltriglutamate homocysteine methyltransferase 3
AT1G51805.1	induced receptor serine threonine protein kinase
AT3G30165.1	unknown protein
AT5G55140.1	large ribosomal subunit protein ul
CARHR150060.1	f box protein
AT1G66050.1	e3 ubiquitin protein ligase uhrf
CARHR235020.1	myosin
CARHR133440.1	annexin protein
CARHR099000.1	protein wvd
AT1G70820.2	phosphoglucosamine mutase
CARHR008020.1	vacuolar protein sorting associated
AT5G25050.1	folate biopterin transporter 1
AT1G76320.1	protein far sequence
AT3G47450.1	no associated protein 1 chloroplastic mitochondrial
AT4G15510.1	containing protein 1 chloroplastic
CARHR278140.2	calmodulin binding transcription activator
AT5G58240.1	bifunctional bis 5 adenosyl triphosphatase
AT2G36230.1	1 5 phosphoribosyl [ phosphoribosylamino methylideneamino] imidazole carboxamide isomerase
AT1G22370.1	udp glycosyltransferase
CARHR029230.1	f box protein
AT4G02440.1	phytochrome a associated f box protein
CARHR157650.1	poly a polymerase i
AT2G03937.2	defensin protein
CARHR199150.1	gastric triacylglycerol lipase
AT1G31300.1	tlc domain containing protein 4
AT2G23530.1	cell division cycle associated protein
CARHR137100.5	e3 ubiquitin protein ligase
AT1G62820.1	calmodulin
AT3G02850.1	potassium channel akt 3
CARHR173030.1	beta glucosidase
AT5G50570.2	squamosa promoter binding protein
AT2G01930.1	protein basic pentacysteine
AT4G28590.1	thioredoxin fold domain containing protein mrl chloroplastic
AT5G42900.1	cold regulated protein
AT2G11270.1	citrate synthase 4 mitochondrial
AT3G14470.2	disease resistance protein
ATCG01040.1	cytochrome c biogenesis protein ccsa
AT4G11580.1	unknown protein
CARHR028120.1	pentatricopeptide repeat containing protein
