Orthogroup	Gene1	Species1	Gene2	Species2
cluster_1	AT1G06180.1	A.thaliana	AT2G47460.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT5G49330.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT1G48000.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT1G74650.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT1G35515.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT1G25340.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT4G13480.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT4G26930.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT3G23250.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT3G08500.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT2G16720.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT3G27920.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT5G40330.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT1G09540.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT5G62320.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT5G65790.1	A.thaliana
cluster_1	AT1G06180.1	A.thaliana	AT1G18570.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT3G49690.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT2G31180.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT4G12350.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT2G32460.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G55020.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G57560.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G65230.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT3G28470.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G26660.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G07690.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G60890.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G74080.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G54230.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT2G47190.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT3G47600.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT4G09460.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G56160.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G79180.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT4G37780.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G63910.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G52260.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G68320.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT4G05100.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT3G02940.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT4G28110.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT3G13890.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G12870.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G07700.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT3G62610.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT2G47460.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G49330.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G48000.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G74650.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G35515.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G25340.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT4G13480.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT4G26930.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT3G23250.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT3G08500.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT2G16720.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT3G27920.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G40330.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G09540.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G62320.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT5G65790.1	A.thaliana
cluster_1	AT3G12820.1	A.thaliana	AT1G18570.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT2G31180.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT4G12350.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT2G32460.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G55020.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G57560.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G65230.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT3G28470.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G26660.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G07690.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G60890.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G74080.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G54230.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT2G47190.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT3G47600.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT4G09460.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G56160.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G79180.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT4G37780.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G63910.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G52260.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G68320.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT4G05100.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT3G02940.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT4G28110.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT3G13890.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G12870.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G07700.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT3G62610.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT2G47460.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G49330.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G48000.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G74650.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G35515.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G25340.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT4G13480.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT4G26930.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT3G23250.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT3G08500.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT2G16720.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT3G27920.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G40330.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G09540.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G62320.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT5G65790.1	A.thaliana
cluster_1	AT3G49690.1	A.thaliana	AT1G18570.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT4G12350.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT2G32460.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G55020.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G57560.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G65230.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT3G28470.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G26660.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G07690.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G60890.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G74080.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G54230.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT2G47190.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT3G47600.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT4G09460.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G56160.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G79180.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT4G37780.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G63910.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G52260.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G68320.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT4G05100.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT3G02940.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT4G28110.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT3G13890.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G12870.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G07700.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT3G62610.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT2G47460.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G49330.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G48000.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G74650.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G35515.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G25340.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT4G13480.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT4G26930.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT3G23250.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT3G08500.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT2G16720.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT3G27920.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G40330.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G09540.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G62320.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT5G65790.1	A.thaliana
cluster_1	AT2G31180.1	A.thaliana	AT1G18570.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT2G32460.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G55020.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G57560.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G65230.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT3G28470.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G26660.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G07690.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G60890.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G74080.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G54230.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT2G47190.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT3G47600.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT4G09460.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G56160.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G79180.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT4G37780.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G63910.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G52260.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G68320.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT4G05100.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT3G02940.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT4G28110.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT3G13890.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G12870.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G07700.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT3G62610.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT2G47460.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G49330.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G48000.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G74650.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G35515.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G25340.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT4G13480.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT4G26930.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT3G23250.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT3G08500.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT2G16720.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT3G27920.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G40330.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G09540.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G62320.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT5G65790.1	A.thaliana
cluster_1	AT4G12350.1	A.thaliana	AT1G18570.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G55020.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G57560.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G65230.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT3G28470.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G26660.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G07690.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G60890.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G74080.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G54230.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT2G47190.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT3G47600.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT4G09460.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G56160.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G79180.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT4G37780.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G63910.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G52260.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G68320.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT4G05100.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT3G02940.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT4G28110.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT3G13890.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G12870.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G07700.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT3G62610.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT2G47460.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G49330.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G48000.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G74650.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G35515.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G25340.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT4G13480.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT4G26930.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT3G23250.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT3G08500.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT2G16720.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT3G27920.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G40330.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G09540.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G62320.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT5G65790.1	A.thaliana
cluster_1	AT2G32460.1	A.thaliana	AT1G18570.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G57560.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G65230.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT3G28470.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G26660.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G07690.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G60890.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G74080.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G54230.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT2G47190.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT3G47600.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT4G09460.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G56160.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G79180.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT4G37780.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G63910.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G52260.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G68320.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT4G05100.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT3G02940.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT4G28110.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT3G13890.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G12870.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G07700.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT3G62610.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT2G47460.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G49330.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G48000.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G74650.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G35515.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G25340.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT4G13480.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT4G26930.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT3G23250.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT3G08500.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT2G16720.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT3G27920.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G40330.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G09540.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G62320.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT5G65790.1	A.thaliana
cluster_1	AT5G55020.1	A.thaliana	AT1G18570.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT5G65230.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT3G28470.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT5G26660.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT5G07690.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT5G60890.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT1G74080.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT5G54230.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT2G47190.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT3G47600.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT4G09460.1	A.thaliana
cluster_1	AT1G57560.1	A.thaliana	AT1G56160.1	A.thaliana
