Orthogroup	A.thaliana	C.hirsuta
cluster_139	AT2G44840.1, AT4G17490.1, AT5G47220.1, AT5G47230.1, AT4G17500.1, AT1G06160.1, AT2G31230.1, AT3G23240.1	CARHR005690.1, CARHR124830.1, 493127, 494254, 935434, CARHR174130.1, CARHR174140.1, CARHR099190.1, CARHR140090.1, 493126, CARHR171960.1, 494253, CARHR224170.1, CARHR224160.1, 470633, 482050, 930349
cluster_144	AT3G22420.2, AT3G48260.1, AT5G28080.2, AT3G51630.1, AT5G58350.1, AT5G55560.1, AT1G49160.2, AT3G04910.1, AT3G18750.1	CARHR039160.1, CARHR079190.1, CARHR094140.1, CARHR098320.1, CARHR185010.1, CARHR268870.1, 474058, 495644, 495950, 897674, CARHR157020.1, CARHR161230.1, 917423, CARHR272180.1, 317356, 318635, 485516, 489642, 905276
cluster_146	AT1G17500.1, AT1G26130.2, AT1G54280.1, AT1G68710.1, AT1G72700.1, AT3G13900.1, AT3G25610.1, AT3G27870.1, AT3G18700.1, AT1G13210.1	CARHR025770.1, CARHR044640.1, CARHR061520.1, CARHR065620.1, CARHR088710.1, CARHR146590.1, CARHR013590.1, CARHR018100.1, CARHR149380.1, 471476, 316232, 322706, 341522, 474559, 475997, 484577, 920669, 921648
cluster_149	AT1G49580.1, AT2G41140.1, AT2G46700.1, AT3G19100.1, AT3G50530.2, AT3G56760.1, AT5G24430.1, AT3G49370.1	483182, 483834, 929797, 952604, 485401, CARHR160030.1, CARHR039620.1, 474093, CARHR039630.1, CARHR094530.1, CARHR136230.1, CARHR142050.1, CARHR159460.1, CARHR166900.1, CARHR166920.1, 485296, 941995, CARHR159480.1, CARHR166910.1, CARHR188990.1, CARHR290320.1, CARHR158310.1, CARHR159470.1, 486115, CARHR188980.1
cluster_150	AT1G13460.1, AT3G09880.1, AT3G26020.4, AT3G26030.1, AT5G03470.1, AT5G25510.1, AT3G21650.1, AT3G54930.1, AT4G15415.2	CARHR147020.1, CARHR222150.1, 478311, 484365, 936295, CARHR013810.1, CARHR084390.1, CARHR147010.1, CARHR209860.1, 487124, 489409, CARHR187890.1, CARHR164910.1, 471504, 930127, 938420
cluster_153	AT2G39840.1, AT3G05580.1, AT5G27840.2, AT5G59160.1, AT2G29400.1, AT1G64040.1, AT3G46820.1, AT4G11240.1, AT5G43380.1	CARHR046910.1, CARHR155400.1, CARHR180230.1, CARHR255340.1, 481858, 489548, CARHR122680.1, 887874, CARHR285380.1, 917653, 952301, CARHR134730.1, CARHR134740.1, CARHR080010.1, 489959, 928157, 474951, 483018, 494661, 897508
cluster_154	AT4G16590.1, AT5G03760.1, AT5G16190.1, AT2G35650.1, AT5G22740.1, AT3G56000.1, AT1G23480.1, AT1G24070.1, AT4G13410.1	CARHR024360.1, CARHR190850.1, CARHR197110.1, CARHR218990.1, CARHR219010.1, CARHR219020.1, CARHR223090.1, 482526, 921402, 489123, CARHR023900.1, CARHR129890.1, CARHR166080.1, 938547, CARHR209540.1, CARHR219000.1, 313253, 487155, 488470, 905719, 915048, 946577
cluster_156	AT2G40990.1, AT3G56920.1, AT3G26935.1, AT3G56930.1, AT5G41060.1, AT3G48760.1, AT5G50020.2, AT4G24630.1, AT5G05070.1	CARHR208200.1, 486136, CARHR136100.1, 495060, CARHR167070.1, 938656, CARHR167080.1, 947625, CARHR213310.1, CARHR232020.1, 484481, 937642, CARHR148090.1, CARHR157520.1, CARHR258640.1, 945637, 325141, 483165, 939913
cluster_157	AT2G45170.1, AT3G60640.1, AT4G16520.1, AT1G15700.1, AT4G04640.1, AT1G62040.2, AT2G05630.2, AT4G04620.1, AT4G21980.2	CARHR050150.1, CARHR228790.1, CARHR252910.1, CARHR103290.1, CARHR140390.1, 480185, 483652, 939108, 915021, 920473, CARHR016190.1, CARHR171040.1, CARHR252890.1, 943235, CARHR222930.1, 475132, 889976, 943233, 946605
cluster_159	AT5G53510.1, AT5G53520.1, AT5G64410.1, AT1G09930.1, AT4G16370.1, AT5G55930.1, AT4G10770.1, AT4G26590.1, AT4G27730.1	CARHR235450.1, CARHR255840.1, CARHR266650.1, CARHR266660.1, 334275, 938157, CARHR009980.1, CARHR278380.1, 355122, 489922, 495675, CARHR222740.1, CARHR255830.1, CARHR269300.1, CARHR234170.1, 331706, 492011, 492149, 496649, 916994
cluster_161	AT1G53830.1, AT3G14310.1, AT3G43270.1, AT2G43050.1, AT3G59010.1, AT2G45220.1, AT1G23200.1, AT1G53840.1, AT3G14300.1	CARHR089490.1, 912183, 923946, CARHR140450.1, CARHR169420.1, 478847, CARHR023650.1, 902555, CARHR089480.1, CARHR044150.1, CARHR044160.1, 483407, CARHR138120.1, 938912, CARHR044140.1, 930322, 930323, 913825, 314697, 318218, CARHR044170.1
cluster_164	AT2G32430.1, AT4G26940.1, AT1G22015.1, AT1G33430.2, AT1G05170.2, AT1G11730.1, AT1G32930.1, AT1G77810.1	CARHR012040.1, CARHR032260.1, CARHR126250.1, CARHR234540.1, CARHR004630.1, 472435, 476947, CARHR022360.1, 922987, CARHR032880.1, CARHR071310.1, 942467, 910932, 311603, 313884, 473475, 492104, 933809
cluster_168	AT3G23030.1, AT4G14560.1, AT1G04550.2, AT5G65670.1, AT2G22670.4, AT2G33310.2, AT4G28640.2, AT1G04240.1, AT5G43700.1	930309, 936765, 946923, 952206, CARHR098960.1, CARHR127310.1, CARHR220770.1, 496800, CARHR003890.1, 470436, CARHR279630.1, 952449, 482270, 494639, 491899, CARHR236420.1, CARHR179920.1, 919100, CARHR003570.1, 351649
cluster_174	AT4G37770.1, AT5G65800.1, AT4G26200.1, AT1G01480.1, AT3G49700.1, AT2G22810.1, AT3G61510.1, AT4G08040.1, AT4G11280.1	CARHR114120.1, CARHR158770.1, CARHR246160.1, CARHR259250.1, 492192, 918815, 327275, CARHR000890.1, 348080, CARHR233740.1, CARHR255310.1, CARHR279800.1, 327073, 332796, 343837, 490839, 899116
cluster_175	AT1G26850.1, AT4G18030.1, AT1G31850.1, AT4G00750.1, AT1G33170.1, AT2G45750.1, AT4G10440.1, AT4G19120.1	CARHR256210.1, CARHR032510.1, CARHR248920.1, 472714, 493067, CARHR025080.1, CARHR224800.1, 473372, 483713, CARHR031190.1, CARHR141000.1, CARHR226000.1, 327211, 473493, 490494, 946262
cluster_176	AT2G20550.1, AT2G20560.1, AT3G47940.1, AT3G08910.1, AT5G01390.1, AT1G10350.1, AT1G59725.1, AT4G28480.1, AT5G25530.1	CARHR010480.1, CARHR053430.1, CARHR083240.1, 894468, CARHR236250.1, 480885, CARHR111100.1, 480886, CARHR111110.1, CARHR156660.1, CARHR111090.1, CARHR211770.1, CARHR187850.1, 486937, 485157, 915087, 471147, 491921, 907514, 928542
cluster_18	AT4G14350.1, AT4G33080.1, AT3G23325.1, AT4G14342.1, AT4G08800.1, AT4G28540.1, AT4G28860.1, AT1G30640.1, AT4G28880.1, AT2G19470.1, AT2G19400.1, AT1G03930.1, AT5G09890.2, AT5G57015.1, AT1G04440.1, AT1G72710.1, AT3G23340.1, AT4G14340.1, AT4G26100.1, AT5G43320.1, AT5G44100.1, AT1G03920.1, AT2G20470.1, AT3G23310.1	CARHR003270.1, CARHR270760.1, CARHR003780.1, CARHR065630.1, CARHR109910.1, CARHR179170.1, CARHR180360.1, CARHR220540.1, CARHR233620.1, CARHR099290.1, CARHR241100.1, CARHR003260.1, 479847, CARHR099280.1, 493471, CARHR109850.1, CARHR111020.1, 491869, CARHR203450.1, 491871, CARHR220560.1, 945884, CARHR099310.1, CARHR236320.1, CARHR030120.1, CARHR236650.1, 476408, CARHR236660.1, 479849, 491910, 487812, 946957, 492204, 944626, 950376, 494586, 494671, 895008, 910061, 919122, 931448, 311482, 313702, 343256, 906859, 930357, 946955
cluster_182	AT1G67850.1, AT3G26440.1, AT2G28310.1, AT4G18530.1, AT3G27470.1, AT1G08040.1, AT1G13000.1, AT1G24570.1	CARHR007820.1, CARHR026520.1, CARHR060490.1, CARHR121230.1, CARHR147460.1, CARHR225380.1, 936504, CARHR013340.1, CARHR148850.1, 493006, 890334, 313424, 322779, 481676, 919540, 920165, 926055
cluster_186	AT3G53510.1, AT3G55090.1, AT3G55100.1, AT5G13580.1, AT3G55110.1, AT3G55130.1, AT2G37360.1, AT2G39350.1	CARHR132240.1, CARHR134140.1, CARHR163410.1, CARHR199860.1, 485932, CARHR151000.1, 938442, CARHR165120.1, CARHR165130.1, CARHR165160.1, CARHR165110.1, 482729, 482955, 485729, 485931, 488177, 938438
cluster_191	AT5G57390.1, AT4G37750.1, AT5G65510.1, AT5G17430.1, AT1G51190.1, AT1G72570.1, AT3G20840.1, AT5G10510.3	CARHR041230.1, CARHR065510.1, CARHR096710.1, CARHR195780.1, CARHR246140.1, CARHR279490.1, 495839, CARHR271190.1, 944068, CARHR202780.1, 918350, 316221, 893654, 923594, 930033, 940520
cluster_192	AT2G40280.1, AT1G19430.1, AT1G29470.1, AT2G34300.1, AT5G64030.1, AT4G00740.1, AT3G51070.1, AT3G56080.1	CARHR166150.1, 348691, 934830, 938559, 496597, CARHR135350.1, CARHR020010.1, CARHR028840.1, 473159, CARHR160650.1, 482372, CARHR277940.1, 485459, 490495, CARHR248910.1, 920897, CARHR128370.1
cluster_197	AT3G22830.1, AT4G17750.1, AT5G43840.1, AT3G02990.1, AT1G32330.1, AT5G16820.1, AT2G26150.1, AT5G03720.1, AT3G63350.1	356702, 477545, 479794, 493100, 473420, CARHR179600.1, 481471, CARHR031680.1, 488541, CARHR196340.1, CARHR224470.1, 927794, CARHR034610.1, CARHR209580.1, CARHR098690.1, 939759, CARHR077010.1, 349389, CARHR291620.1
cluster_20	AT4G22950.1, AT3G02310.1, AT3G58780.3, AT4G11880.1, AT4G09960.3, AT5G62165.1, AT4G18960.1, AT5G20240.1, AT5G60910.1, AT5G23260.2, AT3G30260.1, AT2G45660.1, AT1G24260.2, AT1G26310.1, AT1G69120.1, AT2G03710.1, AT2G45650.1, AT3G61120.1, AT5G15800.2, AT2G42830.2	492570, CARHR229990.1, 927709, CARHR275940.1, 488929, CARHR192590.1, CARHR137910.1, 489185, CARHR140870.1, CARHR169170.1, 896948, CARHR254430.1, CARHR190280.1, CARHR197530.1, 490004, CARHR225900.1, 935524, CARHR260930.1, CARHR140880.1, CARHR274590.1, CARHR153310.1, CARHR153320.1, CARHR275950.1, 921628, 472923, 476039, 483701, 486583, 896343, CARHR025610.1, CARHR026850.1, CARHR062020.1, CARHR076290.1, CARHR146030.1, 321962, 486333, 489841, 941068, 946287, 950843
cluster_200	AT5G03270.1, AT2G28305.1, AT2G35990.1, AT5G06300.1, AT2G37200.1, AT2G37210.2, AT3G53450.1, AT4G35190.1	CARHR132380.1, CARHR163350.1, CARHR210080.1, CARHR243510.1, CARHR121210.1, CARHR121220.1, 487440, 482570, CARHR130250.1, 934369, CARHR207040.1, CARHR132390.1, 348439, 481677, 482713, 892230, 944375, 949979
cluster_204	AT4G04340.2, AT4G15430.1, AT4G22120.1, AT1G32090.1, AT4G02900.1, AT1G11960.1, AT1G62320.1, AT3G21620.1	CARHR012310.1, CARHR049750.1, CARHR049780.1, CARHR097590.1, CARHR222180.1, CARHR228940.1, CARHR253100.1, CARHR031440.1, CARHR251280.1, CARHR228950.1, 352535, 473392, 312226, 338150, 342312, 492658, 493346, 943210
cluster_208	AT1G73590.1, AT1G77110.1, AT2G01420.2, AT5G57090.1, AT1G70940.1, AT1G23080.1, AT5G15100.1	476492, 484057, 908693, 927110, 950383, CARHR023460.1, CARHR064200.1, CARHR064210.1, CARHR066610.1, CARHR070590.1, CARHR143940.1, CARHR270850.1, CARHR143930.1, CARHR149440.1, CARHR158700.1, CARHR158720.1, 325967, 472559, CARHR198220.1
cluster_210	AT2G45430.1, AT3G60870.1, AT2G35270.1, AT4G17800.1, AT2G42940.1, AT4G22810.1, AT4G12050.1, AT3G04570.1	935500, CARHR171260.1, CARHR078750.1, 482492, CARHR140620.1, CARHR129430.1, CARHR224530.1, 483394, 486561, 490024, CARHR138000.1, 492588, 477713, 493093, CARHR229840.1, CARHR254180.1
cluster_213	AT3G52850.1, AT4G20110.2, AT2G30290.2, AT1G30900.1, AT2G14720.1, AT2G14740.1, AT2G34940.1	CARHR030390.1, CARHR129110.1, CARHR162720.1, CARHR226950.1, CARHR289400.1, CARHR123610.1, 480360, 481940, 938176, CARHR286430.1, CARHR286440.1, 313733, 321210, 492857, 906101, 931204
cluster_214	AT1G63500.1, AT4G00710.1, AT5G41260.1, AT5G46570.1, AT4G11845.1, AT1G01740.1, AT3G54030.1, AT5G59010.1	493852, 494321, 496029, 924606, CARHR285240.1, 485799, CARHR000580.1, 490499, CARHR047870.1, CARHR163930.1, CARHR213070.1, CARHR045060.1, CARHR248880.1, 946411, CARHR175010.1
cluster_22	AT3G28690.2, AT5G02290.1, AT3G01300.1, AT1G61590.1, AT3G28630.1, AT1G14370.1, AT2G05940.1, AT3G55450.2, AT2G26290.1, AT2G28930.1, AT5G56460.1, AT5G35580.1, AT5G15080.1, AT1G69790.1, AT1G07570.3, AT2G02800.1, AT2G39660.1, AT1G26970.1, AT1G74490.1, AT2G17220.1	CARHR007360.1, CARHR165470.1, CARHR134500.1, CARHR211080.1, CARHR293520.1, CARHR014810.1, CARHR024940.1, CARHR067770.1, CARHR062860.1, CARHR050790.1, CARHR115130.1, CARHR050800.1, 927644, CARHR145240.1, 485972, 940990, 481488, 475168, 481810, CARHR286670.1, 936652, 480605, 470784, 331952, CARHR103580.1, CARHR198240.1, 484637, CARHR270100.1, CARHR075730.1, CARHR286610.1, 355547, 476109, 930902, CARHR122100.1, CARHR217710.1, 471608, CARHR286640.1, 482986, 484186, 487008, 316389, 472702
cluster_222	AT1G14510.1, AT3G11200.1, AT5G05610.1, AT5G26210.1, AT3G42790.1, AT5G20510.1, AT2G02470.1	487363, 941601, 942208, CARHR014960.1, CARHR153750.1, CARHR192300.1, CARHR207660.1, CARHR085760.1, CARHR207630.1, 484769, CARHR187160.1, 935990, CARHR145010.1, 471625, 478459
cluster_223	AT3G18820.1, AT5G39620.1, AT4G09720.3, AT1G22740.1, AT2G21880.1, AT1G49300.1, AT1G52280.1, AT3G16100.1	CARHR042390.1, 923290, CARHR091260.1, 481052, CARHR112920.1, 912129, CARHR260650.1, CARHR094230.1, CARHR262670.1, CARHR133720.1, 891768, CARHR257550.1, CARHR023100.1, CARHR039290.1, 474344, 479064, 489823, 929771
cluster_231	AT1G52240.1, AT3G16120.1, AT5G19560.1, AT1G79860.1, AT3G16130.1, AT3G24620.1, AT4G13240.1	CARHR042370.1, CARHR074630.1, CARHR100930.1, CARHR218730.1, CARHR091290.1, CARHR193340.1, 337379, 479067, CARHR042380.1, CARHR091280.1, 474342, 479066, 319167, 359012, 477280, 488850
cluster_235	AT5G27030.2, AT5G08530.1, AT1G15750.1, AT1G80490.2, AT3G15880.2, AT3G16830.1	CARHR016240.1, CARHR074010.1, CARHR090990.1, CARHR092090.1, CARHR186480.1, CARHR290700.1, CARHR293220.1, 487692, CARHR216790.1, CARHR116110.1, CARHR204460.1, CARHR154630.1, 471773, 479043, 479149, 890655, 927456
cluster_238	AT3G61280.1, AT3G61290.1, AT3G48980.1, AT1G63420.1, AT2G45830.1, AT2G45840.1, AT3G61270.1, AT5G23850.1	CARHR047930.1, CARHR157790.1, CARHR171570.1, CARHR189710.1, CARHR141100.1, 483723, CARHR171590.1, CARHR171600.1, 899091, CARHR157780.1, 939170, 485256, CARHR171580.1, 475010, 483721, 486604, 941909
cluster_243	AT2G42500.1, AT3G58500.1, AT5G55260.1, AT4G26720.1, AT1G59830.1, AT1G10430.1, AT1G69960.1	CARHR010580.1, CARHR024760.1, CARHR024780.1, CARHR053260.1, 486299, CARHR063060.1, 495612, CARHR268620.1, 935133, 945389, CARHR137570.1, CARHR168900.1, CARHR234340.1, 475327, 476122, 919825
cluster_252	AT1G23870.1, AT1G60140.1, AT2G18700.1, AT1G06410.1, AT1G68020.2, AT1G70290.1, AT4G17770.1	CARHR224490.1, CARHR006020.1, CARHR060670.1, CARHR060690.1, CARHR109290.1, CARHR024270.1, CARHR063430.1, 921443, CARHR063420.1, 925042, CARHR052780.1, CARHR063410.1, 329750, 470660, 906729, 908375, 926342
cluster_26	AT3G12160.1, AT4G18800.1, AT1G28550.1, AT1G09630.1, AT3G07410.1, AT4G18430.1, AT1G05810.1, AT1G07410.1, AT1G16920.1, AT2G31680.1, AT2G33870.1, AT2G43130.1, AT3G15060.1, AT5G45750.1, AT1G06400.1, AT3G46830.1, AT5G47960.1, AT5G59150.1, AT5G60860.1	493018, CARHR125310.1, 485055, CARHR184770.1, 492979, CARHR225260.1, 912687, CARHR009600.1, CARHR086740.1, 919287, CARHR184300.1, CARHR155410.1, 887873, CARHR274540.1, 950651, CARHR176230.1, 928417, CARHR260840.1, CARHR285390.1, CARHR007150.1, CARHR028030.1, 919721, CARHR082050.1, 471894, 478935, 494409, 904110, 910431, 933714, CARHR005340.1, 950838, CARHR006010.1, CARHR017430.1, CARHR090020.1, CARHR128030.1, CARHR138200.1, CARHR225650.1, 494853, 901221, 919355, 935207
cluster_260	AT3G24715.1, AT3G46920.1, AT5G57610.1, AT2G35050.1, AT1G04700.1, AT1G16270.1, AT1G79570.1	CARHR016740.1, CARHR073230.1, CARHR101050.1, 482471, CARHR036710.1, CARHR004080.1, CARHR129220.1, CARHR155550.1, CARHR155560.1, CARHR271370.1, 319179, 470456, 471824, 477126, 485071, 495857
cluster_271	AT3G50750.1, AT4G18890.1, AT4G36780.1, AT1G78700.1, AT1G19350.3, AT1G75080.1	CARHR019940.1, CARHR068400.1, CARHR225770.1, CARHR245140.1, CARHR072230.1, 485421, CARHR160260.1, 927285, 492971, 472158, 476647, 944199
cluster_287	AT2G47650.2, AT3G62830.1, AT3G53520.4, AT2G28755.1, AT2G28760.2, AT3G46440.1, AT5G59290.2	CARHR121880.1, CARHR121890.1, CARHR154860.1, CARHR173100.1, CARHR285630.1, 483948, CARHR163420.1, CARHR163430.1, CARHR143050.1, 481790, 485016, 485730, 486786, 496056
