x,sigma_raw,sigma_smooth
   -0.086172,    0.049871,    0.044941,
   -0.082164,    0.057244,    0.044911,
   -0.078156,    0.054727,    0.044958,
   -0.074148,    0.043864,    0.045070,
   -0.070140,    0.040797,    0.045121,
   -0.066132,    0.041348,    0.045144,
   -0.062124,    0.042551,    0.045160,
   -0.058116,    0.042311,    0.045188,
   -0.054108,    0.044305,    0.045198,
   -0.050100,    0.043209,    0.045231,
   -0.046092,    0.096827,    0.044831,
   -0.042084,    0.042819,    0.045282,
   -0.038076,    0.055248,    0.045207,
   -0.034068,    0.037789,    0.045368,
   -0.030060,    0.050974,    0.045285,
   -0.026052,    0.047816,    0.045331,
   -0.022044,    0.039771,    0.045416,
   -0.018036,    0.041459,    0.045422,
   -0.014028,    0.043764,    0.045423,
   -0.010020,    0.039448,    0.045475,
   -0.006012,    0.043209,    0.045463,
   -0.002004,    0.037335,    0.045527,
    0.002004,    0.046628,    0.045468,
    0.006012,    0.043864,    0.045506,
    0.010020,    0.039898,    0.045552,
    0.014028,    0.039543,    0.045568,
    0.018036,    0.064866,    0.045379,
    0.022044,    0.081246,    0.045261,
    0.026052,    0.040771,    0.045594,
    0.030060,    0.041195,    0.045601,
    0.034068,    0.072569,    0.045362,
    0.038076,    0.037628,    0.045648,
    0.042084,    0.042332,    0.045619,
    0.046092,    0.039121,    0.045652,
    0.050100,    0.035563,    0.045687,
    0.054108,    0.060122,    0.045499,
    0.058116,    0.066856,    0.045451,
    0.062124,    0.039003,    0.045676,
    0.066132,    0.073439,    0.045408,
    0.070140,    0.033277,    0.045728,
    0.074148,    0.059709,    0.045523,
    0.078156,    0.043465,    0.045653,
    0.082164,    0.037668,    0.045700,
    0.086172,    0.036761,    0.045708,
    0.090180,    0.079520,    0.045375,
    0.094188,    0.052420,    0.045586,
    0.098196,    0.049790,    0.045607,
    0.102204,    0.038089,    0.045696,
    0.106212,    0.038739,    0.045690,
    0.110220,    0.033284,    0.045730,
    0.114228,    0.040168,    0.045675,
    0.118236,    0.039121,    0.045680,
    0.122244,    0.045865,    0.045626,
    0.126253,    0.036985,    0.045690,
    0.130261,    0.037352,    0.045683,
    0.134269,    0.039241,    0.045665,
    0.138277,    0.038742,    0.045665,
    0.142285,    0.037668,    0.045668,
    0.146293,    0.045488,    0.045605,
    0.150301,    0.046027,    0.045596,
    0.154309,    0.046336,    0.045588,
    0.158317,    0.039310,    0.045636,
    0.162325,    0.042277,    0.045608,
    0.166333,    0.035079,    0.045656,
    0.170341,    0.040614,    0.045609,
    0.174349,    0.037347,    0.045627,
    0.178357,    0.039980,    0.045602,
    0.182365,    0.057447,    0.045468,
    0.186373,    0.054620,    0.045483,
    0.190381,    0.055773,    0.045469,
    0.194389,    0.039803,    0.045578,
    0.198397,    0.052969,    0.045477,
    0.202405,    0.039073,    0.045570,
    0.206413,    0.038458,    0.045568,
    0.210421,    0.066493,    0.045363,
    0.214429,    0.065256,    0.045366,
    0.218437,    0.037775,    0.045554,
    0.222445,    0.036197,    0.045559,
    0.226453,    0.039330,    0.045531,
    0.230461,    0.046062,    0.045478,
    0.234469,    0.039923,    0.045515,
    0.238477,    0.043049,    0.045487,
    0.242485,    0.048272,    0.045446,
    0.246493,    0.043838,    0.045471,
    0.250501,    0.038685,    0.045501,
    0.254509,    0.060791,    0.045345,
    0.258517,    0.039991,    0.045481,
    0.262525,    0.043028,    0.045456,
    0.266533,    0.057528,    0.045354,
    0.270541,    0.041676,    0.045456,
    0.274549,    0.036693,    0.045485,
    0.278557,    0.038126,    0.045471,
    0.282565,    0.072885,    0.045237,
    0.286573,    0.066691,    0.045275,
    0.290581,    0.035310,    0.045478,
    0.294589,    0.048277,    0.045390,
    0.298597,    0.054414,    0.045347,
    0.302605,    0.036353,    0.045462,
    0.306613,    0.043734,    0.045412,
    0.310621,    0.037673,    0.045448,
    0.314629,    0.036157,    0.045456,
    0.318637,    0.036990,    0.045449,
    0.322645,    0.044013,    0.045403,
    0.326653,    0.036730,    0.045448,
    0.330661,    0.039470,    0.045430,
    0.334669,    0.036730,    0.045446,
    0.338677,    0.043692,    0.045403,
    0.342685,    0.039065,    0.045431,
    0.346693,    0.051842,    0.045353,
    0.350701,    0.052458,    0.045350,
    0.354709,    0.035310,    0.045456,
    0.358717,    0.032940,    0.045472,
    0.362725,    0.036258,    0.045453,
    0.366733,    0.034963,    0.045462,
    0.370741,    0.064151,    0.045288,
    0.374749,    0.039044,    0.045442,
    0.378758,    0.086952,    0.045157,
    0.382766,    0.042875,    0.045424,
    0.386774,    0.039832,    0.045446,
    0.390782,    0.044329,    0.045422,
    0.394790,    0.091225,    0.045149,
    0.398798,    0.042366,    0.045442,
    0.402806,    0.042075,    0.045448,
    0.406814,    0.037692,    0.045478,
    0.410822,    0.037010,    0.045487,
    0.414830,    0.057402,    0.045373,
    0.418838,    0.037306,    0.045495,
    0.422846,    0.067685,    0.045325,
    0.426854,    0.038297,    0.045500,
    0.430862,    0.035566,    0.045522,
    0.434870,    0.038557,    0.045511,
    0.438878,    0.043774,    0.045487,
    0.442886,    0.039825,    0.045516,
    0.446894,    0.070607,    0.045348,
    0.450902,    0.073353,    0.045340,
    0.454910,    0.039275,    0.045540,
    0.458918,    0.037303,    0.045559,
    0.462926,    0.045922,    0.045518,
    0.466934,    0.048699,    0.045510,
    0.470942,    0.037161,    0.045582,
    0.474950,    0.036946,    0.045591,
    0.478958,    0.044156,    0.045559,
    0.482966,    0.039561,    0.045593,
    0.486974,    0.045030,    0.045571,
    0.490982,    0.043485,    0.045588,
    0.494990,    0.035416,    0.045641,
    0.498998,    0.043649,    0.045605,
    0.503006,    0.035419,    0.045659,
    0.507014,    0.043759,    0.045622,
    0.511022,    0.037547,    0.045665,
    0.515030,    0.038564,    0.045669,
    0.519038,    0.049497,    0.045618,
    0.523046,    0.039527,    0.045682,
    0.527054,    0.037344,    0.045704,
    0.531062,    0.032962,    0.045737,
    0.535070,    0.035665,    0.045732,
    0.539078,    0.039295,    0.045722,
    0.543086,    0.033580,    0.045762,
    0.547094,    0.043306,    0.045719,
    0.551102,    0.068595,    0.045592,
    0.555110,    0.034302,    0.045788,
    0.559118,    0.032278,    0.045809,
    0.563126,    0.054509,    0.045698,
    0.567134,    0.120036,    0.045354,
    0.571142,    0.038385,    0.045806,
    0.575150,    0.044690,    0.045782,
    0.579158,    0.035570,    0.045841,
    0.583166,    0.035665,    0.045851,
    0.587174,    0.033776,    0.045871,
    0.591182,    0.034639,    0.045877,
    0.595190,    0.036697,    0.045876,
    0.599198,    0.044712,    0.045842,
    0.603206,    0.051593,    0.045815,
    0.607214,    0.041458,    0.045880,
    0.611222,    0.042884,    0.045883,
    0.615230,    0.034398,    0.045939,
    0.619238,    0.036233,    0.045939,
    0.623246,    0.040517,    0.045926,
    0.627255,    0.039644,    0.045941,
    0.631263,    0.034152,    0.045981,
    0.635271,    0.035068,    0.045987,
    0.639279,    0.036960,    0.045987,
    0.643287,    0.060859,    0.045867,
    0.647295,    0.059640,    0.045883,
    0.651303,    0.036526,    0.046020,
    0.655311,    0.056588,    0.045920,
    0.659319,    0.053616,    0.045946,
    0.663327,    0.045573,    0.046000,
    0.667335,    0.043453,    0.046022,
    0.671343,    0.097552,    0.045735,
    0.675351,    0.068784,    0.045903,
    0.679359,    0.035363,    0.046097,
    0.683367,    0.040168,    0.046080,
    0.687375,    0.035064,    0.046119,
    0.691383,    0.043040,    0.046085,
    0.695391,    0.033575,    0.046147,
    0.699399,    0.062571,    0.045996,
    0.703407,    0.048653,    0.046083,
    0.707415,    0.040929,    0.046136,
    0.711423,    0.045166,    0.046122,
    0.715431,    0.037353,    0.046176,
    0.719439,    0.044794,    0.046144,
    0.723447,    0.039963,    0.046181,
    0.727455,    0.039802,    0.046192,
    0.731463,    0.036949,    0.046218,
    0.735471,    0.037686,    0.046223,
    0.739479,    0.037568,    0.046234,
    0.743487,    0.035239,    0.046257,
    0.747495,    0.050391,    0.046180,
    0.751503,    0.041327,    0.046241,
    0.755511,    0.041566,    0.046250,
    0.759519,    0.038980,    0.046274,
    0.763527,    0.041902,    0.046267,
    0.767535,    0.041392,    0.046280,
    0.771543,    0.050752,    0.046235,
    0.775551,    0.043081,    0.046289,
    0.779559,    0.060068,    0.046199,
    0.783567,    0.048344,    0.046277,
    0.787575,    0.066100,    0.046182,
    0.791583,    0.046239,    0.046308,
    0.795591,    0.042360,    0.046341,
    0.799599,    0.043302,    0.046345,
    0.803607,    0.054516,    0.046287,
    0.807615,    0.049137,    0.046329,
    0.811623,    0.060796,    0.046268,
    0.815631,    0.039274,    0.046407,
    0.819639,    0.042660,    0.046396,
    0.823647,    0.063441,    0.046278,
    0.827655,    0.040238,    0.046430,
    0.831663,    0.057612,    0.046332,
    0.835671,    0.085704,    0.046167,
    0.839679,    0.041290,    0.046452,
    0.843687,    0.040238,    0.046468,
    0.847695,    0.036744,    0.046500,
    0.851703,    0.037842,    0.046503,
    0.855711,    0.037842,    0.046512,
    0.859719,    0.035056,    0.046540,
    0.863727,    0.036024,    0.046543,
    0.867735,    0.043076,    0.046508,
    0.871743,    0.036791,    0.046558,
    0.875752,    0.037999,    0.046560,
    0.879760,    0.037104,    0.046576,
    0.883768,    0.045665,    0.046529,
    0.887776,    0.041022,    0.046569,
    0.891784,    0.058705,    0.046462,
    0.895792,    0.044107,    0.046568,
    0.899800,    0.049753,    0.046540,
    0.903808,    0.041177,    0.046608,
    0.907816,    0.036846,    0.046647,
    0.911824,    0.039640,    0.046638,
    0.915832,    0.054079,    0.046549,
    0.919840,    0.081620,    0.046368,
    0.923848,    0.059587,    0.046529,
    0.927856,    0.047646,    0.046622,
    0.931864,    0.041998,    0.046672,
    0.935872,    0.046134,    0.046653,
    0.939880,    0.065394,    0.046525,
    0.943888,    0.045014,    0.046681,
    0.947896,    0.072507,    0.046492,
    0.951904,    0.069978,    0.046520,
    0.955912,    0.041450,    0.046738,
    0.959920,    0.043915,    0.046730,
    0.963928,    0.046849,    0.046719,
    0.967936,    0.052311,    0.046689,
    0.971944,    0.052979,    0.046694,
    0.975952,    0.054535,    0.046692,
    0.979960,    0.057810,    0.046677,
    0.983968,    0.054406,    0.046714,
    0.987976,    0.054337,    0.046725,
    0.991984,    0.060794,    0.046685,
    0.995992,    0.052145,    0.046763,
    1.000000,    0.055611,    0.046746,
