x_orig,y_orig,x_loess,y_loess,x_anwil,y_anwil,x_iter,y_iter,x_nw,y_nw,y_nw_knn,x_manle,y_manle,svd_x,svd_y,x_amanle,y_amanle
   -0.923848,    0.594062,   -0.923848,    0.578256,   -0.917132,    0.589735,   -0.891773,    0.593069,   -0.923848,    0.620854,    0.571588,   -0.954896,   -0.183304,   -0.928836,   -0.090110,   -0.940987,   -0.167186,
   -0.919840,    0.541689,   -0.919840,    0.580671,   -0.914553,    0.564986,   -0.894503,    0.586097,   -0.919840,    0.622508,    0.576439,   -0.955083,   -0.181011,   -0.929899,   -0.090213,   -0.939836,   -0.153452,
   -0.915832,    0.566161,   -0.915832,    0.583073,   -0.918456,    0.574278,   -0.894031,    0.588542,   -0.915832,    0.623105,    0.578919,   -0.955201,   -0.182013,   -0.923576,   -0.089600,   -0.941693,   -0.157565,
   -0.911824,    0.545266,   -0.911824,    0.585464,   -0.904227,    0.563261,   -0.890608,    0.587383,   -0.911824,    0.624331,    0.582990,   -0.955360,   -0.181067,   -0.921614,   -0.089410,   -0.939283,   -0.154411,
   -0.907816,    0.641905,   -0.907816,    0.587842,   -0.904130,    0.622526,   -0.878700,    0.606678,   -0.907816,    0.623993,    0.580510,   -0.955418,   -0.185203,   -0.908355,   -0.088123,   -0.937910,   -0.167208,
   -0.903808,    0.669489,   -0.903808,    0.590208,   -0.892030,    0.633882,   -0.868457,    0.614244,   -0.903808,    0.624603,    0.582989,   -0.843538,   -0.137079,   -0.901734,   -0.087481,   -0.936731,   -0.164902,
   -0.899800,    0.605117,   -0.899800,    0.592561,   -0.899111,    0.602147,   -0.881751,    0.600456,   -0.899800,    0.626433,    0.588964,   -0.843691,   -0.134834,   -0.903950,   -0.087696,   -0.871875,   -0.151378,
   -0.895792,    0.557872,   -0.895792,    0.594901,   -0.897729,    0.563804,   -0.887693,    0.588847,   -0.895792,    0.628034,    0.594881,   -0.843835,   -0.133184,   -0.904520,   -0.087751,   -0.873397,   -0.139730,
   -0.891784,    0.584241,   -0.891784,    0.597228,   -0.889517,    0.590828,   -0.879612,    0.598634,   -0.891784,    0.628690,    0.594433,   -0.843933,   -0.134095,   -0.898015,   -0.087120,   -0.873042,   -0.145898,
   -0.887776,    0.591633,   -0.887776,    0.599542,   -0.888863,    0.592027,   -0.879037,    0.599261,   -0.887776,    0.629603,    0.595938,   -0.844037,   -0.134344,   -0.893334,   -0.086666,   -0.873575,   -0.147873,
   -0.883768,    0.528373,   -0.883768,    0.601842,   -0.893059,    0.559327,   -0.885430,    0.588353,   -0.883768,    0.631417,    0.602368,   -0.844192,   -0.132143,   -0.895443,   -0.086871,   -0.875630,   -0.138442,
   -0.879760,    0.641371,   -0.879760,    0.604128,   -0.878919,    0.632560,   -0.862840,    0.616058,   -0.879760,    0.631030,    0.597541,   -0.844217,   -0.136045,   -0.880612,   -0.085432,   -0.876329,   -0.156413,
   -0.875752,    0.634336,   -0.875752,    0.606401,   -0.873372,    0.628626,   -0.861006,    0.615716,   -0.875752,    0.632162,    0.596860,   -0.844329,   -0.135793,   -0.877318,   -0.085112,   -0.876969,   -0.156680,
   -0.871743,    0.723229,   -0.871743,    0.608660,   -0.843636,    0.669332,   -0.826109,    0.641354,   -0.871743,    0.632126,    0.591533,   -0.844369,   -0.138845,   -0.864804,   -0.083898,   -0.876593,   -0.147977,
   -0.867735,    0.702869,   -0.867735,    0.610907,   -0.853103,    0.655392,   -0.837113,    0.633290,   -0.867735,    0.633448,    0.594639,   -0.844491,   -0.138135,   -0.862790,   -0.083703,   -0.876600,   -0.148841,
   -0.863727,    0.550020,   -0.863727,    0.613142,   -0.875129,    0.568230,   -0.876159,    0.594505,   -0.863727,    0.636375,    0.602972,   -0.844716,   -0.132860,   -0.873509,   -0.084743,   -0.877863,   -0.137094,
   -0.859719,    0.672918,   -0.859719,    0.615365,   -0.849260,    0.650067,   -0.836821,    0.631795,   -0.859719,    0.635982,    0.595020,   -0.844728,   -0.137085,   -0.857727,   -0.083212,   -0.876728,   -0.151008,
   -0.855711,    0.533623,   -0.855711,    0.617576,   -0.871269,    0.566894,   -0.873361,    0.595159,   -0.855711,    0.638739,    0.601610,   -0.844942,   -0.132280,   -0.867144,   -0.084125,   -0.876855,   -0.137253,
   -0.851703,    0.667766,   -0.851703,    0.619774,   -0.838863,    0.645165,   -0.832085,    0.632704,   -0.851703,    0.638255,    0.593681,   -0.844944,   -0.136891,   -0.850281,   -0.082489,   -0.876138,   -0.149193,
   -0.847695,    0.573140,   -0.847695,    0.621959,   -0.861675,    0.582300,   -0.865825,    0.602283,   -0.847695,    0.640488,    0.599212,   -0.845125,   -0.133625,   -0.855405,   -0.082986,   -0.879525,   -0.140167,
   -0.843687,    0.534973,   -0.843687,    0.624132,   -0.865717,    0.571681,   -0.869426,    0.597869,   -0.843687,    0.642059,    0.600303,   -0.845262,   -0.132303,   -0.855102,   -0.082957,   -0.875925,   -0.136415,
   -0.839679,    0.641586,   -0.839679,    0.626291,   -0.838237,    0.632833,   -0.835304,    0.627836,   -0.839679,    0.641958,    0.593521,   -0.845285,   -0.135965,   -0.840885,   -0.081578,   -0.877931,   -0.148965,
   -0.835671,    0.407553,   -0.835671,    0.628437,   -0.891004,    0.520282,   -0.885010,    0.580953,   -0.835671,    0.645807,    0.606952,   -0.845574,   -0.127899,   -0.859407,   -0.083375,   -0.873198,   -0.139898,
   -0.831663,    0.483763,   -0.831663,    0.630569,   -0.873131,    0.546957,   -0.875457,    0.589529,   -0.831663,    0.646084,    0.603729,   -0.845621,   -0.130515,   -0.848112,   -0.082279,   -0.871570,   -0.135076,
   -0.827655,    0.611950,   -0.827655,    0.632688,   -0.837692,    0.616447,   -0.839844,    0.621880,   -0.827655,    0.645790,    0.598778,   -0.845628,   -0.134919,   -0.831822,   -0.080698,   -0.875366,   -0.138094,
   -0.823647,    0.635038,   -0.823647,    0.634793,   -0.827416,    0.639380,   -0.824867,    0.633720,   -0.823647,    0.646714,    0.600436,   -0.845719,   -0.135708,   -0.825632,   -0.080098,   -0.867382,   -0.129112,
   -0.819639,    0.601178,   -0.819639,    0.636884,   -0.833597,    0.608947,   -0.839110,    0.620303,   -0.819639,    0.648294,    0.607155,   -0.845852,   -0.134532,   -0.824916,   -0.080029,   -0.787098,   -0.084605,
   -0.815631,    0.506635,   -0.815631,    0.638960,   -0.857976,    0.559755,   -0.865191,    0.596596,   -0.815631,    0.650563,    0.616107,   -0.846030,   -0.131264,   -0.830031,   -0.080525,   -0.773190,   -0.071075,
   -0.811623,    0.569811,   -0.811623,    0.641022,   -0.834374,    0.591013,   -0.843460,    0.613344,   -0.811623,    0.651071,    0.617677,   -0.846091,   -0.133432,   -0.819989,   -0.079551,   -0.768950,   -0.065765,
   -0.807615,    0.668777,   -0.807615,    0.643072,   -0.800160,    0.662170,   -0.795496,    0.650976,   -0.807615,    0.651200,    0.616069,   -0.846125,   -0.136848,   -0.806507,   -0.078243,   -0.760704,   -0.061388,
   -0.803607,    0.686248,   -0.803607,    0.645112,   -0.799445,    0.672783,   -0.791470,    0.655736,   -0.803607,    0.652251,    0.621234,   -0.846220,   -0.137450,   -0.800857,   -0.077694,   -0.760598,   -0.063407,
   -0.799599,    0.640618,   -0.799599,    0.647140,   -0.798363,    0.643512,   -0.799438,    0.644301,   -0.799599,    0.654011,    0.630453,   -0.846363,   -0.135858,   -0.801272,   -0.077735,   -0.756663,   -0.051380,
   -0.795591,    0.736659,   -0.795591,    0.649158,   -0.773086,    0.701885,   -0.761286,    0.674616,   -0.795591,    0.654221,    0.631143,   -0.724167,   -0.040644,   -0.788071,   -0.076454,   -0.763522,   -0.066874,
   -0.791583,    0.678087,   -0.791583,    0.651164,   -0.791035,    0.669920,   -0.785019,    0.656978,   -0.791583,    0.656143,    0.642689,   -0.846576,   -0.137155,   -0.789729,   -0.076615,   -0.754622,   -0.054400,
   -0.787575,    0.588668,   -0.787575,    0.653158,   -0.805455,    0.614076,   -0.813422,    0.630597,   -0.787575,    0.658408,    0.653972,   -0.846741,   -0.134032,   -0.794353,   -0.077063,   -0.758165,   -0.050161,
   -0.783567,    0.628180,   -0.783567,    0.655140,   -0.785952,    0.641951,   -0.788187,    0.647376,   -0.783567,    0.659274,    0.658494,   -0.724580,   -0.036818,   -0.786585,   -0.076310,   -0.754645,   -0.044914,
   -0.779559,    0.540532,   -0.779559,    0.657109,   -0.804694,    0.588488,   -0.818292,    0.620844,   -0.779559,    0.661534,    0.671409,   -0.847000,   -0.132340,   -0.791038,   -0.076742,   -0.759044,   -0.052699,
   -0.775551,    0.646238,   -0.775551,    0.659064,   -0.776089,    0.655810,   -0.775593,    0.655722,   -0.775551,    0.661706,    0.672356,   -0.724761,   -0.037472,   -0.776908,   -0.075371,   -0.753462,   -0.042039,
   -0.771543,    0.745970,   -0.771543,    0.661007,   -0.759114,    0.708215,   -0.747223,    0.680515,   -0.771543,    0.661958,    0.674080,   -0.724763,   -0.040970,   -0.763352,   -0.074056,   -0.758630,   -0.062696,
   -0.767535,    0.713925,   -0.767535,    0.662935,   -0.750811,    0.699576,   -0.742552,    0.679645,   -0.767535,    0.663646,    0.680715,   -0.724895,   -0.039853,   -0.762461,   -0.073970,   -0.756789,   -0.061609,
   -0.763527,    0.773349,   -0.763527,    0.664849,   -0.739004,    0.731343,   -0.725172,    0.694222,   -0.763527,    0.664357,    0.681802,   -0.724940,   -0.041925,   -0.752779,   -0.073030,   -0.759647,   -0.060173,
   -0.759519,    0.639030,   -0.759519,    0.666749,   -0.763561,    0.651273,   -0.765792,    0.657027,   -0.759519,    0.667161,    0.694948,   -0.725168,   -0.037242,   -0.761718,   -0.073897,   -0.755341,   -0.038999,
   -0.755511,    0.773007,   -0.755511,    0.668633,   -0.732693,    0.731142,   -0.719729,    0.695799,   -0.755511,    0.667094,    0.691654,   -0.725142,   -0.041914,   -0.744871,   -0.072263,   -0.759852,   -0.060023,
   -0.751503,    0.651900,   -0.751503,    0.670502,   -0.758479,    0.662730,   -0.757948,    0.662844,   -0.751503,    0.669770,    0.701922,   -0.725356,   -0.037701,   -0.752540,   -0.073007,   -0.757231,   -0.039513,
   -0.747495,    0.787122,   -0.747495,    0.672381,   -0.721535,    0.737665,   -0.708976,    0.701130,   -0.747495,    0.669711,    0.696372,   -0.725335,   -0.042406,   -0.735573,   -0.071361,   -0.759861,   -0.058120,
   -0.743487,    0.669664,   -0.743487,    0.674291,   -0.736296,    0.671655,   -0.736465,    0.671476,   -0.743487,    0.672363,    0.703980,   -0.725542,   -0.038327,   -0.742891,   -0.072071,   -0.761405,   -0.044762,
   -0.739479,    0.729994,   -0.739479,    0.676227,   -0.729946,    0.709372,   -0.721929,    0.687887,   -0.739479,    0.673123,    0.701736,   -0.725589,   -0.040426,   -0.733122,   -0.071123,   -0.761880,   -0.061621,
   -0.735471,    0.793415,   -0.735471,    0.678182,   -0.712067,    0.744787,   -0.698891,    0.705950,   -0.735471,    0.673859,    0.698319,   -0.725637,   -0.042630,   -0.723056,   -0.070147,   -0.758778,   -0.055983,
   -0.731463,    0.661908,   -0.731463,    0.680148,   -0.735189,    0.671444,   -0.735220,    0.671592,   -0.731463,    0.676682,    0.706282,   -0.725854,   -0.038067,   -0.731725,   -0.070988,   -0.758584,   -0.041830,
   -0.727455,    0.696816,   -0.727455,    0.682120,   -0.731854,    0.690673,   -0.727251,    0.679909,   -0.727455,    0.677737,    0.703856,   -0.725927,   -0.039282,   -0.724399,   -0.070277,   -0.762246,   -0.053443,
   -0.723447,    0.784403,   -0.723447,    0.684091,   -0.711248,    0.744078,   -0.698113,    0.705773,   -0.723447,    0.678237,    0.699176,   -0.725936,   -0.042328,   -0.712010,   -0.069075,   -0.758748,   -0.055678,
   -0.719439,    0.672589,   -0.719439,    0.686055,   -0.718689,    0.673318,   -0.720331,    0.675417,   -0.719439,    0.680870,    0.705892,   -0.726147,   -0.038446,   -0.718786,   -0.069732,   -0.761080,   -0.047117,
   -0.715431,    0.579479,   -0.715431,    0.688005,   -0.731120,    0.626048,   -0.742865,    0.654763,   -0.715431,    0.683309,    0.711086,   -0.726338,   -0.035216,   -0.723764,   -0.070215,   -0.754058,   -0.046301,
   -0.711423,    0.858500,   -0.711423,    0.689934,   -0.675503,    0.777850,   -0.657938,    0.729689,   -0.711423,    0.681787,    0.692603,   -0.726165,   -0.044928,   -0.692977,   -0.067229,   -0.753908,   -0.050174,
   -0.707415,    0.651372,   -0.707415,    0.691836,   -0.705049,    0.664374,   -0.710264,    0.675066,   -0.707415,    0.685453,    0.702875,   -0.726464,   -0.037717,   -0.708913,   -0.068775,   -0.753989,   -0.043380,
   -0.703407,    0.703535,   -0.703407,    0.693705,   -0.706437,    0.696322,   -0.704453,    0.686878,   -0.703407,    0.686360,    0.698161,   -0.726511,   -0.039533,   -0.699929,   -0.067903,   -0.670418,   -0.052605,
   -0.699399,    0.785183,   -0.699399,    0.695533,   -0.693404,    0.753116,   -0.679679,    0.713898,   -0.699399,    0.686955,    0.692895,   -0.726539,   -0.042385,   -0.688112,   -0.066757,   -0.674531,   -0.052707,
   -0.695391,    0.645877,   -0.695391,    0.697315,   -0.688094,    0.659923,   -0.696499,    0.676532,   -0.695391,    0.689914,    0.700276,   -0.726768,   -0.037531,   -0.697530,   -0.067670,   -0.670126,   -0.043641,
   -0.691383,    0.615768,   -0.691383,    0.699044,   -0.687173,    0.649587,   -0.697642,    0.672723,   -0.691383,    0.691711,    0.701793,   -0.726898,   -0.036485,   -0.696453,   -0.067566,   -0.670792,   -0.044113,
   -0.687375,    0.718524,   -0.687375,    0.700713,   -0.695539,    0.709901,   -0.691638,    0.694140,   -0.687375,    0.692089,    0.695608,   -0.726894,   -0.040070,   -0.682606,   -0.066222,   -0.669472,   -0.054886,
   -0.683367,    0.556592,   -0.683367,    0.702323,   -0.702679,    0.624491,   -0.717657,    0.659478,   -0.683367,    0.695306,    0.704579,   -0.727156,   -0.034428,   -0.694199,   -0.067347,   -0.671975,   -0.048051,
   -0.679359,    0.678806,   -0.679359,    0.703881,   -0.679976,    0.677430,   -0.685226,    0.684652,   -0.679359,    0.695478,    0.696867,   -0.727138,   -0.038686,   -0.678482,   -0.065822,   -0.670405,   -0.047291,
   -0.675351,    0.723229,   -0.675351,    0.705393,   -0.689348,    0.712350,   -0.685180,    0.696504,   -0.675351,    0.696484,    0.695866,   -0.727175,   -0.040251,   -0.670242,   -0.065023,   -0.671801,   -0.056245,
   -0.671343,    0.683804,   -0.671343,    0.706863,   -0.673513,    0.680295,   -0.678706,    0.687168,   -0.671343,    0.698393,    0.698493,   -0.727314,   -0.038867,   -0.670061,   -0.065005,   -0.673085,   -0.049222,
   -0.667335,    0.583684,   -0.667335,    0.708298,   -0.684202,    0.639208,   -0.696888,    0.669364,   -0.667335,    0.700959,    0.705680,   -0.727535,   -0.035361,   -0.675712,   -0.065554,   -0.671745,   -0.046484,
   -0.663327,    0.836442,   -0.663327,    0.709702,   -0.650278,    0.784242,   -0.633486,    0.738127,   -0.663327,    0.699715,    0.690811,   -0.646803,   -0.039112,   -0.647449,   -0.062812,   -0.671181,   -0.049658,
   -0.659319,    0.718925,   -0.659319,    0.711081,   -0.657579,    0.699226,   -0.660905,    0.698109,   -0.659319,    0.702470,    0.699860,   -0.644848,   -0.015004,   -0.654773,   -0.063522,   -0.660060,   -0.053730,
   -0.655311,    0.826855,   -0.655311,    0.712439,   -0.645782,    0.782348,   -0.629943,    0.738279,   -0.655311,    0.702783,    0.694281,   -0.626957,   -0.034344,   -0.640429,   -0.062131,   -0.659754,   -0.048254,
   -0.651303,    0.693267,   -0.651303,    0.713783,   -0.656137,    0.692886,   -0.660383,    0.695724,   -0.651303,    0.705715,    0.704309,   -0.648644,   -0.008254,   -0.649298,   -0.062991,   -0.659862,   -0.048045,
   -0.647295,    0.645363,   -0.647295,    0.715117,   -0.652791,    0.659299,   -0.665101,    0.682816,   -0.647295,    0.707718,    0.708069,   -0.649132,    0.001370,   -0.649931,   -0.063053,   -0.654872,   -0.038827,
   -0.643287,    0.738980,   -0.643287,    0.716446,   -0.643691,    0.731807,   -0.641634,    0.715187,   -0.643287,    0.708176,    0.704767,   -0.608544,   -0.022275,   -0.636963,   -0.061794,   -0.659935,   -0.052495,
   -0.639279,    0.701851,   -0.639279,    0.717776,   -0.643716,    0.694226,   -0.648652,    0.699171,   -0.639279,    0.710057,    0.708473,   -0.608879,   -0.020099,   -0.636561,   -0.061755,   -0.661827,   -0.049208,
   -0.635271,    0.626548,   -0.635271,    0.719112,   -0.645782,    0.656134,   -0.659067,    0.682920,   -0.635271,    0.712356,    0.712612,   -0.629839,   -0.011640,   -0.639828,   -0.062072,   -0.655502,   -0.040351,
   -0.631263,    0.839994,   -0.631263,    0.720459,   -0.620001,    0.793947,   -0.603524,    0.748963,   -0.631263,    0.711478,    0.701105,   -0.608123,   -0.027603,   -0.615343,   -0.059697,   -0.657361,   -0.047214,
   -0.627255,    0.674259,   -0.627255,    0.721823,   -0.639914,    0.674288,   -0.649555,    0.691542,   -0.627255,    0.714767,    0.712733,   -0.608829,   -0.018066,   -0.627301,   -0.060857,   -0.658275,   -0.042588,
   -0.623246,    0.578435,   -0.623246,    0.723132,   -0.636844,    0.642963,   -0.652917,    0.680167,   -0.623246,    0.717287,    0.718743,   -0.609950,   -0.012736,   -0.632540,   -0.061365,   -0.651784,   -0.043571,
   -0.619238,    0.833513,   -0.619238,    0.724323,   -0.599841,    0.794411,   -0.585123,    0.753886,   -0.619238,    0.715917,    0.705778,   -0.610260,   -0.028106,   -0.604054,   -0.058602,   -0.652770,   -0.045874,
   -0.615230,    0.688506,   -0.615230,    0.725410,   -0.623258,    0.687636,   -0.630801,    0.700938,   -0.615230,    0.718975,    0.715986,   -0.609347,   -0.018808,   -0.614020,   -0.059569,   -0.587449,   -0.017979,
   -0.611222,    0.681801,   -0.611222,    0.726411,   -0.622981,    0.687122,   -0.630578,    0.700700,   -0.611222,    0.720493,    0.718253,   -0.609382,   -0.018304,   -0.610693,   -0.059246,   -0.583409,   -0.007320,
   -0.607214,    0.590761,   -0.607214,    0.727339,   -0.624524,    0.644237,   -0.640804,    0.683534,   -0.607214,    0.722950,    0.724356,   -0.609516,   -0.012873,   -0.615473,   -0.059710,   -0.589909,   -0.019859,
   -0.603206,    0.872819,   -0.603206,    0.728210,   -0.576545,    0.812612,   -0.560261,    0.765817,   -0.603206,    0.721220,    0.711774,   -0.605777,   -0.027255,   -0.584393,   -0.056694,   -0.631933,   -0.039323,
   -0.599198,    0.631924,   -0.599198,    0.729041,   -0.616651,    0.655559,   -0.631517,    0.689648,   -0.599198,    0.725349,    0.728121,   -0.611576,   -0.016022,   -0.603575,   -0.058555,   -0.574603,    0.016331,
   -0.595190,    0.741284,   -0.595190,    0.729846,   -0.589938,    0.742172,   -0.587412,    0.732963,   -0.595190,    0.725534,    0.724059,   -0.606378,   -0.019322,   -0.589094,   -0.057150,   -0.585431,   -0.020026,
   -0.591182,    0.811131,   -0.591182,    0.730641,   -0.578561,    0.789206,   -0.567189,    0.756018,   -0.591182,    0.726152,    0.724882,   -0.605541,   -0.022956,   -0.578410,   -0.056114,   -0.589255,   -0.024571,
   -0.587174,    0.773360,   -0.587174,    0.731440,   -0.580091,    0.769272,   -0.572162,    0.747428,   -0.587174,    0.727979,    0.730631,   -0.605855,   -0.020628,   -0.578070,   -0.056081,   -0.590314,   -0.029990,
   -0.583166,    0.736338,   -0.583166,    0.732261,   -0.581158,    0.736788,   -0.579694,    0.732555,   -0.583166,    0.729792,    0.736246,   -0.606181,   -0.018367,   -0.577657,   -0.056041,   -0.574221,    0.011139,
   -0.579158,    0.606453,   -0.579158,    0.733118,   -0.610669,    0.648758,   -0.626081,    0.688647,   -0.579158,    0.732662,    0.746494,   -0.607865,   -0.011582,   -0.586170,   -0.056867,   -0.569192,    0.027051,
   -0.575150,    0.679271,   -0.575150,    0.734026,   -0.585177,    0.691804,   -0.593139,    0.711585,   -0.575150,    0.733209,    0.746701,   -0.607121,   -0.015174,   -0.575201,   -0.055803,   -0.565166,    0.036850,
   -0.571142,    0.760524,   -0.571142,    0.735002,   -0.562996,    0.759210,   -0.557723,    0.746373,   -0.571142,    0.733644,    0.744686,   -0.594790,   -0.014096,   -0.563421,   -0.054660,   -0.572512,    0.019542,
   -0.567134,    0.683963,   -0.567134,    0.736060,   -0.577764,    0.693607,   -0.585338,    0.714223,   -0.567134,    0.735887,    0.753328,   -0.600282,   -0.007709,   -0.566808,   -0.054988,   -0.564522,    0.039072,
   -0.563126,    0.764632,   -0.563126,    0.737216,   -0.551639,    0.764863,   -0.545596,    0.751368,   -0.563126,    0.736305,    0.752815,   -0.545736,    0.014901,   -0.555085,   -0.053851,   -0.567142,    0.029688,
   -0.559118,    0.804315,   -0.559118,    0.738441,   -0.547566,    0.791038,   -0.535867,    0.763795,   -0.559118,    0.737185,    0.751184,   -0.546527,    0.008845,   -0.547300,   -0.053096,   -0.569062,    0.018725,
   -0.555110,    0.828177,   -0.555110,    0.739695,   -0.545341,    0.805378,   -0.531820,    0.768842,   -0.555110,    0.738237,    0.752768,   -0.547304,    0.005137,   -0.541036,   -0.052488,   -0.568881,    0.020530,
   -0.551102,    0.654470,   -0.551102,    0.740973,   -0.561182,    0.679485,   -0.572444,    0.712465,   -0.551102,    0.741593,    0.766323,   -0.547720,    0.033240,   -0.553760,   -0.053723,   -0.565028,    0.036100,
   -0.547094,    0.929672,   -0.547094,    0.742270,   -0.524551,    0.841813,   -0.505992,    0.784729,   -0.547094,    0.739676,    0.752528,   -0.483954,    0.017592,   -0.523340,   -0.050771,   -0.566046,    0.030726,
   -0.543086,    0.816702,   -0.543086,    0.743581,   -0.536864,    0.795216,   -0.524804,    0.766960,   -0.543086,    0.742308,    0.759275,   -0.548973,    0.005290,   -0.530227,   -0.051440,   -0.569033,    0.022455,
   -0.539078,    0.756518,   -0.539078,    0.744904,   -0.523546,    0.764330,   -0.518458,    0.756093,   -0.539078,    0.744315,    0.763543,   -0.549690,    0.015747,   -0.532041,   -0.051615,   -0.569533,    0.034101,
   -0.535070,    0.845157,   -0.535070,    0.746233,   -0.535329,    0.807409,   -0.521342,    0.771499,   -0.535070,    0.744549,    0.758591,   -0.484270,    0.021214,   -0.519551,   -0.050404,   -0.567306,    0.026488,
   -0.531062,    0.948554,   -0.531062,    0.747563,   -0.511234,    0.848169,   -0.492314,    0.788690,   -0.531062,    0.744590,    0.751444,   -0.484740,    0.016718,   -0.505643,   -0.049055,   -0.564289,    0.034543,
   -0.527054,    0.645539,   -0.527054,    0.748891,   -0.542677,    0.679616,   -0.553923,    0.716470,   -0.527054,    0.749481,    0.768197,   -0.551703,    0.034404,   -0.530795,   -0.051495,   -0.535864,    0.038825,
   -0.523046,    0.743918,   -0.523046,    0.750212,   -0.516694,    0.755339,   -0.512352,    0.754144,   -0.523046,    0.749564,    0.761296,   -0.484809,    0.025405,   -0.517369,   -0.050192,   -0.538040,    0.046341,
   -0.519038,    0.572955,   -0.519038,    0.751521,   -0.549081,    0.656956,   -0.566161,    0.705416,   -0.519038,    0.752880,    0.771304,   -0.486383,    0.031797,   -0.529830,   -0.051401,   -0.464667,    0.013054,
