genids	species	highest_mean_genid
XP_038424075.1, NP_001375621.1	Canis lupus familiaris	NP_001375621.1
NP_001375624.1, XP_038424090.1	Canis lupus familiaris	XP_038424090.1
NP_001375860.1, XP_038424091.1, NP_001375892.1, NP_001376119.1, NP_001375626.1, XP_038424092.1	Canis lupus familiaris	NP_001376119.1
NP_001375631.1, XP_038424095.1	Canis lupus familiaris	NP_001375631.1
NP_001375910.1, XP_038424098.1, XP_038424099.1, NP_001375633.1	Canis lupus familiaris	XP_038424098.1
NP_001375635.1, NP_001375636.1, NP_001375828.1	Canis lupus familiaris	NP_001375828.1
NP_001375643.1, XP_038424044.1	Canis lupus familiaris	NP_001375643.1
NP_001375930.1, XP_038424788.1, NP_001375646.1	Canis lupus familiaris	NP_001375646.1
NP_001375647.1, NP_001375649.1	Canis lupus familiaris	NP_001375649.1
XP_038424106.1, NP_001375653.1, NP_001375654.1, NP_001375655.1, XP_038424107.1	Canis lupus familiaris	XP_038424107.1
NP_001375654.1, XP_038424107.1, NP_001375657.1, NP_001375836.1	Canis lupus familiaris	XP_038424107.1
NP_001375664.1, NP_001375665.1, NP_001375840.1, NP_001375841.1	Canis lupus familiaris	NP_001375664.1
NP_001376029.1, NP_001375666.1	Canis lupus familiaris	NP_001375666.1
XP_038424109.1, NP_001375668.1	Canis lupus familiaris	XP_038424109.1
NP_001375670.1, NP_001375671.1	Canis lupus familiaris	NP_001375670.1
NP_001375672.1, NP_001375673.1	Canis lupus familiaris	NP_001375673.1
NP_001375676.1, XP_038424112.1	Canis lupus familiaris	XP_038424112.1
NP_001376098.1, NP_001376100.1, XP_038430316.1, NP_001375680.1, NP_001375794.1	Canis lupus familiaris	NP_001375794.1
NP_001375989.1, NP_001375683.1	Canis lupus familiaris	NP_001375683.1
NP_001376006.1, NP_001375684.1	Canis lupus familiaris	NP_001376006.1
NP_001375687.1, NP_001375688.1, NP_001375689.1	Canis lupus familiaris	NP_001375687.1
XP_038435795.1, NP_001375696.1	Canis lupus familiaris	XP_038435795.1
NP_001375903.1, XP_038438398.1, NP_001375698.1	Canis lupus familiaris	NP_001375903.1
NP_001375926.1, XP_038438404.1, NP_001375700.1	Canis lupus familiaris	NP_001375926.1
NP_001375948.1, NP_001375706.1	Canis lupus familiaris	NP_001375706.1
NP_001375968.1, NP_001375979.1, XP_038391419.1, NP_001376008.1, NP_001375716.1, NP_001375717.1	Canis lupus familiaris	NP_001375716.1
XP_038391419.1, NP_001376013.1, NP_001375717.1	Canis lupus familiaris	NP_001376013.1
NP_001375723.1, NP_001375724.1	Canis lupus familiaris	NP_001375723.1
NP_001375725.1, NP_001375726.1, XP_038391425.1	Canis lupus familiaris	NP_001375726.1
NP_001375729.1, NP_001375730.1, NP_001375731.1, NP_001375732.1	Canis lupus familiaris	NP_001375732.1
XP_038402078.1, NP_001375738.1, NP_001375739.1, NP_001375806.1	Canis lupus familiaris	NP_001375806.1
NP_001375740.1, NP_001375741.1, NP_001375742.1	Canis lupus familiaris	NP_001375742.1
XP_038402085.1, NP_001375743.1	Canis lupus familiaris	XP_038402085.1
XP_038418387.1, NP_001375752.1	Canis lupus familiaris	XP_038418387.1
NP_001375759.1, NP_001375760.1, NP_001375761.1	Canis lupus familiaris	NP_001375759.1
NP_001375960.1, NP_001376050.1, NP_001375772.1, XP_038424085.1	Canis lupus familiaris	NP_001375772.1
XP_038424084.1, NP_001375773.1	Canis lupus familiaris	XP_038424084.1
XP_038438401.1, XP_038438403.1, XP_038438402.1, NP_001375792.1	Canis lupus familiaris	XP_038438401.1
NP_001376075.1, NP_001375793.1	Canis lupus familiaris	NP_001376075.1
NP_001376101.1, XP_038429026.1, XP_038429027.1, XP_038430316.1, NP_001375794.1	Canis lupus familiaris	NP_001376101.1
NP_001375797.1, NP_001375798.1	Canis lupus familiaris	NP_001375798.1
XP_038433815.1, XP_038433817.1, NP_001375799.1	Canis lupus familiaris	NP_001375799.1
XP_038407562.1, NP_001375801.1	Canis lupus familiaris	XP_038407562.1
XP_038424086.1, NP_001375811.1	Canis lupus familiaris	NP_001375811.1
XP_038421293.1, NP_001375817.1, NP_001375819.1	Canis lupus familiaris	NP_001375819.1
XP_038441867.1, NP_001375820.1, NP_001375823.1	Canis lupus familiaris	NP_001375823.1
NP_001375953.1, NP_001375824.1	Canis lupus familiaris	NP_001375824.1
XP_038421302.1, XP_038421300.1, XP_038421239.1, NP_001375830.1	Canis lupus familiaris	XP_038421300.1
NP_001375848.1, NP_001376045.1	Canis lupus familiaris	NP_001376045.1
NP_001375860.1, XP_038424092.1	Canis lupus familiaris	XP_038424092.1
NP_001375861.1, XP_038389608.1	Canis lupus familiaris	NP_001375861.1
NP_001375864.1, XP_038424111.1	Canis lupus familiaris	XP_038424111.1
NP_001375867.1, NP_001376138.1	Canis lupus familiaris	NP_001376138.1
NP_001375881.1, XP_038418409.1	Canis lupus familiaris	XP_038418409.1
XP_038418410.1, NP_001375884.1, NP_001375888.1	Canis lupus familiaris	NP_001375884.1
XP_038418392.1, NP_001375893.1	Canis lupus familiaris	XP_038418392.1
NP_001375894.1, NP_001375923.1, NP_001375999.1, XP_038438404.1, NP_001375700.1	Canis lupus familiaris	NP_001375894.1
NP_001375906.1, NP_001375961.1	Canis lupus familiaris	NP_001375906.1
NP_001375937.1, XP_038418396.1, NP_001375994.1, NP_001376137.1	Canis lupus familiaris	NP_001375994.1
XP_038420397.1, NP_001375951.1	Canis lupus familiaris	XP_038420397.1
XP_038418400.1, NP_001375959.1, XP_038418399.1, XP_038418398.1	Canis lupus familiaris	XP_038418400.1
NP_001375978.1, NP_001376053.1	Canis lupus familiaris	NP_001376053.1
NP_001375996.1, NP_001376002.1	Canis lupus familiaris	NP_001376002.1
NP_001376003.1, XP_038415141.1	Canis lupus familiaris	NP_001376003.1
NP_001376009.1, NP_001376014.1, NP_001376017.1, NP_001376101.1, XP_038429027.1, NP_001243380.1	Canis lupus familiaris	NP_001376101.1
NP_001376011.1, XP_038401995.1, XP_038402107.1	Canis lupus familiaris	XP_038401995.1
NP_001376018.1, XP_038420410.1, NP_001376023.1, XP_038418397.1, XP_038420411.1	Canis lupus familiaris	XP_038418397.1
NP_001376019.1, NP_001376086.1, XP_038391423.1	Canis lupus familiaris	XP_038391423.1
NP_001376031.1, XP_038424770.1	Canis lupus familiaris	XP_038424770.1
XP_038418394.1, NP_001376034.1, NP_001376079.1, NP_001376082.1	Canis lupus familiaris	XP_038418394.1
XP_038419187.1, NP_001376055.1	Canis lupus familiaris	XP_038419187.1
NP_001376081.1, XP_038444904.1	Canis lupus familiaris	NP_001376081.1
NP_001376092.1, XP_038419185.1	Canis lupus familiaris	NP_001376092.1
XP_038383604.1, XP_038383601.1, NP_001376108.1, XP_038383605.1	Canis lupus familiaris	NP_001376108.1
XP_038420405.1, NP_001376111.1	Canis lupus familiaris	XP_038420405.1
XP_038420405.1, NP_001376111.1, XP_038420406.1, NP_001376113.1	Canis lupus familiaris	XP_038420405.1
XP_038381434.1, XP_038382943.1	Canis lupus familiaris	XP_038382943.1
XP_038381436.1, XP_038381435.1	Canis lupus familiaris	XP_038381435.1
XP_038384894.1, XP_038381603.1, XP_038381486.1, XP_038381604.1	Canis lupus familiaris	XP_038381604.1
XP_038382828.1, XP_038382830.1	Canis lupus familiaris	XP_038382830.1
XP_038386300.1, XP_038386304.1, XP_038386311.1, XP_038386299.1, XP_038386301.1	Canis lupus familiaris	XP_038386301.1
XP_038386308.1, XP_038386309.1, XP_038386303.1, XP_038386314.1, XP_038386315.1	Canis lupus familiaris	XP_038386309.1
XP_038386308.1, XP_038386305.1, XP_038386312.1, XP_038386309.1, XP_038386303.1, XP_038386314.1, XP_038386315.1, XP_038386324.1, XP_038386325.1, XP_038386316.1	Canis lupus familiaris	XP_038386309.1
XP_038388402.1, XP_038388407.1	Canis lupus familiaris	XP_038388402.1
XP_038389684.1, XP_038391250.1, XP_038391245.1, XP_038391252.1	Canis lupus familiaris	XP_038391245.1
XP_038391391.1, XP_038391389.1, XP_038391390.1	Canis lupus familiaris	XP_038391389.1
XP_038391421.1, XP_038391420.1	Canis lupus familiaris	XP_038391420.1
XP_038394276.1, XP_038394281.1	Canis lupus familiaris	XP_038394281.1
XP_038396902.1, XP_038394821.1	Canis lupus familiaris	XP_038396902.1
XP_038395466.1, XP_038395467.1	Canis lupus familiaris	XP_038395466.1
XP_038398842.1, XP_038397706.1	Canis lupus familiaris	XP_038397706.1
XP_038397734.1, XP_038397732.1, XP_038397733.1	Canis lupus familiaris	XP_038397732.1
XP_038398164.1, XP_038398163.1	Canis lupus familiaris	XP_038398163.1
XP_038399655.1, XP_038399653.1	Canis lupus familiaris	XP_038399653.1
XP_038401019.1, XP_038401018.1, XP_038401020.1	Canis lupus familiaris	XP_038401018.1
XP_038401946.1, XP_038403149.1	Canis lupus familiaris	XP_038403149.1
XP_038402031.1, XP_038401951.1, XP_038401952.1	Canis lupus familiaris	XP_038401951.1
XP_038401983.1, XP_038402098.1	Canis lupus familiaris	XP_038402098.1
XP_038402014.1, XP_038402015.1	Canis lupus familiaris	XP_038402014.1
XP_038402057.1, XP_038402059.1, XP_038402060.1, XP_038402058.1	Canis lupus familiaris	XP_038402060.1
XP_038402061.1, XP_038402062.1	Canis lupus familiaris	XP_038402061.1
XP_038403218.1, XP_038403221.1	Canis lupus familiaris	XP_038403221.1
XP_038403292.1, XP_038403291.1, XP_038403294.1, XP_038403293.1	Canis lupus familiaris	XP_038403292.1
XP_038404613.1, XP_038404614.1	Canis lupus familiaris	XP_038404613.1
XP_038405990.1, XP_038405447.1	Canis lupus familiaris	XP_038405990.1
XP_038407548.1, XP_038409209.1	Canis lupus familiaris	XP_038407548.1
XP_038408450.1, XP_038408444.1, XP_038408443.1, XP_038408445.1, XP_038408446.1, XP_038408447.1, XP_038408448.1, XP_038408451.1, XP_038408453.1	Canis lupus familiaris	XP_038408444.1
XP_038408921.1, XP_038408926.1	Canis lupus familiaris	XP_038408926.1
XP_038411016.1, XP_038411015.1	Canis lupus familiaris	XP_038411015.1
XP_038412152.1, XP_038412153.1	Canis lupus familiaris	XP_038412152.1
XP_038412155.1, XP_038412154.1	Canis lupus familiaris	XP_038412155.1
XP_038413843.1, XP_038413848.1	Canis lupus familiaris	XP_038413843.1
XP_038415633.1, XP_038415117.1	Canis lupus familiaris	XP_038415633.1
XP_038416239.1, XP_038415124.1	Canis lupus familiaris	XP_038416239.1
XP_038415132.1, XP_038415133.1	Canis lupus familiaris	XP_038415132.1
XP_038415165.1, XP_038415166.1	Canis lupus familiaris	XP_038415166.1
XP_038415263.1, XP_038415280.1	Canis lupus familiaris	XP_038415280.1
XP_038416381.1, XP_038416380.1	Canis lupus familiaris	XP_038416381.1
XP_038416395.1, XP_038416399.1	Canis lupus familiaris	XP_038416395.1
XP_038416400.1, XP_038416401.1	Canis lupus familiaris	XP_038416401.1
XP_038416529.1, XP_038416527.1	Canis lupus familiaris	XP_038416527.1
XP_038417037.1, XP_038417042.1	Canis lupus familiaris	XP_038417037.1
XP_038417995.1, XP_038417997.1	Canis lupus familiaris	XP_038417997.1
XP_038418004.1, XP_038418005.1, XP_038418006.1	Canis lupus familiaris	XP_038418004.1
XP_038418376.1, XP_038418833.1	Canis lupus familiaris	XP_038418376.1
XP_038418393.1, XP_038420404.1	Canis lupus familiaris	XP_038418393.1
XP_038418403.1, XP_038418404.1, XP_038418405.1	Canis lupus familiaris	XP_038418405.1
XP_038418407.1, XP_038418406.1	Canis lupus familiaris	XP_038418406.1
XP_038418462.1, XP_038418621.1	Canis lupus familiaris	XP_038418621.1
XP_038419182.1, XP_038420402.1	Canis lupus familiaris	XP_038419182.1
XP_038419190.1, XP_038419191.1	Canis lupus familiaris	XP_038419190.1
XP_038420281.1, XP_038420282.1	Canis lupus familiaris	XP_038420281.1
XP_038421302.1, XP_038421239.1	Canis lupus familiaris	XP_038421239.1
XP_038421309.1, XP_038423317.1	Canis lupus familiaris	XP_038423317.1
XP_038421315.1, XP_038421314.1	Canis lupus familiaris	XP_038421315.1
XP_038422922.1, XP_038422927.1	Canis lupus familiaris	XP_038422922.1
XP_038423553.1, XP_038423554.1	Canis lupus familiaris	XP_038423553.1
XP_038424042.1, XP_038424041.1, XP_038424102.1, XP_038424043.1	Canis lupus familiaris	XP_038424042.1
XP_038424196.1, XP_038424199.1	Canis lupus familiaris	XP_038424199.1
XP_038424781.1, XP_038424782.1	Canis lupus familiaris	XP_038424782.1
XP_038425273.1, XP_038425274.1	Canis lupus familiaris	XP_038425273.1
XP_038425627.1, XP_038426099.1	Canis lupus familiaris	XP_038425627.1
XP_038426959.1, XP_038426960.1	Canis lupus familiaris	XP_038426960.1
XP_038428957.1, XP_038429017.1	Canis lupus familiaris	XP_038429017.1
XP_038430171.1, XP_038428959.1, XP_038429018.1	Canis lupus familiaris	XP_038430171.1
XP_038429016.1, XP_038429015.1	Canis lupus familiaris	XP_038429016.1
XP_038429957.1, XP_038429966.1	Canis lupus familiaris	XP_038429966.1
XP_038431045.1, XP_038431047.1, XP_038432015.1	Canis lupus familiaris	XP_038431047.1
XP_038431050.1, XP_038431051.1	Canis lupus familiaris	XP_038431051.1
XP_038431691.1, XP_038431699.1	Canis lupus familiaris	XP_038431699.1
XP_038431737.1, XP_038431738.1	Canis lupus familiaris	XP_038431737.1
XP_038433664.1, XP_038432096.1, XP_038433659.1	Canis lupus familiaris	XP_038433664.1
XP_038432103.1, XP_038432101.1	Canis lupus familiaris	XP_038432103.1
XP_038432912.1, XP_038432913.1	Canis lupus familiaris	XP_038432913.1
XP_038434933.1, XP_038434932.1	Canis lupus familiaris	XP_038434933.1
XP_038436356.1, XP_038436358.1	Canis lupus familiaris	XP_038436356.1
XP_038437071.1, XP_038437066.1, XP_038437068.1, XP_038437064.1, XP_038437065.1, XP_038437069.1	Canis lupus familiaris	XP_038437069.1
XP_038437088.1, XP_038437089.1	Canis lupus familiaris	XP_038437089.1
XP_038437371.1, XP_038437372.1, XP_038437370.1	Canis lupus familiaris	XP_038437370.1
XP_038437656.1, XP_038437657.1	Canis lupus familiaris	XP_038437657.1
XP_038439446.1, XP_038439448.1, XP_038439192.1	Canis lupus familiaris	XP_038439446.1
XP_038440238.1, XP_038440244.1	Canis lupus familiaris	XP_038440244.1
XP_038440272.1, XP_038440271.1	Canis lupus familiaris	XP_038440272.1
XP_038440277.1, XP_038440276.1	Canis lupus familiaris	XP_038440276.1
XP_038440278.1, XP_038440295.1, XP_038440297.1	Canis lupus familiaris	XP_038440278.1
XP_038440289.1, XP_038440296.1	Canis lupus familiaris	XP_038440289.1
XP_038440333.1, XP_038440354.1	Canis lupus familiaris	XP_038440333.1
XP_038440352.1, XP_038440334.1	Canis lupus familiaris	XP_038440334.1
XP_038441743.1, XP_038441741.1	Canis lupus familiaris	XP_038441741.1
XP_038442396.1, XP_038442395.1	Canis lupus familiaris	XP_038442395.1
XP_038442442.1, XP_038442443.1	Canis lupus familiaris	XP_038442442.1
XP_038442614.1, XP_038444423.1	Canis lupus familiaris	XP_038444423.1
XP_038443491.1, XP_038443497.1	Canis lupus familiaris	XP_038443491.1
XP_038443815.1, XP_038444745.1	Canis lupus familiaris	XP_038443815.1
XP_038444516.1, XP_038444526.1	Canis lupus familiaris	XP_038444526.1
XP_038444700.1, XP_038444699.1	Canis lupus familiaris	XP_038444700.1
XP_038444804.1, XP_038444805.1, XP_038445572.1	Canis lupus familiaris	XP_038444805.1
XP_038444895.1, XP_038444897.1	Canis lupus familiaris	XP_038444895.1
XP_038444899.1, XP_038444900.1	Canis lupus familiaris	XP_038444899.1
XP_038444939.1, XP_038444938.1	Canis lupus familiaris	XP_038444938.1
XP_038444945.1, XP_038444949.1	Canis lupus familiaris	XP_038444949.1
XP_038444951.1, XP_038444953.1	Canis lupus familiaris	XP_038444953.1
XP_038445016.1, XP_038445020.1	Canis lupus familiaris	XP_038445016.1
XP_038445053.1, XP_038445054.1	Canis lupus familiaris	XP_038445054.1
XP_038445079.1, XP_038445081.1	Canis lupus familiaris	XP_038445079.1
XP_038445185.1, XP_038445186.1	Canis lupus familiaris	XP_038445185.1
XP_038445205.1, XP_038445206.1	Canis lupus familiaris	XP_038445205.1
XP_038445389.1, XP_038445390.1	Canis lupus familiaris	XP_038445390.1
XP_038445399.1, XP_038445423.1	Canis lupus familiaris	XP_038445423.1
XP_038445478.1, XP_038445479.1, XP_038445480.1, XP_038445481.1, XP_038445482.1	Canis lupus familiaris	XP_038445481.1
XP_038445617.1, XP_038445618.1	Canis lupus familiaris	XP_038445617.1
XP_038445665.1, XP_038445668.1	Canis lupus familiaris	XP_038445665.1
NP_001270278.1, XP_045246574.2	Macaca fascicularis	NP_001270278.1
NP_001336952.1, NP_001336955.1	Macaca fascicularis	NP_001336955.1
NP_001344433.1, XP_005578512.3	Macaca fascicularis	XP_005578512.3
XP_065399089.1, NP_001406389.1, XP_045246033.2	Macaca fascicularis	NP_001406389.1
NP_001406407.1, XP_065399102.1	Macaca fascicularis	NP_001406407.1
XP_015312161.3, XP_005539600.3, XP_015312078.2, XP_015312348.3, XP_045246331.2	Macaca fascicularis	XP_015312078.2
XP_065376045.1, XP_005539611.2	Macaca fascicularis	XP_005539611.2
XP_015300645.2, XP_005539975.2	Macaca fascicularis	XP_015300645.2
XP_045254412.1, XP_005541139.1	Macaca fascicularis	XP_005541139.1
XP_005541147.3, XP_015307002.3	Macaca fascicularis	XP_015307002.3
XP_015310366.3, XP_005541327.1	Macaca fascicularis	XP_005541327.1
XP_005541874.3, XP_005541875.2, XP_065392337.1, XP_065392328.1	Macaca fascicularis	XP_005541874.3
XP_005541878.3, XP_005541879.3, XP_015312586.3, XP_005541880.3	Macaca fascicularis	XP_015312586.3
XP_005542214.3, XP_015307682.1	Macaca fascicularis	XP_015307682.1
XP_045221690.1, XP_005542505.3, XP_065404446.1	Macaca fascicularis	XP_065404446.1
XP_005544039.1, XP_015293912.1	Macaca fascicularis	XP_005544039.1
XP_005544644.3, XP_005544652.3, XP_005544653.3	Macaca fascicularis	XP_005544653.3
XP_005544808.3, XP_015309777.3	Macaca fascicularis	XP_005544808.3
XP_005545969.3, XP_005545970.3	Macaca fascicularis	XP_005545969.3
XP_005548904.3, XP_005548905.3	Macaca fascicularis	XP_005548904.3
XP_005549538.3, XP_005549539.3	Macaca fascicularis	XP_005549538.3
XP_005550882.3, XP_065398651.1	Macaca fascicularis	XP_005550882.3
XP_005551067.1, XP_065397161.1, XP_005551070.1	Macaca fascicularis	XP_065397161.1
XP_005551111.3, XP_015303691.3	Macaca fascicularis	XP_005551111.3
XP_005553762.1, XP_015304416.3	Macaca fascicularis	XP_005553762.1
XP_005553799.1, XP_015305250.1	Macaca fascicularis	XP_015305250.1
XP_005553845.3, XP_045245930.2	Macaca fascicularis	XP_045245930.2
XP_005553862.1, XP_005553863.1	Macaca fascicularis	XP_005553863.1
XP_005553866.1, XP_005553871.1	Macaca fascicularis	XP_005553871.1
XP_005553867.1, XP_005553876.2	Macaca fascicularis	XP_005553867.1
XP_005556428.3, XP_005556429.1	Macaca fascicularis	XP_005556428.3
XP_015307501.3, XP_005558086.3, XP_015307502.3, XP_005558089.3, XP_005558092.2, XP_045250273.2	Macaca fascicularis	XP_015307502.3
XP_015307508.3, XP_015307503.3, XP_015307507.3, XP_005596046.4, XP_005558090.3, XP_045250274.2, XP_005558094.3, XP_005558097.2, XP_015307505.3, XP_015307506.3	Macaca fascicularis	XP_005558094.3
XP_015307508.3, XP_015307507.3, XP_005558094.3, XP_005558097.2, XP_015307505.3, XP_015307506.3	Macaca fascicularis	XP_005558094.3
XP_005560146.1, XP_015308571.3	Macaca fascicularis	XP_005560146.1
XP_005560718.3, XP_005562513.3	Macaca fascicularis	XP_005560718.3
XP_005560927.3, XP_005560929.1	Macaca fascicularis	XP_005560929.1
XP_005560969.3, XP_045253423.2	Macaca fascicularis	XP_045253423.2
XP_045252570.2, XP_005561708.3, XP_015309429.3, XP_045252569.2	Macaca fascicularis	XP_015309429.3
XP_005562604.3, XP_065374815.1	Macaca fascicularis	XP_005562604.3
XP_005562621.3, XP_015310019.3	Macaca fascicularis	XP_015310019.3
XP_045253764.2, XP_005562622.3, XP_065374742.1	Macaca fascicularis	XP_045253764.2
XP_045255416.2, XP_005564597.3	Macaca fascicularis	XP_045255416.2
XP_005569460.3, XP_005569461.4	Macaca fascicularis	XP_005569461.4
